Position,Track Name,Artist,Streams,URL
1,Tusa,KAROL G,309968,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,René,Residente,221948,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
3,Hola - Remix,Dalex,215330,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
4,Sigues Con El,Dimelo Flow,204704,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
5,Dance Monkey,Tones and I,197779,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Ignorantes,Bad Bunny,189362,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
7,La Difícil,Bad Bunny,184838,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
8,Diosa,Myke Towers,166066,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
9,Vete,Bad Bunny,155460,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
10,Par-Tusa,El Dipy,155105,https://open.spotify.com/track/7iZSr3NiHlqJGAJmlfd3Ru
11,Muévelo,Nicky Jam,151521,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
12,Morado,J Balvin,149689,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
13,Fantasias,Rauw Alejandro,146691,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
14,Recuerdo,TINI,139144,https://open.spotify.com/track/3DjInVTE03icrWsq2UZV9n
15,Keii,Anuel AA,132677,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
16,Tattoo,Rauw Alejandro,127416,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
17,Bellaquita - Remix,Dalex,125650,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
18,Dónde Estás,KHEA,123947,https://open.spotify.com/track/16DNJ8y6k97DxuMyV49W7V
19,Pa Los Gustos Los Colores,Javiielo,123904,https://open.spotify.com/track/6EWWkqE4aFlZRyoFwwOT8u
20,La Santa,Bad Bunny,118341,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
21,Ya No Mas,Fer Palacio,118296,https://open.spotify.com/track/4dqoJHdxf9Ez4DDqGh2PBc
22,Flasheaste Amor,Agapornis,113345,https://open.spotify.com/track/2ACgvo2Kx4LgWqQ2amvM5C
23,Perreo en La Luna,Rich Music LTD,112755,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
24,RITMO (Bad Boys For Life),Black Eyed Peas,112430,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
25,Don't Start Now,Dua Lipa,111837,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
26,Rojo,J Balvin,110814,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
27,High,Maria Becerra,106892,https://open.spotify.com/track/5vPtzdjJ9tm7XCoKDH22Gb
28,Atrevido,Trueno,104377,https://open.spotify.com/track/49rFA0vfmY9Eel2cInKmTk
29,Que Tire Pa Lante,Daddy Yankee,100710,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
30,China,Anuel AA,99053,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
31,Fresa,TINI,96477,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
32,Me Gusta,Shakira,93894,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
33,Blanco,J Balvin,93319,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
34,Mejor,Dalex,90355,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
35,Quizas,Rich Music LTD,89284,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
36,Si Veo a Tu Mamá,Bad Bunny,87768,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
37,Cómo estás,Ke Personajes,87667,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
38,Adicto (with Anuel AA & Ozuna),Tainy,87071,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
39,Aventura,Lunay,85483,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
40,Definitivamente,Daddy Yankee,84796,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
41,Tutu,Camilo,81774,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
42,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,80118,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
43,Si Te Vas,Sech,79712,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
44,Hablamos Mañana,Bad Bunny,77612,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
45,Whine Up,Nicky Jam,73533,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
46,Soltera Vá,Los Nota Lokos,72691,https://open.spotify.com/track/0ueg5iK0wyh5EgHvtIz4qL
47,La Pared 360,Lenny Tavárez,71839,https://open.spotify.com/track/2w8SKQCnT2YQK1qCqKl2uW
48,Yummy,Justin Bieber,70016,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
49,LA CANCIÓN,J Balvin,69012,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
50,La Playa - Remix,Myke Towers,68571,https://open.spotify.com/track/70zg99pT51vB4wlMS7e4q7
