Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,268902,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Don't Start Now,Dua Lipa,219601,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
3,Intentions (feat. Quavo),Justin Bieber,214325,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,The Box,Roddy Ricch,203270,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,Say So,Doja Cat,182484,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,You should be sad,Halsey,166738,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
7,Circles,Post Malone,161061,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,Dance Monkey,Tones and I,156438,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,Adore You,Harry Styles,156227,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
10,ROXANNE,Arizona Zervas,152139,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
11,Before You Go,Lewis Capaldi,144031,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
12,Sunday Best,Surfaces,139857,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
13,death bed (feat. beabadoobee),Powfu,138311,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,Godzilla (feat. Juice WRLD),Eminem,137502,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,Lose Control,MEDUZA,133999,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
16,Never Seen the Rain,Tones and I,132394,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
17,Falling,Trevor Daniel,129458,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,Stupid Love,Lady Gaga,126202,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
19,Blueberry Faygo,Lil Mosey,125677,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
20,Memories,Maroon 5,119034,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,everything i wanted,Billie Eilish,118607,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,To Die For,Sam Smith,116013,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
23,Glitter,BENEE,114076,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
24,Roses - Imanbek Remix,SAINt JHN,112995,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
25,Someone You Loved,Lewis Capaldi,112731,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,SUGAR,BROCKHAMPTON,110093,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
27,Life Is Good (feat. Drake),Future,109968,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,Rushing Back,Flume,108706,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
29,Physical,Dua Lipa,108578,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
30,No Time To Die,Billie Eilish,107982,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
31,Ride It,Regard,107738,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
32,Live In Life,The Rubens,101622,https://open.spotify.com/track/5zpGxLGLxQvgQzO8jYTzAU
33,What A Man Gotta Do,Jonas Brothers,100985,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
34,My Oh My (feat. DaBaby),Camila Cabello,98028,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
35,Moral of the Story,Ashe,95938,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
36,bad guy,Billie Eilish,92429,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
37,Yummy,Justin Bieber,91303,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
38,Purple Hat,Sofi Tukker,91030,https://open.spotify.com/track/6WiGRFQfx2qw49MA7OeDYK
39,After Hours,The Weeknd,90922,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
40,Know Your Worth,Khalid,90273,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
41,Maniac,Conan Gray,87789,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
42,CITY OF ANGELS,24kGoldn,85342,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
43,Post Malone (feat. RANI),Sam Feldt,83355,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
44,What If I Told You That I Love You,Ali Gatie,80551,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
45,The Other Side (from Trolls World Tour),SZA,79056,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
46,I Don't Care (with Justin Bieber),Ed Sheeran,75486,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
47,Pump It Up,Endor,75432,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
48,Turn Me On (feat. Vula),Riton,74934,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
49,Forever (feat. Post Malone & Clever),Justin Bieber,73882,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
50,Supalonely,BENEE,72392,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
