Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,34137,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,100k Cash,Capital Bra,31474,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
3,Matrix,Apache 207,26251,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
4,Roller,Apache 207,24668,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
5,Baby,Joker Bra,23167,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
6,Dance Monkey,Tones and I,22556,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,The Box,Roddy Ricch,20530,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,Breaking Me,Topic,19884,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
9,D A YYY T O N A,Dardan,19724,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
10,Rich Rich,Ufo361,19036,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
11,Mios mit Bars,Luciano,18523,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
12,Lass los,Dhurata Dora,18133,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
13,Falling,Trevor Daniel,17791,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,Don't Start Now,Dua Lipa,17354,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
15,Auf Wiedersehen,Mozzik,17156,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
16,In Your Eyes (feat. Alida),Robin Schulz,17094,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
17,Roses - Imanbek Remix,SAINt JHN,16956,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,Intentions (feat. Quavo),Justin Bieber,15943,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
19,Weiss,Samra,15846,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
20,Kein Wort,Juju,15731,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
21,No Time To Die,Billie Eilish,14664,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
22,Godzilla (feat. Juice WRLD),Eminem,14424,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,Donuts,Gzuz,14119,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
24,Before You Go,Lewis Capaldi,13456,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Ride It,Regard,13453,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
26,Moral of the Story,Ashe,13416,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
27,Schüsse im Regen,Samra,13381,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
28,110,Capital Bra,12841,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
29,Karakol,Capo,12701,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
30,bad guy,Billie Eilish,12539,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,Circles,Post Malone,12119,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
32,What If I Told You That I Love You,Ali Gatie,12095,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
33,Schlafen,Ufo361,11949,https://open.spotify.com/track/7cV5zRs2cXP0H9e29UMI7Z
34,Someone You Loved,Lewis Capaldi,11900,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,ROXANNE,Arizona Zervas,11840,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
36,200 km/h,Apache 207,11639,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
37,Close Your Eyes,Felix Jaehn,11549,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
38,Life Is Good (feat. Drake),Future,11464,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
39,Verkackt,Gzuz,11271,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
40,everything i wanted,Billie Eilish,11106,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
41,Zu Ende,Samra,11035,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov
42,Revenge,Elias,11033,https://open.spotify.com/track/0VLwCyZ3QIvPXhPXhaiZfk
43,You should be sad,Halsey,10878,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
44,Skifahren (feat. Joshi Mizu),The Cratez,10668,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
45,Tilidin,Capital Bra,10648,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU
46,Memories,Maroon 5,10486,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
47,Alien,RIN,10393,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
48,Mon Ami,Samra,10242,https://open.spotify.com/track/1R4xkZXQUQ8QJtAdwHkSgC
49,Stupid Love,Lady Gaga,9973,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
50,Say So,Doja Cat,9830,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
