Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,75505,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,51310,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Dance Monkey,Tones and I,46573,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Roses - Imanbek Remix,SAINt JHN,46559,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,Don't Start Now,Dua Lipa,41438,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Falling,Trevor Daniel,39773,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Smoorverliefd,Snelle,35516,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
8,ROXANNE,Arizona Zervas,35482,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
9,No Time To Die,Billie Eilish,35133,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
10,Before You Go,Lewis Capaldi,34107,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
11,everything i wanted,Billie Eilish,32584,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Ride It,Regard,31917,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
13,Intentions (feat. Quavo),Justin Bieber,30900,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,Never Seen the Rain,Tones and I,28611,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
15,Lose Control,MEDUZA,27577,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
16,"Alone, Pt. II",Alan Walker,27485,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
17,Memories,Maroon 5,25388,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,RITMO (Bad Boys For Life),Black Eyed Peas,24979,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
19,Ne reviens pas,Gradur,24952,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
20,Say So,Doja Cat,24289,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,Trampoline (with ZAYN),SHAED,23650,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
22,Life Is Good (feat. Drake),Future,23153,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
23,Physical,Dua Lipa,23125,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
24,Someone You Loved,Lewis Capaldi,23018,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,You should be sad,Halsey,22600,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
26,Oui ou non,Angèle,22367,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
27,Yummy,Justin Bieber,21998,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
28,Adore You,Harry Styles,21951,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,Circles,Post Malone,21252,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
30,My Oh My (feat. DaBaby),Camila Cabello,20415,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,bad guy,Billie Eilish,20199,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
32,What A Man Gotta Do,Jonas Brothers,19979,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
33,Moulaga,Heuss L'enfoiré,19628,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
34,Meleğim,Soolking,19588,https://open.spotify.com/track/0RyGkLUzlkmu6EZadbOgZa
35,Tusa,KAROL G,19117,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
36,Lose You To Love Me,Selena Gomez,18626,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
37,If The World Was Ending (feat. Julia Michaels),JP Saxe,18458,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
38,Sunday Best,Surfaces,18444,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
39,Moral of the Story,Ashe,18251,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
40,After Hours,The Weeknd,17417,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
41,Baianá,Bakermat,17401,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
42,6.3,Naps,17279,https://open.spotify.com/track/6bzxAa3VCiIGzhjsxbHo5q
43,hot girl bummer,blackbear,16242,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
44,Some Say,Nea,16215,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
45,Stupid Love,Lady Gaga,15662,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
46,Señorita,Shawn Mendes,15642,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
47,Turn Me On (feat. Vula),Riton,15518,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
48,lovely (with Khalid),Billie Eilish,15387,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
49,Hoe Het Danst,Marco Borsato,15228,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
50,Good as Hell (feat. Ariana Grande),Lizzo,14940,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
