Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,27706,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,Ignorantes,Bad Bunny,25839,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,La Difícil,Bad Bunny,24930,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,Rojo,J Balvin,22495,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
5,Tusa,KAROL G,21118,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,René,Residente,19419,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
7,La Santa,Bad Bunny,17690,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
8,Sigues Con El,Dimelo Flow,17425,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
9,Vete,Bad Bunny,17046,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
10,Hola - Remix,Dalex,15955,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
11,Jangueo,Alex Rose,14688,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
12,Pero Ya No,Bad Bunny,13294,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
13,Dance Monkey,Tones and I,13031,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Morado,J Balvin,12976,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
15,Fantasias,Rauw Alejandro,11427,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
16,Pa' Olvidarme De Ella,Piso 21,11214,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
17,Tattoo,Rauw Alejandro,11138,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
18,Keii,Anuel AA,10776,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
19,Diosa,Myke Towers,9952,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
20,LA CANCIÓN,J Balvin,9794,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
21,Blinding Lights,The Weeknd,9488,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
22,Detente,Mike Bahía,9480,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
23,Yo Perreo Sola,Bad Bunny,9095,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
24,Don't Start Now,Dua Lipa,8887,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
25,No Me Conoce - Remix,Jhay Cortez,8821,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
26,China,Anuel AA,8815,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
27,Soliá,Bad Bunny,8799,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
28,Me Gusta,Shakira,8603,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
29,A Tu Merced,Bad Bunny,8496,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
30,RITMO (Bad Boys For Life),Black Eyed Peas,8420,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
31,Definitivamente,Daddy Yankee,8281,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
32,Bellaquita - Remix,Dalex,8229,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
33,Muévelo,Nicky Jam,8203,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
34,Mejor,Dalex,8067,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
35,Está Cabrón Ser Yo,Bad Bunny,7652,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
36,<3,Bad Bunny,7581,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
37,La Difícil,Camilo,7503,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu
38,TBT,Sebastian Yatra,7487,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
39,Callaita,Bad Bunny,7374,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
40,Whine Up,Nicky Jam,7360,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
41,Blanco,J Balvin,7318,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
42,Bichiyal,Bad Bunny,6869,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
43,Si Te Vas,Sech,6742,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
44,Aventura,Lunay,6560,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
45,Desconocidos,Mau y Ricky,6388,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
46,Hablamos Mañana,Bad Bunny,6312,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
47,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,6112,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
48,Que Malo,Bad Bunny,6034,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
49,Una Vez,Bad Bunny,5964,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
50,Soltera - Remix,Lunay,5916,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
