Position,Track Name,Artist,Streams,URL
1,Liberdade Provisória - Ao Vivo,Henrique & Juliano,616788,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
2,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,493744,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5
3,Litrão - Ao Vivo,Matheus & Kauan,442021,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg
4,SENTADÃO,Pedro Sampaio,433113,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A
5,Graveto - Ao Vivo,Marília Mendonça,426176,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o
6,Dance Monkey,Tones and I,421570,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Rave de Favela,MC Lan,414979,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej
8,Tudo Ok,Thiaguinho MT,414027,https://open.spotify.com/track/4HUZBG98TYbxSR9V1V2DWS
9,Vem Me Satisfazer,MC Ingryd,397239,https://open.spotify.com/track/63SHcJzckFykS8faA5zojY
10,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,389026,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF
11,S de Saudade,Luíza & Maurílio,380588,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL
12,Don't Start Now,Dua Lipa,346893,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
13,Cheirosa - Ao Vivo,Jorge & Mateus,339463,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da
14,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,339276,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe
15,Combatchy (feat. MC Rebecca),Anitta,327503,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
16,3 Batidas - Ao Vivo,Guilherme & Benuto,318900,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k
17,Porta Mala,Os Parazim,318730,https://open.spotify.com/track/7vZqxuOvEwRHsGVaDykzpY
18,Supera - Ao Vivo,Marília Mendonça,309221,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
19,Volta por Baixo - Ao Vivo,Henrique & Juliano,305253,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul
20,Surtada - Remix Brega Funk,Dadá Boladão,302009,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r
21,menina solta,Giulia Be,290692,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
22,Stupid Love,Lady Gaga,280999,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
23,Balança (feat. Pedro Sampaio e FP do Trem Bala),WC no Beat,270552,https://open.spotify.com/track/4p8pEdPYOQLzJUKYrLOacy
24,Amor de Que,Pabllo Vittar,269564,https://open.spotify.com/track/7yYsyXQa2JgbyL9fkEiUNt
25,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,269324,https://open.spotify.com/track/6lK3nCiigk34SGqEjpQoqO
26,Briga Feia - Ao Vivo,Henrique & Juliano,254961,https://open.spotify.com/track/4j2bK4fnc2s6GyVmhJsJhk
27,Te Prometo,Dennis DJ,252974,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN
28,Tijolão - Ao Vivo,Jorge & Mateus,250457,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7
29,Some que ele vem atrás,Anitta,241071,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
30,Eterna Sacanagem,MC JottaPê,233959,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
31,Verdinha,Ludmilla,225300,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ
32,Lençol Dobrado,João Gustavo e Murilo,222082,https://open.spotify.com/track/72xB2J9ZeBl0Rzxq2XmzdY
33,Quem Traiu Levou - Ao Vivo,Gusttavo Lima,219422,https://open.spotify.com/track/17Ryox5vWKp92IDW87C5PI
34,Gaiola É o Troco,MC Du Black,218677,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
35,Chama Ela (feat. Pedro Sampaio),Lexa,218192,https://open.spotify.com/track/14kRWkCWBYfQqILflEcpSJ
36,Paredão,MC Kevinho,216804,https://open.spotify.com/track/5FFpRbsH9WDYNoLauRAHpj
37,Serenata - Ao Vivo,Marília Mendonça,211195,https://open.spotify.com/track/5fY9bVl1Wj4PIM3wnduWop
38,Hit Contagiante,Felipe Original,209849,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
39,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,208468,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT
40,Pupila,ANAVITÓRIA,206685,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
41,Quarta Cadeira - Ao Vivo,Matheus & Kauan,203027,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn
42,The Box,Roddy Ricch,200837,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
43,Carreira Solo - Ao Vivo,Gusttavo Lima,200511,https://open.spotify.com/track/1MmS7UIy3J1BTxfGCRvVqN
44,Dois Lados,Wesley Safadão,199572,https://open.spotify.com/track/3vSXPjfcebTt5mB8DXHWM6
45,Áudio - Ao Vivo em Brasília,Diego & Victor Hugo,199423,https://open.spotify.com/track/2PqPSf3gtTED79rWGwVtYg
46,Blinding Lights,The Weeknd,198019,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
47,Yummy,Justin Bieber,195742,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
48,Barzinho Aleatório - Ao Vivo,Zé Neto & Cristiano,193486,https://open.spotify.com/track/3WjSkl7VDWY1prwJw7dSG0
49,Tiro Certo - Ao Vivo,Zé Felipe,192626,https://open.spotify.com/track/5MArTXEVyKBwoodjdy04fk
50,Relógio Parado (Ao Vivo),Diego & Arnaldo,189315,https://open.spotify.com/track/5n8Y78Pl5q8lqS7sJP61qw
