Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,4590,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Blinding Lights,The Weeknd,4130,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,After Hours,The Weeknd,3010,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
4,Roses - Imanbek Remix,SAINt JHN,2928,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,Don't Start Now,Dua Lipa,2913,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Dance Monkey,Tones and I,2902,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,Life Is Good (feat. Drake),Future,2853,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,Godzilla (feat. Juice WRLD),Eminem,2719,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
9,No Time To Die,Billie Eilish,2662,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
10,Falling,Trevor Daniel,2607,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,Say So,Doja Cat,2453,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,everything i wanted,Billie Eilish,2309,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,bad guy,Billie Eilish,2274,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,ROXANNE,Arizona Zervas,2208,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Physical,Dua Lipa,2186,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
16,Stupid Love,Lady Gaga,2141,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
17,Intentions (feat. Quavo),Justin Bieber,2000,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
18,HIGHEST IN THE ROOM,Travis Scott,1819,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
19,Майната ти Св. Валентин,Konstantin,1662,https://open.spotify.com/track/6YMYxgAgA1dtpTPE0zLLxU
20,My Oh My (feat. DaBaby),Camila Cabello,1612,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,Cash,Marso,1610,https://open.spotify.com/track/7EU21VnXf0qNgDgPUJBgBM
22,Yummy,Justin Bieber,1595,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
23,Blueberry Faygo,Lil Mosey,1571,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,Бели Нощи (feat. D3MO),Billy Hlapeto,1568,https://open.spotify.com/track/0WAJMHi3i8cGl7nj5jaIc0
25,Adore You,Harry Styles,1563,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,Heartless,The Weeknd,1557,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
27,Lose Control,MEDUZA,1553,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
28,That Way,Lil Uzi Vert,1518,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
29,Señorita,Shawn Mendes,1509,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,OUT WEST (feat. Young Thug),JACKBOYS,1508,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
31,Lalala,Y2K,1455,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
32,ON,BTS,1434,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
33,lovely (with Khalid),Billie Eilish,1371,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
34,Ayy Macarena,Tyga,1366,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
35,You should be sad,Halsey,1360,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
36,Someone You Loved,Lewis Capaldi,1291,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,Circles,Post Malone,1277,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
38,Tvoeto Ferrari,Yanitsa,1246,https://open.spotify.com/track/5L34SZ4lmoPZiEPQtP1TTf
39,Feel Me,Selena Gomez,1243,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
40,WHATS POPPIN,Jack Harlow,1187,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
41,7 rings,Ariana Grande,1173,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
42,Lamborghini,Galena,1173,https://open.spotify.com/track/5v1ngTQTFEjKEirsiaKsvQ
43,Piyan,Preslava,1171,https://open.spotify.com/track/1iIIsJlKQW7E4eLw7x5XOI
44,Djeale,Emilia,1160,https://open.spotify.com/track/2V5LZRtEyOIs3C1DC1s1oE
45,SICKO MODE,Travis Scott,1132,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
46,Lucid Dreams,Juice WRLD,1129,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,Sunday Best,Surfaces,1124,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
48,Moral of the Story,Ashe,1123,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
49,Boss Bitch,Doja Cat,1110,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
50,Paranoya,Vanya,1109,https://open.spotify.com/track/4ix0ntu244dcdAoSml7trs
