Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,272009,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Dance Monkey,Tones and I,206782,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Intentions (feat. Quavo),Justin Bieber,201195,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,Blinding Lights,The Weeknd,191962,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Blueberry Faygo,Lil Mosey,172133,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,That Way,Lil Uzi Vert,170439,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
7,Don't Start Now,Dua Lipa,169844,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Life Is Good (feat. Drake),Future,158466,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
9,Godzilla (feat. Juice WRLD),Eminem,150228,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
10,ROXANNE,Arizona Zervas,145396,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
11,Say So,Doja Cat,141710,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
12,After Hours,The Weeknd,141433,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
13,Circles,Post Malone,138659,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,Falling,Trevor Daniel,134255,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,Stupid Love,Lady Gaga,132699,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,Someone You Loved,Lewis Capaldi,119995,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,WHATS POPPIN,Jack Harlow,114647,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
18,death bed (feat. beabadoobee),Powfu,112327,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,You should be sad,Halsey,111349,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
20,Heatin Up (feat. Gunna),Lil Baby,107481,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
21,Sunday Best,Surfaces,105531,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
22,everything i wanted,Billie Eilish,104394,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23,Forever (feat. Post Malone & Clever),Justin Bieber,104350,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
24,Adore You,Harry Styles,101777,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
25,No Time To Die,Billie Eilish,101305,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
26,High Fashion (feat. Mustard),Roddy Ricch,100671,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
27,My Oh My (feat. DaBaby),Camila Cabello,99940,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
28,Go Stupid,Polo G,97819,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
29,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,95050,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
30,Yummy,Justin Bieber,94220,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
31,Memories,Maroon 5,94065,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
32,Moral of the Story,Ashe,93991,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
33,Before You Go,Lewis Capaldi,93380,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,If The World Was Ending (feat. Julia Michaels),JP Saxe,92722,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
35,Roses - Imanbek Remix,SAINt JHN,89298,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
36,"10,000 Hours (with Justin Bieber)",Dan + Shay,84412,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
37,Ballin' (with Roddy Ricch),Mustard,83362,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
38,What If I Told You That I Love You,Ali Gatie,82289,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
39,What A Man Gotta Do,Jonas Brothers,81555,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
40,CITY OF ANGELS,24kGoldn,80007,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
41,bad guy,Billie Eilish,78391,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
42,hot girl bummer,blackbear,77276,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
43,Woah,Lil Baby,77090,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
44,Señorita,Shawn Mendes,77083,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
45,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,75763,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
46,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,74776,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
47,Suicidal,YNW Melly,74356,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
48,BOP,DaBaby,69209,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
49,Know Your Worth,Khalid,67453,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
50,Bandit (with YoungBoy Never Broke Again),Juice WRLD,67093,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
