Position,Track Name,Artist,Streams,URL
1,La Difícil,Bad Bunny,520043,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
2,Ignorantes,Bad Bunny,493121,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,La Santa,Bad Bunny,442598,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
4,Si Veo a Tu Mamá,Bad Bunny,350520,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
5,Vete,Bad Bunny,332735,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
6,Hablamos Mañana,Bad Bunny,291244,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
7,Safaera,Bad Bunny,288825,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
8,Yo Perreo Sola,Bad Bunny,285497,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
9,Pero Ya No,Bad Bunny,272206,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
10,Tusa,KAROL G,253817,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,Sigues Con El,Dimelo Flow,239721,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,Bichiyal,Bad Bunny,229976,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
13,A Tu Merced,Bad Bunny,229264,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
14,Soliá,Bad Bunny,222306,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
15,Que Malo,Bad Bunny,217662,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
16,Una Vez,Bad Bunny,215344,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
17,Hola - Remix,Dalex,208498,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
18,La Zona,Bad Bunny,199099,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
19,Girl,Myke Towers,198193,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
20,Keii,Anuel AA,192497,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
21,Diosa,Myke Towers,189186,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
22,Está Cabrón Ser Yo,Bad Bunny,185342,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
23,25/8,Bad Bunny,184939,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
24,<3,Bad Bunny,180687,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
25,P FKN R,Bad Bunny,158768,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
26,René,Residente,158305,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
27,Dance Monkey,Tones and I,153043,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
28,Tattoo,Rauw Alejandro,149885,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
29,Jangueo,Alex Rose,144969,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
30,Puesto Pa' Guerrial,Bad Bunny,137904,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
31,Muévelo,Nicky Jam,137601,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
32,Morado,J Balvin,133507,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
33,Fantasias,Rauw Alejandro,133333,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
34,Aventura,Lunay,131217,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
35,Definitivamente,Daddy Yankee,130529,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
36,Whine Up,Nicky Jam,128993,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
37,Bellaquita - Remix,Dalex,121992,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
38,Adicto (with Anuel AA & Ozuna),Tainy,119060,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
39,Rojo,J Balvin,118077,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
40,Me Gusta,Shakira,113276,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
41,LA CANCIÓN,J Balvin,107557,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
42,No Me Conoce - Remix,Jhay Cortez,99827,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
43,Infeliz,Arcangel,99069,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
44,China,Anuel AA,96333,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
45,RITMO (Bad Boys For Life),Black Eyed Peas,96032,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
46,Quizas,Rich Music LTD,94115,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
47,Mejor,Dalex,93849,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
48,Don't Start Now,Dua Lipa,90435,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
49,Si Te Vas,Sech,90239,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
50,Callaita,Bad Bunny,86141,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
