Position,Track Name,Artist,Streams,URL
1,Rojo,J Balvin,208199,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
2,Ignorantes,Bad Bunny,124001,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,La Difícil,Bad Bunny,117875,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,Si Veo a Tu Mamá,Bad Bunny,109128,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
5,René,Residente,101679,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
6,La Santa,Bad Bunny,88726,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
7,Morado,J Balvin,85563,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
8,Vete,Bad Bunny,83988,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
9,Tusa,KAROL G,83713,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Sigues Con El,Dimelo Flow,81921,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
11,Hola - Remix,Dalex,68938,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
12,Pero Ya No,Bad Bunny,63726,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
13,Dance Monkey,Tones and I,62445,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Blanco,J Balvin,60999,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
15,Safaera,Bad Bunny,59353,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,Yo Perreo Sola,Bad Bunny,57302,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
17,BORRAXXA,Feid,53550,https://open.spotify.com/track/2Y1EBfErprYwOlgluV9neb
18,Soliá,Bad Bunny,53465,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
19,Bichiyal,Bad Bunny,53007,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
20,Girl,Myke Towers,51539,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
21,A Tu Merced,Bad Bunny,50308,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
22,Fantasias,Rauw Alejandro,50296,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
23,Está Cabrón Ser Yo,Bad Bunny,45254,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
24,LA CANCIÓN,J Balvin,44450,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
25,Que Malo,Bad Bunny,43956,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
26,<3,Bad Bunny,43723,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
27,No Me Conoce - Remix,Jhay Cortez,42141,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
28,25/8,Bad Bunny,41804,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
29,Keii,Anuel AA,41523,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
30,La Zona,Bad Bunny,41469,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
31,RITMO (Bad Boys For Life),Black Eyed Peas,41353,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
32,Diosa,Myke Towers,40981,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
33,Medusa,Jhay Cortez,40712,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
34,Quizas,Rich Music LTD,39631,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
35,Una Vez,Bad Bunny,39100,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
36,Bellaquita - Remix,Dalex,38794,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
37,Don't Start Now,Dua Lipa,38050,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
38,China,Anuel AA,36080,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
39,Callaita,Bad Bunny,35872,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
40,Mejor,Dalex,35587,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
41,P FKN R,Bad Bunny,35174,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
42,Tattoo,Rauw Alejandro,35069,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
43,Loco,Beéle,34810,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
44,Infeliz,Arcangel,34718,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
45,QUE PRETENDES,J Balvin,33831,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
46,Definitivamente,Daddy Yankee,33606,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
47,Adicto (with Anuel AA & Ozuna),Tainy,32651,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
48,Si Te Vas,Sech,32456,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
49,Hablamos Mañana,Bad Bunny,30870,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
50,Detente,Mike Bahía,29511,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
