Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,51789,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,Ignorantes,Bad Bunny,50299,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,René,Residente,48106,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
4,La Difícil,Bad Bunny,46889,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
5,Tusa,KAROL G,41878,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,La Santa,Bad Bunny,38627,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
7,Vete,Bad Bunny,38538,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Rojo,J Balvin,34933,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
9,Pero Ya No,Bad Bunny,33273,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
10,Sigues Con El,Dimelo Flow,33089,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
11,Yo Perreo Sola,Bad Bunny,29271,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
12,Dance Monkey,Tones and I,27841,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,Safaera,Bad Bunny,27638,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,Hola - Remix,Dalex,25195,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
15,Está Cabrón Ser Yo,Bad Bunny,24386,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
16,Fantasias,Rauw Alejandro,23979,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
17,Bichiyal,Bad Bunny,23623,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
18,Soliá,Bad Bunny,23529,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
19,A Tu Merced,Bad Bunny,23295,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
20,Mejor,Dalex,22240,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
21,25/8,Bad Bunny,21839,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
22,Morado,J Balvin,21747,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
23,<3,Bad Bunny,21660,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
24,Diosa,Myke Towers,21332,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
25,La Zona,Bad Bunny,18777,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
26,Que Malo,Bad Bunny,17992,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
27,LA CANCIÓN,J Balvin,17764,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
28,Una Vez,Bad Bunny,17371,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
29,Don't Start Now,Dua Lipa,17107,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
30,No Me Conoce - Remix,Jhay Cortez,17048,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,Pa' Olvidarme De Ella,Piso 21,17004,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
32,China,Anuel AA,16343,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
33,Hablamos Mañana,Bad Bunny,16222,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
34,RITMO (Bad Boys For Life),Black Eyed Peas,16186,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
35,Blanco,J Balvin,16118,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
36,P FKN R,Bad Bunny,16020,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
37,Medusa,Jhay Cortez,15614,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
38,Puesto Pa' Guerrial,Bad Bunny,15172,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
39,Definitivamente,Daddy Yankee,15144,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
40,Keii,Anuel AA,14909,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
41,Si Te Vas,Sech,14889,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
42,Callaita,Bad Bunny,14687,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
43,Quizas,Rich Music LTD,14644,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
44,The Box,Roddy Ricch,14351,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
45,Blinding Lights,The Weeknd,14190,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
46,Bellaquita,Dalex,14152,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
47,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,13449,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
48,Whine Up,Nicky Jam,13409,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
49,Bellaquita - Remix,Dalex,12768,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
50,Que Tire Pa Lante,Daddy Yankee,12093,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
