Position,Track Name,Artist,Streams,URL
1,LA DANZA,Branco,87745,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0
2,Blinding Lights,The Weeknd,79017,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Vil Du Med…,Suspekt,62091,https://open.spotify.com/track/1krkFcdC579tuWC334yn1z
4,Intentions (feat. Quavo),Justin Bieber,56415,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Gonzo,Suspekt,51857,https://open.spotify.com/track/0RcrxkcFT5FJpDgaXmzIEF
6,PUB G (feat. Branco & Larry 44),LOLO,50217,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv
7,The Box,Roddy Ricch,49030,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,Klovne,RH,48042,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf
9,Roses - Imanbek Remix,SAINt JHN,46748,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
10,Pas Oublié (feat. Gilli),Isaac Kasule,44655,https://open.spotify.com/track/6kyJjIpIjaoBaNx0VjxcwL
11,Don't Start Now,Dua Lipa,42925,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,BACK TO BUSINESS,Branco,41751,https://open.spotify.com/track/39Bu3mloRh81RhFjGzhwIm
13,Say So,Doja Cat,38185,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
14,NAPOLI,Branco,37712,https://open.spotify.com/track/1HGSCFnYif6HrsLqZHE2Kn
15,Dance Monkey,Tones and I,37200,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,No Time To Die,Billie Eilish,37086,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
17,Ben,Tessa,34725,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
18,Winter Season (feat. Gilli),Amina,34378,https://open.spotify.com/track/4XVZxIg3UjUTZxPlC5lmnj
19,everything i wanted,Billie Eilish,33936,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,Gutterne,Specktors,33212,https://open.spotify.com/track/4xTlom5tmNmAvQ1FCgtfyM
21,Kærlighed (feat. Gilli & Kesi),ATYPISK,33100,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
22,Someone You Loved,Lewis Capaldi,32264,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,31177,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
24,Before You Go,Lewis Capaldi,30350,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Life Is Good (feat. Drake),Future,30296,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
26,London Town,Branco,30240,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
27,Falling,Trevor Daniel,30078,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
28,Godzilla (feat. Juice WRLD),Eminem,29810,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
29,Po Po,ZK,29396,https://open.spotify.com/track/3g1yNMutQGZUmcaVArVaf2
30,Adore You,Harry Styles,29220,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,ROXANNE,Arizona Zervas,28636,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
32,Salt,Ava Max,27054,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
33,VERDEN VENDER,Branco,26268,https://open.spotify.com/track/1k2HuMmXVnn9X4mGZIwIi4
34,Circles,Post Malone,26182,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
35,Corona,ADHD,25238,https://open.spotify.com/track/0frObKN0bCAAFmFMnIdOU1
36,After Hours,The Weeknd,25086,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
37,La Trompeta (feat. MellemFingaMuzik),Camur,24953,https://open.spotify.com/track/0oHSxbawtdWBH9N8SqCjfq
38,Lærte Hende Alt (feat. Lærke Emilie),ATYPISK,24629,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
39,Blueberry Faygo,Lil Mosey,24562,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,Forever (feat. Post Malone & Clever),Justin Bieber,23789,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
41,bad guy,Billie Eilish,23476,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
42,You should be sad,Halsey,23442,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
43,Lose Control,MEDUZA,22696,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
44,Burnout,Calby,22599,https://open.spotify.com/track/33dNxl8o2VT4q5a1t5mkJJ
45,Vai Amor,Gilli,22069,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
46,death bed (feat. beabadoobee),Powfu,22052,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
47,Yummy,Justin Bieber,21865,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
48,Memories,Maroon 5,21786,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
49,Stupid Love,Lady Gaga,20158,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
50,MON CHERI (feat. Amina),Branco,20056,https://open.spotify.com/track/6k5MGDSLnIWG2YfpiYHWd9
