Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,71291,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,66065,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Ignorantes,Bad Bunny,60883,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
4,La Santa,Bad Bunny,52199,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
5,Rojo,J Balvin,45545,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
6,René,Residente,43626,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
7,Vete,Bad Bunny,42988,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Yo Perreo Sola,Bad Bunny,42731,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
9,Pero Ya No,Bad Bunny,38863,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
10,Tusa,KAROL G,38520,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,Sigues Con El,Dimelo Flow,37652,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,Morado,J Balvin,34715,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
13,Safaera,Bad Bunny,32147,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
14,Bichiyal,Bad Bunny,29328,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
15,Hola - Remix,Dalex,29188,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
16,A Tu Merced,Bad Bunny,29162,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
17,Soliá,Bad Bunny,27837,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
18,Dance Monkey,Tones and I,27658,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,Diosa,Myke Towers,26787,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
20,<3,Bad Bunny,23797,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
21,Jangueo,Alex Rose,23172,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
22,Fantasias,Rauw Alejandro,22453,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
23,Que Malo,Bad Bunny,22424,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
24,25/8,Bad Bunny,22258,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
25,La Zona,Bad Bunny,22017,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
26,Está Cabrón Ser Yo,Bad Bunny,21919,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
27,Blinding Lights,The Weeknd,21687,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
28,Detente,Mike Bahía,21335,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
29,Una Vez,Bad Bunny,20963,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
30,Don't Start Now,Dua Lipa,20712,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
31,No Me Conoce - Remix,Jhay Cortez,20244,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
32,Girl,Myke Towers,20026,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
33,Blanco,J Balvin,19295,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
34,LA CANCIÓN,J Balvin,19223,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
35,Tattoo,Rauw Alejandro,19011,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
36,TBT,Sebastian Yatra,18690,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
37,Hablamos Mañana,Bad Bunny,18078,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
38,Me Gusta,Shakira,17924,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
39,Muévelo,Nicky Jam,17802,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
40,Callaita,Bad Bunny,17094,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
41,P FKN R,Bad Bunny,16616,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
42,RITMO (Bad Boys For Life),Black Eyed Peas,16588,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
43,Keii,Anuel AA,16428,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
44,Definitivamente,Daddy Yankee,16063,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
45,Infeliz,Arcangel,15620,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
46,Bellaquita - Remix,Dalex,15589,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
47,QUE PRETENDES,J Balvin,15443,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
48,China,Anuel AA,15278,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
49,Puesto Pa' Guerrial,Bad Bunny,14889,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
50,Quizas,Rich Music LTD,14206,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
