Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,37211,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,32226,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,La Santa,Bad Bunny,27169,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
4,Ignorantes,Bad Bunny,24917,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
5,Vete,Bad Bunny,21769,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
6,Pero Ya No,Bad Bunny,20264,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
7,René,Residente,19945,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
8,Safaera,Bad Bunny,19217,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,Yo Perreo Sola,Bad Bunny,18123,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
10,Soliá,Bad Bunny,15294,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
11,Sigues Con El,Dimelo Flow,14672,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,Tusa,KAROL G,14618,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,Bichiyal,Bad Bunny,13674,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
14,A Tu Merced,Bad Bunny,13042,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
15,Dance Monkey,Tones and I,12670,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,25/8,Bad Bunny,11901,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
17,Está Cabrón Ser Yo,Bad Bunny,11891,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
18,<3,Bad Bunny,11829,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
19,La Zona,Bad Bunny,11570,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
20,Una Vez,Bad Bunny,11398,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
21,Rojo,J Balvin,11323,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
22,Hola - Remix,Dalex,11174,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
23,Fantasias,Rauw Alejandro,11034,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
24,Que Malo,Bad Bunny,11007,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
25,No Me Conoce - Remix,Jhay Cortez,10066,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
26,LA CANCIÓN,J Balvin,10006,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
27,Blinding Lights,The Weeknd,9537,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
28,P FKN R,Bad Bunny,9511,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
29,Hablamos Mañana,Bad Bunny,9509,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
30,Morado,J Balvin,9115,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
31,Diosa,Myke Towers,9048,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
32,Callaita,Bad Bunny,8606,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
33,Don't Start Now,Dua Lipa,8540,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
34,Puesto Pa' Guerrial,Bad Bunny,7892,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
35,Keii,Anuel AA,7828,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
36,RITMO (Bad Boys For Life),Black Eyed Peas,7154,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
37,Pa' Olvidarme De Ella,Piso 21,7093,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
38,China,Anuel AA,6935,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
39,Muévelo,Nicky Jam,6853,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
40,Definitivamente,Daddy Yankee,6648,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
41,Adicto (with Anuel AA & Ozuna),Tainy,6603,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
42,Infeliz,Arcangel,6542,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
43,Bellaquita - Remix,Dalex,6473,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
44,Girl,Myke Towers,5942,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
45,Whine Up,Nicky Jam,5915,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
46,Soltera - Remix,Lunay,5881,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
47,Yummy,Justin Bieber,5805,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
48,Quizas,Rich Music LTD,5616,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
49,QUE PRETENDES,J Balvin,5555,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,Bellaquita,Dalex,5471,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
