Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,5151,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Ooh Aah,Púr Múdd,5003,https://open.spotify.com/track/5bLYTndZBHgOzc6pzb8VBb
3,Paaristõuked,5MIINUST,4542,https://open.spotify.com/track/5fhn8aAo9FAl1pVLsMPOPk
4,The Box,Roddy Ricch,3776,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,everything i wanted,Billie Eilish,3114,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Falling,Trevor Daniel,3074,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Roses - Imanbek Remix,SAINt JHN,3072,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,Say So,Doja Cat,2950,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,Don't Start Now,Dua Lipa,2819,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,No Time To Die,Billie Eilish,2782,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
11,What Love Is,Uku Suviste,2503,https://open.spotify.com/track/4UXWZHAS7DhRqLVxraGH1w
12,After Hours,The Weeknd,2442,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
13,Adore You,Harry Styles,2279,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
14,Intentions (feat. Quavo),Justin Bieber,2277,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,Aluspükse,5MIINUST,2254,https://open.spotify.com/track/2xtLPeeUmIzM1hFw2qeH4U
16,Üks Kord Veel,Traffic,2234,https://open.spotify.com/track/2WVSHS3zUhl9STi9IHxXlg
17,ROXANNE,Arizona Zervas,2194,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,für Oksana,Nublu,2180,https://open.spotify.com/track/3ZNv0P70XQX5FoQAUw3bLg
19,Stupid Love,Lady Gaga,2176,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
20,Moral of the Story,Ashe,2165,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
21,Write About Me,Anett,2128,https://open.spotify.com/track/0hKZUBuzRQ9I9RvOnVmaJj
22,Georgia (On My Mind),Egert Milder,2126,https://open.spotify.com/track/1Q5UimIGgkof2N7MSDXxxQ
23,Dance Monkey,Tones and I,2097,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
24,Life Is Good (feat. Drake),Future,1935,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
25,Physical,Dua Lipa,1931,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
26,Godzilla (feat. Juice WRLD),Eminem,1926,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,Circles,Post Malone,1893,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,Blueberry Faygo,Lil Mosey,1872,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
29,CITY OF ANGELS,24kGoldn,1846,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
30,You should be sad,Halsey,1827,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
31,Beautiful Lie,Jaagup Tuisk,1812,https://open.spotify.com/track/2sOvwDFink9UnA01nxqatN
32,death bed (feat. beabadoobee),Powfu,1769,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
33,That Way,Lil Uzi Vert,1752,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
34,Sunday Best,Surfaces,1675,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
35,bad guy,Billie Eilish,1650,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,Lose Control,MEDUZA,1629,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
37,Nagu kuu,AG,1599,https://open.spotify.com/track/3PolbbkoTOtce1ecn1Z20a
38,Boss Bitch,Doja Cat,1582,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
39,Before You Go,Lewis Capaldi,1558,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,Ride It,Regard,1541,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
41,when the party's over,Billie Eilish,1529,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
42,My Oh My (feat. DaBaby),Camila Cabello,1490,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
43,Some Say,Nea,1437,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
44,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,1428,https://open.spotify.com/track/5MsRvwS27MkB8qsx7r9hqj
45,hot girl bummer,blackbear,1421,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
46,Tsirkus,5MIINUST,1351,https://open.spotify.com/track/0x4cbwsF2NN3BwmQRgkljV
47,3 Nights,Dominic Fike,1317,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
48,Someone You Loved,Lewis Capaldi,1312,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
49,jah või ei,säm,1285,https://open.spotify.com/track/66bVV2WinJ22M0sfkQvS3K
50,Know Your Worth,Khalid,1267,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
