Position,Track Name,Artist,Streams,URL
1,Imahe,Magnus Haven,272046,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5
2,Intentions (feat. Quavo),Justin Bieber,260764,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,Make It With You,Ben&Ben,256423,https://open.spotify.com/track/2Mo4pOpCYXOu33856sMQLh
4,Pagtingin,Ben&Ben,230337,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
5,Don't Start Now,Dua Lipa,225663,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Sa Susunod na Habang Buhay,Ben&Ben,211038,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd
7,Yummy,Justin Bieber,197635,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
8,Memories,Maroon 5,195943,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,"10,000 Hours (with Justin Bieber)",Dan + Shay,195120,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
10,Someone You Loved,Lewis Capaldi,185007,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Masyado Pang Maaga,Ben&Ben,183022,https://open.spotify.com/track/0luyrm1L6gjtoLekHOf67t
12,Hindi Tayo Pwede,The Juans,180683,https://open.spotify.com/track/6VqZS3Wmf53pbfDBVEYvnP
13,Catriona,Matthaios,179527,https://open.spotify.com/track/4YMfE4r1JWADFw2Fn74XW2
14,ROXANNE,Arizona Zervas,167527,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Vibe With Me,Matthaios,156942,https://open.spotify.com/track/0G5qmu4TsdUH19zdcbI9Ui
16,Circles,Post Malone,154286,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
17,Mean It,Lauv,147351,https://open.spotify.com/track/4z1rk9qlsqhp5LJm5qvXZF
18,Kathang Isip,Ben&Ben,145226,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
19,Falling,Trevor Daniel,143434,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
20,death bed (feat. beabadoobee),Powfu,139025,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,I Want You Back,Matthaios,138800,https://open.spotify.com/track/5jLUKFlEJzOf6b6PCaohFI
22,Ivana,Soulstice,135036,https://open.spotify.com/track/54b8IPvheXDpro2VR2rWAS
23,Araw-Araw,Ben&Ben,133437,https://open.spotify.com/track/4rG3h1QwgjSSWz8EIjCFrm
24,ON (Feat. Sia),BTS,133404,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
25,Binalewala - Original Version,Michael Dutchi Libranda,128083,https://open.spotify.com/track/2tR5liucorXRwduxr0qEx6
26,Maybe The Night,Ben&Ben,126442,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
27,Fall,Ben&Ben,123974,https://open.spotify.com/track/4SQ3HwsAiGTikY7gOAybwH
28,Say So,Doja Cat,113798,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
29,It's You,Ali Gatie,113017,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
30,Zebbiana,Skusta Clee,111832,https://open.spotify.com/track/6IdEQ3HUseBeRUYFSzSMdL
31,Yellow Hearts,Ant Saunders,110015,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
32,Dance Monkey,Tones and I,109647,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
33,Sa Susunod Na Lang,PDL,109610,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
34,comethru,Jeremy Zucker,109541,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
35,Beautiful People (feat. Khalid),Ed Sheeran,108660,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
36,Sanctuary,Joji,108212,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
37,Blinding Lights,The Weeknd,102651,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
38,Sana,I Belong to the Zoo,102230,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
39,Sunday Best,Surfaces,102228,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
40,Get You The Moon (feat. Snøw),Kina,99023,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
41,I.F.L.Y.,Bazzi,98946,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
42,Can We Kiss Forever?,Kina,96011,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
43,Tattoos Together,Lauv,95565,https://open.spotify.com/track/33N0DfqkeNyir1emyxNVG5
44,Kung 'Di Rin Lang Ikaw,December Avenue,90283,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
45,Make It Right (feat. Lauv),BTS,89152,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
46,Physical,Dua Lipa,87884,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
47,"always, i'll care",Jeremy Zucker,87812,https://open.spotify.com/track/1LdS1ULS9e18oW3M2C1MUj
48,Stupid Love,Lady Gaga,87490,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
49,Leaves,Ben&Ben,86609,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv
50,ON,BTS,80410,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
