Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,53598,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Epäröimättä hetkeekään,Elastinen,50744,https://open.spotify.com/track/6efE8dnOMEq6omfJK96lCM
3,Hei rakas,BEHM,37951,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP
4,The Box,Roddy Ricch,35730,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,Salt,Ava Max,31215,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
6,Godzilla (feat. Juice WRLD),Eminem,30175,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
7,Sukupuuttoon,Nelli Matula,30156,https://open.spotify.com/track/3lDA67ufRf39P2P7SqK6Cf
8,No Time To Die,Billie Eilish,29915,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
9,Hitaasti,Evelina,29386,https://open.spotify.com/track/3t37QkiFveNron3awrhj6C
10,Päiväuni,Ida Paul & Kalle Lindroth,29003,https://open.spotify.com/track/6DK910m5pdhASFE3mhqKnx
11,Physical,Dua Lipa,28471,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
12,death bed (feat. beabadoobee),Powfu,27195,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,Stupid Love,Lady Gaga,26400,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
14,2020,Anna Puu,26066,https://open.spotify.com/track/0GqFfjQLx1294EupKJnhhh
15,Say So,Doja Cat,25472,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
16,everything i wanted,Billie Eilish,24788,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
17,16v,Cavallini & Shrty,24564,https://open.spotify.com/track/4nMnSPySmQH5D0I0FM9BwE
18,Dance Monkey,Tones and I,23933,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
19,Cicciolina,Erika Vikman,23113,https://open.spotify.com/track/1BrCg5ZARTc16Y8jg8yZvg
20,Don't Start Now,Dua Lipa,22741,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
21,Falling,Trevor Daniel,22023,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
22,Roses - Imanbek Remix,SAINt JHN,21728,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
23,Kun tänään lähden (feat. Jussu Pöyhönen),WIL,20987,https://open.spotify.com/track/1zCk6jRQO6GAFVpNrFTqK0
24,You should be sad,Halsey,20451,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
25,Valittu kansa,Antti Tuisku,20044,https://open.spotify.com/track/6caWW1dpSJQtmO8zlgGo9g
26,Pintakaasulla,JVG,19936,https://open.spotify.com/track/3eHkFrUUGYuwEgIPRPtW9L
27,Intentions (feat. Quavo),Justin Bieber,19444,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,After Hours,The Weeknd,19199,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
29,Ikuinen vappu,JVG,18965,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
30,Blueberry Faygo,Lil Mosey,18850,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
31,Someone You Loved,Lewis Capaldi,18838,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
32,Soitan sua niinku kitaraa (feat. Remu),Yksi Totuus,18502,https://open.spotify.com/track/29R9TB68HvZUUgviKfbVKV
33,Japanese Drip,Kube,18197,https://open.spotify.com/track/1z4jCtA9thODROr8aMdcyP
34,Fuck the World,Pyhimys,18000,https://open.spotify.com/track/5PHL0WXMCGOkD5dOPieuJU
35,Rikollinen,Vilma Alina,17882,https://open.spotify.com/track/4wlwmhjih4nAig5Qqc5baE
36,"Alone, Pt. II",Alan Walker,17690,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
37,Teipillä tai rakkaudella,ABREU,17128,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac
38,Luota Muhun,ibe,17010,https://open.spotify.com/track/4gEvvWYAF3yzv9hEY9f3oy
39,ROXANNE,Arizona Zervas,16803,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
40,Surullinen Klovni,MKDMSK,16645,https://open.spotify.com/track/4ASbWGCzKRYA07lqDfouYu
41,Sori en oo pahoillani,Mouhous,16635,https://open.spotify.com/track/1GgRUkWVQpbbmfi1ETKJFR
42,Silmät,Gettomasa,16598,https://open.spotify.com/track/1rYP6R16sM0uSlxrqzR5pM
43,Moral of the Story,Ashe,16591,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
44,Voimaa ja valoa,Pete Parkkonen,16399,https://open.spotify.com/track/6K2GdDdnScrILmMDiK0eb4
45,Onnellinen loppu,Kaija Koo,16340,https://open.spotify.com/track/6qRo9iqxJvDY5d9hCfJIyE
46,v!@%#mikko,Pyhimys,16205,https://open.spotify.com/track/2q3JdqkulAHyOzIpA52z42
47,Poikien vessa (feat. costee),Mouhous,15099,https://open.spotify.com/track/1NKZmg1pXWa05C0yNld9hl
48,bad guy,Billie Eilish,14804,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
49,Jeesei,Gettomasa,14740,https://open.spotify.com/track/6Rs9Zhrvu1jHTvBm4MypAx
50,Before You Go,Lewis Capaldi,14259,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
