Position,Track Name,Artist,Streams,URL
1,6.3,Naps,433572,https://open.spotify.com/track/6bzxAa3VCiIGzhjsxbHo5q
2,Meleğim,Soolking,260617,https://open.spotify.com/track/0RyGkLUzlkmu6EZadbOgZa
3,Blinding Lights,The Weeknd,258829,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Ne reviens pas,Gradur,254276,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
5,M.I.L.S 3,Ninho,228572,https://open.spotify.com/track/11Txm6v3p3x6GKqQ6nMesf
6,The Box,Roddy Ricch,216973,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,Distant,Maes,216895,https://open.spotify.com/track/1Sb7QJRawbARgpMqyYNMkT
8,Dans l'espace (feat. Heuss l'Enfoiré),Gambi,203270,https://open.spotify.com/track/2KAkkba3PaYFegfmYpUITv
9,MD (feat. Niska),4Keus,203187,https://open.spotify.com/track/7HnZCmNXgva6N3kZiK0NTn
10,Blanche,Maes,199089,https://open.spotify.com/track/5GyyPRvEwdI4wJSUbzxHQv
11,Dybala,Maes,196387,https://open.spotify.com/track/4Nfak8iMF4kQfQ6Pa8Z79m
12,Ailleurs (feat. Maes),Timal,187081,https://open.spotify.com/track/5rTFwZ5ECdJTcMtm0O8mYS
13,Moulaga,Heuss L'enfoiré,185423,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
14,Dance Monkey,Tones and I,180612,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,93% [Tijuana],GLK,172472,https://open.spotify.com/track/45mzuuUWaRRLwIDifDferf
16,Week-end (feat. Leto),Timal,167680,https://open.spotify.com/track/793CoRrbz4REtL14m4SbgF
17,Tusa,KAROL G,167397,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
18,Promis (feat. PLK),Timal,151186,https://open.spotify.com/track/25ji4nGiHRJhdBkQ1CAike
19,40%,Aya Nakamura,148938,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
20,Falling,Trevor Daniel,146270,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,ROXANNE,Arizona Zervas,141647,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
22,Jamais,Mister V,140753,https://open.spotify.com/track/4jB8td98pbRVvTqtQ7I3MI
23,Oui ou non,Angèle,139797,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
24,Côte Ouest,47ter,138991,https://open.spotify.com/track/4ZuuPLV4qYiznagLAFPHcW
25,Calumet,Hornet La Frappe,138840,https://open.spotify.com/track/4hCHnvepjWmpP2kgYuEC7d
26,Don't Start Now,Dua Lipa,138420,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
27,La 13,Timal,135559,https://open.spotify.com/track/7MQPQssaXaj3ztFOuqx8AK
28,Roses - Imanbek Remix,SAINt JHN,135505,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
29,Carré VIP,Naps,130416,https://open.spotify.com/track/7mLfWNnbPJw5qAdukn4DX4
30,Ride It,Regard,129841,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
31,Avant toi,Vitaa,124723,https://open.spotify.com/track/4iNPp0BZ4lBu7bipdWLcWk
32,Street,Maes,123907,https://open.spotify.com/track/7x3kHHEczVkeuuFkUKjUv7
33,Some Say,Nea,117491,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
34,Woin Woin (feat. RK),Larry,117394,https://open.spotify.com/track/0vetigm1cKD8YvB37KCSHu
35,Gang,Mister V,115070,https://open.spotify.com/track/10luKmtlbA2PO8tH3kurlJ
36,Mec de cité,Yaro,114668,https://open.spotify.com/track/0ZgS1ThlLDBfoSLwLc8AfO
37,Baianá,Bakermat,113356,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
38,Popopop,Gambi,111894,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
39,La vie qu'on mène,Ninho,111200,https://open.spotify.com/track/0Jh6iWjna1wk5le0Ahn7No
40,Copilote,Timal,108456,https://open.spotify.com/track/5m2MUY0tlohYnBqIeZV7DI
41,Routine,Timal,103435,https://open.spotify.com/track/76ihJpOrW3E4GrEriesZDz
42,Pirelli,Mister V,102258,https://open.spotify.com/track/7FZoYJcmCB22N0lAg52nZG
43,Disponible,Timal,101810,https://open.spotify.com/track/0oXPB8OSjvfeJNf3i2RQ50
44,Say So,Doja Cat,100520,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
45,Loin de moi,Naza,98706,https://open.spotify.com/track/30kxl4FnaEFS2qZkec3Zak
46,RITMO (Bad Boys For Life),Black Eyed Peas,93997,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
47,everything i wanted,Billie Eilish,93818,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
48,Pourcent,Naps,90467,https://open.spotify.com/track/6gu1YqgG9XYmLyqzBRX47w
49,Que Calor (with J Balvin & El Alfa),Major Lazer,88429,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
50,Allez les gros,Marwa Loud,87975,https://open.spotify.com/track/3t3QMbpJic6WPVDapRDUJm
