Position,Track Name,Artist,Streams,URL
1,Matrix,Apache 207,639296,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
2,100k Cash,Capital Bra,513897,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
3,Blinding Lights,The Weeknd,495576,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,D A YYY T O N A,Dardan,434346,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
5,Baby,Joker Bra,390420,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
6,Mios mit Bars,Luciano,382908,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
7,Roller,Apache 207,371841,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
8,Lass los,Dhurata Dora,363454,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
9,Breaking Me,Topic,343531,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,Rich Rich,Ufo361,325014,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
11,Karakol,Capo,316734,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
12,Kein Wort,Juju,312580,https://open.spotify.com/track/1hoLUVBx0ixX3kn0EX0P5n
13,Weiss,Samra,294675,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
14,The Box,Roddy Ricch,290743,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
15,Schüsse im Regen,Samra,288248,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
16,Dance Monkey,Tones and I,284479,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,Roses - Imanbek Remix,SAINt JHN,274743,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,Auf Wiedersehen,Mozzik,252349,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
19,Schlafen,Ufo361,246353,https://open.spotify.com/track/7cV5zRs2cXP0H9e29UMI7Z
20,In Your Eyes (feat. Alida),Robin Schulz,233303,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
21,Zu Ende,Samra,229061,https://open.spotify.com/track/0Vl4eICpXMjtiK0RhdaWov
22,Falling,Trevor Daniel,228229,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
23,Nur wegen dir,Nimo,215343,https://open.spotify.com/track/0ui2kVwPZKHaZxGhdIzBrp
24,200 km/h,Apache 207,208394,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q
25,Revenge,Elias,208091,https://open.spotify.com/track/0VLwCyZ3QIvPXhPXhaiZfk
26,GRIND,Fler,207680,https://open.spotify.com/track/0oFrTaO9UIgqu6MuzkFu7B
27,Don't Start Now,Dua Lipa,206525,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
28,Alien,RIN,203142,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV
29,No Time To Die,Billie Eilish,201855,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
30,Intentions (feat. Quavo),Justin Bieber,199496,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
31,CHING CHING CHING,Farid Bang,190465,https://open.spotify.com/track/32ojM1s5NBAmuSzkJhS8aP
32,KRIMINELL,Kianush,189536,https://open.spotify.com/track/3ecKtWMr8HK99YOs7L6Ps3
33,Donuts,Gzuz,188747,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
34,Close Your Eyes,Felix Jaehn,185232,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6
35,What If I Told You That I Love You,Ali Gatie,184457,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
36,Verkackt,Gzuz,178617,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
37,110,Capital Bra,176078,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
38,Mon Ami,Samra,172853,https://open.spotify.com/track/1R4xkZXQUQ8QJtAdwHkSgC
39,Ride It,Regard,172027,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
40,Skifahren (feat. Joshi Mizu),The Cratez,166271,https://open.spotify.com/track/7qwWwsa6otLM0UOEamls4s
41,Godzilla (feat. Juice WRLD),Eminem,164634,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
42,Wieso tust Du dir das an?,Apache 207,160792,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89
43,6AM.........,Dardan,155938,https://open.spotify.com/track/36J10AwMabBYxgNrV2S8gd
44,2002,Sido,155615,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b
45,Vermissen (feat. Henning May),Juju,153496,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz
46,Life Is Good (feat. Drake),Future,151220,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
47,Moral of the Story,Ashe,150622,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
48,everything i wanted,Billie Eilish,150460,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
49,Lose Control,MEDUZA,146655,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
50,ROXANNE,Arizona Zervas,146635,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
