Position,Track Name,Artist,Streams,URL
1,Pretender,Official HIGE DANdism,192628,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z
2,I LOVE...,Official HIGE DANdism,178503,https://open.spotify.com/track/6Yrkz3dWqy933CQWQc4Yah
3,Hakujitsu,King Gnu,174973,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy
4,宿命,Official HIGE DANdism,141810,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3
5,イエスタデイ,Official HIGE DANdism,123516,https://open.spotify.com/track/3S3DDZrPOYTirleXRyHnNM
6,115万キロのフィルム,Official HIGE DANdism,112975,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
7,ノーダウト,Official HIGE DANdism,111670,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
8,Gurenge,LiSA,106702,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY
9,Machigaisagashi,Masaki Suda,103133,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc
10,Doron,King Gnu,94712,https://open.spotify.com/track/2JY4tbfUERXveQxv6wTFFv
11,Teenager Forever,King Gnu,90883,https://open.spotify.com/track/1jtBcfrVYDtykjyM66hroR
12,マリーゴールド,Aimyon,87207,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
13,Hikoutei,King Gnu,85412,https://open.spotify.com/track/6Ea33AvEANARkK2QduzhRm
14,bad guy,Billie Eilish,79591,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,Stand By You,Official HIGE DANdism,77104,https://open.spotify.com/track/7MhJmtlNl6R0oppdG59CaI
16,Sayonara Elegy,Masaki Suda,74466,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D
17,ただ君に晴れ,ヨルシカ,74001,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
18,高嶺の花子さん,back number,73990,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
19,Umbrella,King Gnu,73762,https://open.spotify.com/track/3JdeDiWCJW7KFLr58GHrSQ
20,インフェルノ,Mrs. GREEN APPLE,70396,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY
21,Walking with you,Novelbright,64456,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
22,君はロックを聴かない,Aimyon,63874,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
23,点描の唄,Mrs. GREEN APPLE,63744,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
24,青と夏,Mrs. GREEN APPLE,63462,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3
25,Closer - Tokyo Remix,The Chainsmokers,60252,https://open.spotify.com/track/5PYnqtWbSBJTJFl4Ui55HE
26,クリスマスソング,back number,58357,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su
27,ハッピーエンド,back number,57941,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J
28,ロマンチシズム,Mrs. GREEN APPLE,57522,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs
29,HANABI,Mr.Children,56471,https://open.spotify.com/track/77lmDcPPyY6kK907gdgC6i
30,ハルノヒ,Aimyon,55434,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0
31,ON,BTS,55404,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
32,小さな恋のうた,MONGOL800,53454,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35
33,366日,HY,52857,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc
34,Turning Up,ARASHI,52591,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX
35,今夜このまま,Aimyon,52444,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3
36,Wherever you are,ONE OK ROCK,51507,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
37,No Regret,wacci,51483,https://open.spotify.com/track/5TIMNeqGc26Ohw0yfcAfGB
38,Small Planet,King Gnu,51368,https://open.spotify.com/track/6eRs5SaiDOaGJ5AceBnrsk
39,ワタリドリ,[Alexandros],50906,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
40,Humor,King Gnu,49661,https://open.spotify.com/track/0q5UAd2D2ZC8lGZcKXdyEg
41,打上花火,DAOKO×米津玄師,49570,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa
42,Dance Monkey,Tones and I,49325,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
43,Vinyl,King Gnu,49080,https://open.spotify.com/track/2zbWCme3Dvp8071b4R4nkY
44,Intentions (feat. Quavo),Justin Bieber,48628,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
45,愛をこめて花束を,Superfly,47334,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ
46,奏(かなで),Sukima Switch,47209,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG
47,カブトムシ,aiko,46104,https://open.spotify.com/track/2Os0vzke5CakbU3dkSHckx
48,ひまわりの約束,Motohiro Hata,45629,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d
49,Yummy,Justin Bieber,44314,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
50,Black Swan,BTS,41727,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
