Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,16588,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Just Like Me,Fy,16302,https://open.spotify.com/track/7BBgzZ4jC658I2jONXYZGV
3,Aroma,Fy,13352,https://open.spotify.com/track/4ewhPnjVBPYE5Mgc55dJ39
4,Roses - Imanbek Remix,SAINt JHN,13244,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,Blinding Lights,The Weeknd,12331,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,Life Is Good (feat. Drake),Future,9392,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
7,Superstar,Fy,9309,https://open.spotify.com/track/0kmZYiOLssiaJcgSrd4BIM
8,Dance Monkey,Tones and I,8795,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,Falling,Trevor Daniel,8738,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,No Time To Die,Billie Eilish,8690,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
11,Don't Start Now,Dua Lipa,8476,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,Benjamin Franklin,Fy,8259,https://open.spotify.com/track/4gwXm9bsdbPgANA5iwwfnW
13,everything i wanted,Billie Eilish,7888,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,Ganador - Intro,Fy,7596,https://open.spotify.com/track/4e0UN5bwR8qPsVoXVjayo3
15,After Hours,The Weeknd,7520,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
16,Cameras & Flash,Fy,7494,https://open.spotify.com/track/72fXydW7cnLdAZIRVn8DMP
17,Me Ta Idia Matia,Fy,7483,https://open.spotify.com/track/4y5Ly8A2Y5yPGaWceQDeod
18,Woh,Fy,7478,https://open.spotify.com/track/0Hgn1f4MeiSBFA32DPbt7M
19,Stupid Love,Lady Gaga,7090,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
20,Payroll,Fy,6908,https://open.spotify.com/track/0Nip5SZCrf0lnWSNjZjn7N
21,HIGHEST IN THE ROOM,Travis Scott,6844,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
22,Senorita,Snik,6803,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
23,Vgazei Story,Sele,6740,https://open.spotify.com/track/7IqAw0ffDEuOBxImNdInvp
24,Say So,Doja Cat,6590,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
25,Godzilla (feat. Juice WRLD),Eminem,6517,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
26,ROXANNE,Arizona Zervas,6383,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
27,Intentions (feat. Quavo),Justin Bieber,6300,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
28,Caliente,Mente Fuerte,6298,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
29,BIG MAN,Snik,6135,https://open.spotify.com/track/7qd01xrME77eyWqGPumC2J
30,Kalitera Apo Sena,Fy,6114,https://open.spotify.com/track/7j6YOEZNQyWORkbprF83oC
31,Oxi Simera,LEX,5914,https://open.spotify.com/track/0dD17UWACV5aYTyeS6af1k
32,bad guy,Billie Eilish,5647,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
33,Stars,TOQUEL,5469,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
34,Physical,Dua Lipa,5336,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
35,Apo Ti Fimi,Fy,5254,https://open.spotify.com/track/0oeulnsmociZzKFlZeNdzU
36,Deja Vu,Hawk,5079,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
37,Opos Palia,DJ Stephan,5044,https://open.spotify.com/track/7BjbNgsoB6sUNAP3DMLaDE
38,Business,TOQUEL,5035,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
39,Blueberry Faygo,Lil Mosey,4970,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,Sandra,TOQUEL,4967,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
41,Colpo Grosso,Snik,4965,https://open.spotify.com/track/4lCwnBZurX0OIqMKBOHRlS
42,Yayo,Eleni Foureira,4893,https://open.spotify.com/track/2R49jde0XRhZbTrpbiZCNV
43,Mpate Skiloi,Sadam,4836,https://open.spotify.com/track/0jUogKg2j0FYANUFb7ere8
44,Lose Control,MEDUZA,4777,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
45,Mektoub,VLOSPA,4710,https://open.spotify.com/track/73hkARooAxWI3EXpk41S1y
46,My Oh My (feat. DaBaby),Camila Cabello,4633,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
47,Montecristo,Mad Clip,4579,https://open.spotify.com/track/0g3fKXiX2AANAX3k6FnKib
48,Netflix,TOQUEL,4573,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
49,Ayy Macarena,Tyga,4571,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
50,Yummy,Justin Bieber,4455,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
