Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,67822,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,58334,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Ignorantes,Bad Bunny,55348,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
4,La Santa,Bad Bunny,47878,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
5,Vete,Bad Bunny,42201,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
6,René,Residente,38272,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
7,Sigues Con El,Dimelo Flow,35534,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
8,Pero Ya No,Bad Bunny,34862,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
9,Tusa,KAROL G,34189,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Rojo,J Balvin,29353,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
11,Yo Perreo Sola,Bad Bunny,28641,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
12,Soliá,Bad Bunny,27182,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
13,A Tu Merced,Bad Bunny,24149,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
14,Fantasias,Rauw Alejandro,24058,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
15,Bichiyal,Bad Bunny,23238,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
16,Dance Monkey,Tones and I,22950,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
17,Safaera,Bad Bunny,22062,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
18,Morado,J Balvin,21909,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
19,LA CANCIÓN,J Balvin,21592,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
20,No Me Conoce - Remix,Jhay Cortez,21179,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
21,Hola - Remix,Dalex,20896,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
22,Está Cabrón Ser Yo,Bad Bunny,20744,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
23,La Zona,Bad Bunny,20422,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
24,Una Vez,Bad Bunny,20320,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
25,<3,Bad Bunny,19499,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
26,Que Malo,Bad Bunny,19441,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
27,25/8,Bad Bunny,19042,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
28,Pa' Olvidarme De Ella,Piso 21,18750,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
29,Callaita,Bad Bunny,17852,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
30,Jangueo,Alex Rose,17755,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
31,Diosa,Myke Towers,17527,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
32,Tattoo,Rauw Alejandro,17301,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
33,Blinding Lights,The Weeknd,16898,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
34,Keii,Anuel AA,16864,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
35,Definitivamente,Daddy Yankee,16552,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
36,P FKN R,Bad Bunny,15865,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
37,China,Anuel AA,15839,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
38,RITMO (Bad Boys For Life),Black Eyed Peas,15671,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
39,Muévelo,Nicky Jam,15312,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
40,Hablamos Mañana,Bad Bunny,15106,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
41,Don't Start Now,Dua Lipa,15090,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
42,Infeliz,Arcangel,15025,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
43,Mejor,Dalex,14006,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
44,Adicto (with Anuel AA & Ozuna),Tainy,13928,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
45,Si Te Vas,Sech,13836,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
46,Whine Up,Nicky Jam,13680,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
47,Puesto Pa' Guerrial,Bad Bunny,13386,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
48,Me Gusta,Shakira,13200,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
49,Soltera - Remix,Lunay,12957,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
50,QUE PRETENDES,J Balvin,12942,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
