Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,36127,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,31820,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,La Santa,Bad Bunny,28446,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
4,Ignorantes,Bad Bunny,27518,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
5,Safaera,Bad Bunny,23778,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
6,Pero Ya No,Bad Bunny,20612,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
7,Vete,Bad Bunny,19740,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Yo Perreo Sola,Bad Bunny,17956,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
9,Soliá,Bad Bunny,17167,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
10,A Tu Merced,Bad Bunny,16230,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
11,Bichiyal,Bad Bunny,15677,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
12,René,Residente,15158,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
13,25/8,Bad Bunny,13276,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
14,Está Cabrón Ser Yo,Bad Bunny,12775,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
15,La Zona,Bad Bunny,12630,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
16,Una Vez,Bad Bunny,12215,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
17,Que Malo,Bad Bunny,12002,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
18,<3,Bad Bunny,11796,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
19,Tusa,KAROL G,11458,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
20,Rojo,J Balvin,11443,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
21,Sigues Con El,Dimelo Flow,11427,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
22,P FKN R,Bad Bunny,10551,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
23,Hablamos Mañana,Bad Bunny,9220,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
24,Puesto Pa' Guerrial,Bad Bunny,8689,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
25,Dance Monkey,Tones and I,8668,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,Diosa,Myke Towers,8547,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
27,Blinding Lights,The Weeknd,8303,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
28,Hola - Remix,Dalex,8208,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
29,LA CANCIÓN,J Balvin,8113,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,Girl,Myke Towers,7588,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
31,Morado,J Balvin,7390,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
32,No Me Conoce - Remix,Jhay Cortez,7312,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
33,Fantasias,Rauw Alejandro,7242,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
34,Infeliz,Arcangel,6859,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
35,Callaita,Bad Bunny,6570,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
36,Don't Start Now,Dua Lipa,6517,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
37,Definitivamente,Daddy Yankee,6278,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
38,Keii,Anuel AA,5870,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
39,RITMO (Bad Boys For Life),Black Eyed Peas,5837,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
40,Medusa,Jhay Cortez,5775,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
41,Pa' Olvidarme De Ella,Piso 21,5700,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
42,Whine Up,Nicky Jam,5280,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
43,Muévelo,Nicky Jam,5240,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
44,QUE PRETENDES,J Balvin,5221,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
45,China,Anuel AA,5093,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
46,Mejor,Dalex,4957,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
47,Bellaquita - Remix,Dalex,4956,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
48,Adicto (with Anuel AA & Ozuna),Tainy,4753,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
49,Soltera - Remix,Lunay,4621,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
50,105 F Remix,KEVVO,4313,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
