Position,Track Name,Artist,Streams,URL
1,Intentions (feat. Quavo),Justin Bieber,16924,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
2,Señorita,Shawn Mendes,12663,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,No Time To Die,Billie Eilish,12367,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
4,Don't Start Now,Dua Lipa,11528,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Dance Monkey,Tones and I,11422,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Memories,Maroon 5,10869,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,Say So,Doja Cat,10770,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
8,Stupid Love,Lady Gaga,10663,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
9,ON,BTS,10477,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
10,everything i wanted,Billie Eilish,10020,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Blinding Lights,The Weeknd,9950,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
12,Circles,Post Malone,9582,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
13,The Box,Roddy Ricch,9214,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14,bad guy,Billie Eilish,9140,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,說好不哭,Jay Chou,8561,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
16,Yummy,Justin Bieber,8509,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
17,ROXANNE,Arizona Zervas,8036,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Forever (feat. Post Malone & Clever),Justin Bieber,8021,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
19,You should be sad,Halsey,7932,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
20,After Hours,The Weeknd,7931,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
21,Someone You Loved,Lewis Capaldi,7852,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,Falling,Trevor Daniel,7777,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
23,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,7721,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
24,Physical,Dua Lipa,7387,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
25,Modern Loneliness,Lauv,7086,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
26,To Die For,Sam Smith,6980,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
27,Adore You,Harry Styles,6898,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,我們都是這樣長大的,Sammi Cheng,6824,https://open.spotify.com/track/37gQxPrcu81gpr5SbOlIJO
29,Blueberry Faygo,Lil Mosey,6760,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
30,Psycho,Red Velvet,6722,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
31,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,6582,https://open.spotify.com/track/7nIxo0dE9d4FBwPYhmdQae
32,Godzilla (feat. Juice WRLD),Eminem,6446,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
33,Boy With Luv (feat. Halsey),BTS,6333,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
34,Life Is Good (feat. Drake),Future,6298,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
35,My Oh My (feat. DaBaby),Camila Cabello,6293,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
36,Black Swan,BTS,6277,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
37,逃生門 (feat. 王灝兒) - 門外版,Endy Chow,6220,https://open.spotify.com/track/2WMOgfhslraKnEEbXSL5JJ
38,你瞞我瞞,Jason Chan,6207,https://open.spotify.com/track/1eId3TVzGrwv73YAWAVQMX
39,FIESTA,IZ*ONE,6196,https://open.spotify.com/track/71vPAjlG1x606483GTJNhY
40,Feel Me,Selena Gomez,6041,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
41,春秋,Hins Cheung,6035,https://open.spotify.com/track/2WVbMoHdWCspdiEa7OnG1D
42,零分,JUDE,5977,https://open.spotify.com/track/1HsWdmLSDdDel2Dl6ctSO2
43,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,5971,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
44,death bed (feat. beabadoobee),Powfu,5934,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
45,ON (Feat. Sia),BTS,5897,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
46,Filter,BTS,5758,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
47,"10,000 Hours (with Justin Bieber)",Dan + Shay,5650,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
48,I Don't Care (with Justin Bieber),Ed Sheeran,5580,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
49,Beautiful People (feat. Khalid),Ed Sheeran,5462,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
50,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,5422,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
