Position,Track Name,Artist,Streams,URL
1,Shayad,Pritam,142266,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
2,Illegal Weapon 2.0,Jasmine Sandlas,126779,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
3,Intentions (feat. Quavo),Justin Bieber,124781,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,Falling,Trevor Daniel,124024,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,123339,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
6,Haan Main Galat,Pritam,110795,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
7,"Ghungroo (From ""War"")",Arijit Singh,107772,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
8,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,106310,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
9,Makhna,Tanishk Bagchi,102419,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
10,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak,99400,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
11,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,90598,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
12,"Humraah (From ""Malang - Unleash The Madness"")",Sachet Tandon,89914,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
13,Yummy,Justin Bieber,88074,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
14,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")",Ayushmann Khurrana,87791,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
15,Blinding Lights,The Weeknd,87490,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
16,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,80942,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
17,Mehrama,Pritam,79920,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
18,Memories,Maroon 5,76467,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
19,Yaad Piya Ki Aane Lagi,Neha Kakkar,74226,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
20,ROXANNE,Arizona Zervas,73998,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
21,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,72586,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
22,Lagdi Lahore Di,Guru Randhawa,71036,https://open.spotify.com/track/31d3tVd82tx2sjA2VQ3PMZ
23,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,69384,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
24,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,67545,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
25,Señorita,Shawn Mendes,67184,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
26,Asal Mein,Darshan Raval,65419,https://open.spotify.com/track/1StFDfq4raRws97W8Wb3QS
27,"Duniyaa (From ""Luka Chuppi"")",Akhil,65208,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
28,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",Romy,62219,https://open.spotify.com/track/0OcVZqIer0LLu3K8sdU5Yb
29,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,59683,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
30,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,58297,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
31,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,58191,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
32,Ve Maahi,Arijit Singh,56375,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
33,Buttabomma - Telugu,Armaan Malik,55398,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
34,ON,BTS,52408,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
35,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,51877,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
36,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,51362,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b
37,After Hours,The Weeknd,51247,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
38,"Hui Malang (From ""Malang - Unleash The Madness"")",Asees Kaur,49806,https://open.spotify.com/track/5bAed2aRbQbjDZF9qkNSA2
39,Circles,Post Malone,49328,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
40,Sauda Khara Khara,Diljit Dosanjh,48785,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI
41,Say So,Doja Cat,48702,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
42,Can We Kiss Forever?,Kina,48616,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
43,Chal Bombay,DIVINE,48301,https://open.spotify.com/track/6AooRgSRDzbCYL4NZ4RCjU
44,"Dus Bahane 2.0 (From ""Baaghi 3"") (feat. K.K., Shaan, Tulsi Kumar)",Vishal,47089,https://open.spotify.com/track/0z9lOAVgQT5bysEKZ6Wwbk
45,8 Parche,Baani Sandhu,46893,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
46,Forever (feat. Post Malone & Clever),Justin Bieber,45294,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
