Position,Track Name,Artist,Streams,URL
1,Sunday Best,Surfaces,351811,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
2,Pura Pura Lupa,Mahen,300347,https://open.spotify.com/track/6Aw5k0jkFceYayaJoRupLT
3,Secukupnya,Hindia,269127,https://open.spotify.com/track/5drW6PGRxkE6MxttzVLNk5
4,Yummy,Justin Bieber,209737,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
5,Lebih Dari Egoku,Mawar De Jongh,203350,https://open.spotify.com/track/4vh193RZbEEBanSG0719Wh
6,Memories,Maroon 5,199661,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,Falling,Trevor Daniel,189773,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,One Only,Pamungkas,187019,https://open.spotify.com/track/7iTF9T1jum3Km6H6WMZpDC
9,Dance Monkey,Tones and I,169627,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Someone You Loved,Lewis Capaldi,166247,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Any song,Zico,161922,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
12,Intentions (feat. Quavo),Justin Bieber,159752,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,ROXANNE,Arizona Zervas,158416,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,Say So,Doja Cat,154692,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
15,Make You Mine,PUBLIC,153505,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g
16,Psycho,Red Velvet,151513,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
17,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,148860,https://open.spotify.com/track/5sgRYOTpFZRROlndD460KI
18,Waktu Yang Salah,Fiersa Besari,147894,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
19,Halu,Feby Putri,144451,https://open.spotify.com/track/3c4cBEObUsLU8O5I2yQP3l
20,Location Unknown ◐ - Brooklyn Session,HONNE,142756,https://open.spotify.com/track/4aT6vP9y2eDjxmRGm5ZqSC
21,ON (Feat. Sia),BTS,138948,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
22,It's You,Ali Gatie,136758,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
23,Tolong,Budi Doremi,134785,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
24,Nyaman,Andmesh,129691,https://open.spotify.com/track/1sxUn0SdlFG05Q3qAA2FlE
25,lowkey,NIKI,126882,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
26,death bed (feat. beabadoobee),Powfu,118143,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
27,fine today (Nanti Kita Cerita Tentang Hari Ini - Original Motion Picture Soundtrack),Ardhito Pramono,118093,https://open.spotify.com/track/6EviFqpmuvHfQaExMKmt0A
28,bitterlove,Ardhito Pramono,114769,https://open.spotify.com/track/74OLXYsvpfmSgPCMMi898K
29,Rumah Ke Rumah,Hindia,110011,https://open.spotify.com/track/2wAiFWjRupWmnDkQcu91MF
30,Kenangan Manis,Pamungkas,109618,https://open.spotify.com/track/1tS1dRfxIV9FzqdYTbJgMn
31,ON,BTS,109051,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
32,comethru,Jeremy Zucker,108069,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
33,I Love You but I'm Letting Go,Pamungkas,108006,https://open.spotify.com/track/01beCqR9wsVnwzkAJZyTqq
