Position,Track Name,Artist,Streams,URL
1,Roses - Imanbek Remix,SAINt JHN,71567,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
2,Blinding Lights,The Weeknd,65842,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,The Box,Roddy Ricch,45026,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Don't Start Now,Dua Lipa,43159,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Before You Go,Lewis Capaldi,40857,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
6,Intentions (feat. Quavo),Justin Bieber,38040,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Lonely,Joel Corry,38004,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
8,You should be sad,Halsey,37964,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
9,Say So,Doja Cat,34948,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
10,No Time To Die,Billie Eilish,34292,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
11,Dance Monkey,Tones and I,32577,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,Adore You,Harry Styles,30693,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
13,Physical,Dua Lipa,29161,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
14,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,28423,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
15,Someone You Loved,Lewis Capaldi,27680,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,My Oh My (feat. DaBaby),Camila Cabello,27047,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
17,Godzilla (feat. Juice WRLD),Eminem,26441,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
18,Life Is Good (feat. Drake),Future,26343,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,Stupid Love,Lady Gaga,26042,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
20,everything i wanted,Billie Eilish,24759,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
21,Better Off Without You (feat. Shift K3Y),Becky Hill,22155,https://open.spotify.com/track/3oIVK7arAFuUOCGafPLxSC
22,ROXANNE,Arizona Zervas,21898,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
23,What A Man Gotta Do,Jonas Brothers,21602,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
24,Falling,Trevor Daniel,21200,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
25,After Hours,The Weeknd,20560,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
26,Moral of the Story,Ashe,20360,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
27,Circles,Post Malone,20325,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,Power Over Me,Dermot Kennedy,19566,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs
29,Lose Control,MEDUZA,19158,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
30,Bruises,Lewis Capaldi,18848,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
31,Never Seen the Rain,Tones and I,18534,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
32,Outnumbered,Dermot Kennedy,17936,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE
33,No Judgement,Niall Horan,17531,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
34,Blueberry Faygo,Lil Mosey,17441,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
35,To Die For,Sam Smith,17420,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
36,Know Your Worth,Khalid,17414,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
37,death bed (feat. beabadoobee),Powfu,17129,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
38,Memories,Maroon 5,16786,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
39,Falling,Harry Styles,16677,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
40,bad guy,Billie Eilish,16647,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
41,This Is Real (ft. Ella Henderson),Jax Jones,15382,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h
42,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,15213,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
43,Hold Me While You Wait,Lewis Capaldi,15208,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
44,Sunday Best,Surfaces,15156,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
45,If The World Was Ending (feat. Julia Michaels),JP Saxe,15073,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
46,CITY OF ANGELS,24kGoldn,14965,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
47,July,Noah Cyrus,14344,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
48,Ride It,Regard,13832,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
49,Rare,Selena Gomez,12837,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
50,Pump It Up,Endor,12818,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y
