Position,Track Name,Artist,Streams,URL
1,Think About Things,Daði Freyr,13649,https://open.spotify.com/track/5crhbtfcOWIfN5NbkqQRql
2,Blinding Lights,The Weeknd,8866,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,ESSUKAJEMEINA (Veistu Hvað Ég Meina),Herra Hnetusmjör,7427,https://open.spotify.com/track/2AI6kH6ogznIwt4JKDWy05
4,Gagnamagnið,Daði Freyr,5987,https://open.spotify.com/track/5GU7W29lPxlMrS2PW7ZvQ0
5,The Box,Roddy Ricch,5465,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,Intentions (feat. Quavo),Justin Bieber,4810,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,Ég Er Svo Flottur,Séra Bjössi,4807,https://open.spotify.com/track/2wa2CBe1ch2SwOUOCdhkEQ
8,No Time To Die,Billie Eilish,4576,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
9,Don't Start Now,Dua Lipa,4012,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,everything i wanted,Billie Eilish,3880,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Life Is Good (feat. Drake),Future,3879,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
12,Esjan,BRÍET,3811,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY
13,Roses - Imanbek Remix,SAINt JHN,3808,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,Malbik,Emmsjé Gauti,3494,https://open.spotify.com/track/4EFrKYAOrrT0SC655kD5Ef
15,Say So,Doja Cat,3311,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
16,Blueberry Faygo,Lil Mosey,3293,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,Dance Monkey,Tones and I,3275,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,That Way,Lil Uzi Vert,3265,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
19,After Hours,The Weeknd,3174,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
20,Godzilla (feat. Juice WRLD),Eminem,2875,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
21,Adore You,Harry Styles,2711,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
22,Moral of the Story,Ashe,2668,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
23,bad guy,Billie Eilish,2594,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
24,Falling,Trevor Daniel,2594,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
25,Hvað með það?,Daði Freyr,2555,https://open.spotify.com/track/42fhNXhZERZihfrsNUIlUu
26,Someone You Loved,Lewis Capaldi,2513,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,ROXANNE,Arizona Zervas,2467,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,death bed (feat. beabadoobee),Powfu,2441,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
29,Go Stupid,Polo G,2415,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
30,Í kvöld er gigg,Ingó Veðurguð,2414,https://open.spotify.com/track/5dPMGUpSV58vMTW3CgGqTZ
31,Before You Go,Lewis Capaldi,2358,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,Enginn eins og þú,Auður,2224,https://open.spotify.com/track/3bzP8lZJWmuhpdnfDP1rTq
33,Stupid Love,Lady Gaga,2202,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
34,Circles,Post Malone,2189,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
35,WHATS POPPIN,Jack Harlow,2168,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
36,Almyrkvi,DIMMA,2154,https://open.spotify.com/track/6Fuy1Ya9I3COWBmjzRafTc
37,Hingað þangað,Aron Can,2096,https://open.spotify.com/track/33F25Y3sEbyrpFsgD249St
38,CITY OF ANGELS,24kGoldn,2094,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
39,Ride It,Regard,2087,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
40,Af og til,GDRN,2040,https://open.spotify.com/track/0FujYL4JG6tCYiXlv2YI87
41,Lose Control,MEDUZA,1993,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
42,when the party's over,Billie Eilish,1986,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
43,Vorið,GDRN,1981,https://open.spotify.com/track/2YIV9KQMX66sD9MbO57Ayp
44,Shallow,Lady Gaga,1908,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
45,Suicidal,YNW Melly,1895,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
46,Yummy,Justin Bieber,1891,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
47,Dicks,Ingi Bauer,1882,https://open.spotify.com/track/5jtgmZRPmm6QnJxegPoour
48,OUT WEST (feat. Young Thug),JACKBOYS,1777,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
49,Forever (feat. Post Malone & Clever),Justin Bieber,1762,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
50,Bruises,Lewis Capaldi,1672,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
