Position,Track Name,Artist,Streams,URL
1,את חסרה לי,Eden Hason,17383,https://open.spotify.com/track/016blcFaFbzXopGoqVOKZU
2,Dance Monkey,Tones and I,16434,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,The Box,Roddy Ricch,13974,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Don't Start Now,Dua Lipa,12360,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Blinding Lights,The Weeknd,12265,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
6,נחכה לך,Nathan Goshen,10684,https://open.spotify.com/track/4Av4gE5StVL42eAhRZNTxA
7,Godzilla (feat. Juice WRLD),Eminem,10220,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
8,אלוף העולם,Hanan Ben Ari,9951,https://open.spotify.com/track/67dg9xeMIRXjcQbmbWtBFW
9,Señorita,Shawn Mendes,9789,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,Falling,Trevor Daniel,9734,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,מסע,Eliad,9314,https://open.spotify.com/track/2WBNUsV0WH7Cmjr71viWfC
12,bad guy,Billie Eilish,9055,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,שגרה מפוארת,Omer Adam,8854,https://open.spotify.com/track/4o0f4jkkTk098vms8MwG7N
14,ROXANNE,Arizona Zervas,8810,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Life Is Good (feat. Drake),Future,8682,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
16,אגרוף,Eden Ben Zaken,8425,https://open.spotify.com/track/2DSBoOVLqBdNXZKSJBdtBN
17,Someone You Loved,Lewis Capaldi,8213,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,לשוב הביתה,Ishay Ribo,8171,https://open.spotify.com/track/52n4gF126eIllrGuc9Zus6
19,No Time To Die,Billie Eilish,8167,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
20,Intentions (feat. Quavo),Justin Bieber,8143,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
21,דיבור נגוע,Mergui,8129,https://open.spotify.com/track/19u24hOHMdNfGPedV2lFum
22,אם אתה גבר,Noa Kirel,8022,https://open.spotify.com/track/3S43VLM4D5Jc3USE60j1fQ
23,הלב שלי,Ishay Ribo,7977,https://open.spotify.com/track/7Ck421SAROdN0Q6RXMbic7
24,אם תרצי,Hanan Ben Ari,7926,https://open.spotify.com/track/3BRlBgX59CKqOa8PXI41qQ
25,מתגעגעת,Nathan Goshen,7742,https://open.spotify.com/track/2eGkQGXutQ07cAah87Tjg1
26,Say So,Doja Cat,7415,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
27,everything i wanted,Billie Eilish,7343,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
28,Memories,Maroon 5,7299,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
29,הכל פה יגמר,Nathan Goshen,7295,https://open.spotify.com/track/1HQpuoDAEOm77SrXMJguY6
30,BEG,Omer Adam,6953,https://open.spotify.com/track/44pKbfoyixQSaiiJde9i1F
31,We,Static & Ben El,6924,https://open.spotify.com/track/6PJHBGFNX7v827ckmkyKqC
32,I Don't Care (with Justin Bieber),Ed Sheeran,6822,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
33,Lose Control,MEDUZA,6817,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
34,לקחת את המפתחות,Itay Levi,6750,https://open.spotify.com/track/29gCUQ8kKPbmh3VKyspTfg
35,Circles,Post Malone,6730,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
36,ממה את מפחדת,Eyal Golan,6704,https://open.spotify.com/track/706pZPUcsKsREHM8RqHaY0
37,Yummy,Justin Bieber,6682,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
38,ואם תבואי אליי,Idan Raichel,6678,https://open.spotify.com/track/0ACFJm4VlgvdHs2qvHZ6yG
39,After Hours,The Weeknd,6534,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
40,חלק מהזמן,Idan Amedi,6507,https://open.spotify.com/track/6AuhyP1rKXVGvvrqr5UNaK
41,My Oh My (feat. DaBaby),Camila Cabello,6479,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
42,אין יותר מועדונים,Eden Hason,6387,https://open.spotify.com/track/0q3yDDxPh0k5nvgh2SPcsS
43,Stupid Love,Lady Gaga,6357,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
44,'פאוץ,Noa Kirel,6248,https://open.spotify.com/track/0USBNSmk6buxHeANl7Rxnm
45,מישהו איתי כאן,Benaia Barabi,6211,https://open.spotify.com/track/3UEYFJsF12eG1L0zrqlLPZ
46,כפיות,Eden Hason,6191,https://open.spotify.com/track/02hXZxgl6XwtAdK9y2sb6B
47,מים שקופים,Omer Adam,6167,https://open.spotify.com/track/2m50HsnzEczYBaYrcf7duI
48,"Further Up (Na, Na, Na, Na, Na)",Static & Ben El,6167,https://open.spotify.com/track/1aW9qzUsXGbyhT3NPCWwdT
49,קירות,Itay Levi,6056,https://open.spotify.com/track/0ZFQYK9u8C1nGLXXb4y17W
50,Beautiful People (feat. Khalid),Ed Sheeran,5887,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
