Position,Track Name,Artist,Streams,URL
1,Bando,ANNA,475759,https://open.spotify.com/track/0kzGjSRHGVcaWxagzQwAyD
2,Good Times,Ghali,362487,https://open.spotify.com/track/6GpvHaqp0Yybx9P6YnodRD
3,Boogieman (feat. Salmo),Ghali,361026,https://open.spotify.com/track/10Q5VqDAAbwExYkNha3VKH
4,Snitch E Impicci (con FSK SATELLITE),DrefGold,310818,https://open.spotify.com/track/6HDdOPc6FWpMfjC8ebzdRC
5,Per sentirmi vivo,Fasma,297819,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
6,Ringo Starr,Pinguini Tattici Nucleari,284554,https://open.spotify.com/track/5yfE6GXTuJaAlepKoE0wJE
7,Rapide,Mahmood,256767,https://open.spotify.com/track/2cf1g08CvDuhwXFqxjetQi
8,Fai rumore,Diodato,244681,https://open.spotify.com/track/2ZwcnFDvQueNemTt89qCom
9,Musica (E Il Resto Scompare),Elettra Lamborghini,241950,https://open.spotify.com/track/3Nc7IorgrSffzaQrQWVw4L
10,blun7 a swishland,tha Supreme,236564,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
11,Marymango (feat. tha Supreme),Ghali,222288,https://open.spotify.com/track/7eHHKYb2cRRqqzl8bbiwA3
12,Viceversa,Francesco Gabbani,217980,https://open.spotify.com/track/04ldF8QeASSyJLMtZJJfqA
13,Blinding Lights,The Weeknd,205138,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
14,Me ne frego,Achille Lauro,189453,https://open.spotify.com/track/1MF3gav7PNaNkv7ohlBKBD
15,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,172411,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
16,ANSIA NO,FSK SATELLITE,169147,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
17,BRAVI A CADERE - I polmoni,Marracash,162136,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
18,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger",Neves17,161817,https://open.spotify.com/track/6XPYGFacwZAtmoSVi9m4eT
19,Andromeda,Elodie,160326,https://open.spotify.com/track/4iceKk4reL0vg2yDwXxQNF
20,Dance Monkey,Tones and I,158013,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
21,CRUDELIA - I nervi,Marracash,154062,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
22,Tikibombom,Levante,148106,https://open.spotify.com/track/4JNT4VElmvNmJaQUhwPzg9
23,Before You Go,Lewis Capaldi,146576,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,Tusa,KAROL G,144625,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
25,Stu core t'apparten,Rocco Hunt,142150,https://open.spotify.com/track/3nhAgjyrfUUCNDMZHx6LCa
26,Falling,Trevor Daniel,139839,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
27,Calmo - feat. tha Supreme,Shiva,135901,https://open.spotify.com/track/6A5qLjVbEC2vNlu17tsExI
28,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,132517,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
29,Allora ciao,Shade,132038,https://open.spotify.com/track/5mtMuoCiBExgzH8SOdXyNB
30,ROXANNE,Arizona Zervas,131723,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
31,Don't Start Now,Dua Lipa,130427,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
32,fuck 3x,tha Supreme,128026,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
33,Tutto Questo Sei Tu,Ultimo,124055,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
34,"PAROLA - feat. Lazza, Emis Killa",Giaime,119954,https://open.spotify.com/track/2tQ7vPjN88wkQl5hSNSbVF
35,"Vamos Pa La Banca (feat. Geolier, Samurai Jay & Lele Blade)",Dat Boi Dee,111258,https://open.spotify.com/track/4BWhorzhcnimKOoXxYnhz4
36,Nostradamus,Mostro,109224,https://open.spotify.com/track/78QX2wFWwOV2X43tWJccrY
37,The Box,Roddy Ricch,108162,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
38,La Mia Hit - feat. Max Pezzali,J-AX,106216,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
39,Courmayeur,DJ Matrix,104619,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB
40,Il tuo profumo,Fred De Palma,104347,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
41,RITMO (Bad Boys For Life),Black Eyed Peas,104000,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
42,"Memorie di uno sconfitto, pt. 2",Mostro,103923,https://open.spotify.com/track/0LfCk2cn6b40ktfjes5o9K
43,Nuova luce,Mostro,103411,https://open.spotify.com/track/1vVczNsgTDLGvj7fYzbYpR
44,Chiasso,Random,103226,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
45,Un po' depresso,Mostro,102849,https://open.spotify.com/track/5KDVJIKWhxLwTs15IN2E5G
46,Che Poi,Carl Brave,102238,https://open.spotify.com/track/55BfNKdOeu77gxPB0UGnAw
47,Una volta ancora (feat. Ana Mena),Fred De Palma,98851,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
48,22:22,Ghali,98455,https://open.spotify.com/track/73hTfGHBSYC8iI6He1optV
49,Più ci provo più sbaglio,Mostro,97285,https://open.spotify.com/track/7B3zrlgPCNpme2jFlGgImU
50,Chance (feat. Capo Plaza),Shiva,97020,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
