Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,5576,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Blinding Lights,The Weeknd,4710,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Roses - Imanbek Remix,SAINt JHN,3913,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Falling,Trevor Daniel,3600,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
5,everything i wanted,Billie Eilish,3572,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Don't Start Now,Dua Lipa,3434,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,No Time To Die,Billie Eilish,2916,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
8,Say So,Doja Cat,2888,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,ROXANNE,Arizona Zervas,2738,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
10,Godzilla (feat. Juice WRLD),Eminem,2708,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,Moral of the Story,Ashe,2617,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
12,Circles,Post Malone,2612,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
13,Dance Monkey,Tones and I,2596,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Life Is Good (feat. Drake),Future,2562,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
15,Sunday Best,Surfaces,2554,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,After Hours,The Weeknd,2482,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
17,Stupid Love,Lady Gaga,2434,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
18,Blueberry Faygo,Lil Mosey,2400,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
19,Intentions (feat. Quavo),Justin Bieber,2367,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
20,Adore You,Harry Styles,2325,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
21,That Way,Lil Uzi Vert,2160,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
22,death bed (feat. beabadoobee),Powfu,2057,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
23,Lose Control,MEDUZA,2043,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
24,CITY OF ANGELS,24kGoldn,2033,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
25,bad guy,Billie Eilish,1980,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,РАТАТАТАТА,MORGENSHTERN,1928,https://open.spotify.com/track/0eou4g499YFO8jSxYQjvFH
27,WHATS POPPIN,Jack Harlow,1920,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
28,HIGHEST IN THE ROOM,Travis Scott,1850,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
29,Physical,Dua Lipa,1803,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
30,Autopilots,Prusax,1798,https://open.spotify.com/track/7hpsyxxgXGyxoHQBwFPVvv
31,You should be sad,Halsey,1780,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
32,My Oh My (feat. DaBaby),Camila Cabello,1723,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
33,Ride It,Regard,1674,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
34,Memories,Maroon 5,1641,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
35,Psycho!,MASE,1600,https://open.spotify.com/track/4sSu9BtWSCWRNjGD2AvqbG
36,Someone You Loved,Lewis Capaldi,1592,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,High Fashion (feat. Mustard),Roddy Ricch,1552,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
38,Before You Go,Lewis Capaldi,1537,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
39,lovely (with Khalid),Billie Eilish,1520,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
40,Lucid Dreams,Juice WRLD,1519,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
41,when the party's over,Billie Eilish,1516,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
42,Know Your Worth,Khalid,1509,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
43,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,1466,https://open.spotify.com/track/6Dh32tS5znKbryJdHXSRrC
44,No Idea,Don Toliver,1464,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
45,Комета,JONY,1448,https://open.spotify.com/track/1tjM9dP8GWkYl4orF7yLWD
46,Suicidal,YNW Melly,1435,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
47,I Got Love,MiyaGi & Endspiel,1420,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
48,Beautiful People (feat. Khalid),Ed Sheeran,1416,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
49,The Other Side (from Trolls World Tour),SZA,1333,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
50,Любимка,NILETTO,1326,https://open.spotify.com/track/1q7Ie8Tgphv4iBwUlr5B9j
