Position,Track Name,Artist,Streams,URL
1,On Fire,THE ROOP,8343,https://open.spotify.com/track/5TXxwRgdIS4gPjUtKwTuSb
2,Blinding Lights,The Weeknd,6486,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,The Box,Roddy Ricch,5279,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Don't Start Now,Dua Lipa,4746,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Say So,Doja Cat,4132,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,everything i wanted,Billie Eilish,3974,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,No Time To Die,Billie Eilish,3940,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
8,After Hours,The Weeknd,3878,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
9,Falling,Trevor Daniel,3691,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,Roses - Imanbek Remix,SAINt JHN,3571,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,Physical,Dua Lipa,3436,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
12,Stupid Love,Lady Gaga,3371,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
13,Dance Monkey,Tones and I,3320,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,Life Is Good (feat. Drake),Future,3219,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
15,Adore You,Harry Styles,3127,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,Intentions (feat. Quavo),Justin Bieber,3063,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
17,Lose Control,MEDUZA,2786,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
18,Godzilla (feat. Juice WRLD),Eminem,2643,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
19,ROXANNE,Arizona Zervas,2630,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,Circles,Post Malone,2601,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,Sunday Best,Surfaces,2526,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
22,Moral of the Story,Ashe,2494,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
23,Think About Things,Daði Freyr,2434,https://open.spotify.com/track/5crhbtfcOWIfN5NbkqQRql
24,Know Your Worth,Khalid,2380,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
25,Blueberry Faygo,Lil Mosey,2323,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
26,bad guy,Billie Eilish,2285,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
27,You should be sad,Halsey,2279,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
28,My Oh My (feat. DaBaby),Camila Cabello,2202,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
29,death bed (feat. beabadoobee),Powfu,2133,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
30,Manęs Daugiau,Free Finga,1995,https://open.spotify.com/track/7IlV5ttFjkn8HnUlQJgqQs
31,Feel Me,Selena Gomez,1982,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
32,Neturėjom Dainos,Solo Ansamblis,1913,https://open.spotify.com/track/5i2P4wsbe6x8hrvdZwCSJj
33,Taip Jau Gavosi,Sisters On Wire,1909,https://open.spotify.com/track/6lBIEqVATQY9RbEHl0uHCr
34,WHATS POPPIN,Jack Harlow,1884,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
35,To Die For,Sam Smith,1877,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
36,The Other Side (from Trolls World Tour),SZA,1859,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
37,Atvirai,Furytto,1809,https://open.spotify.com/track/6n2rLkVOK5sTxhnLNDdXZC
38,CITY OF ANGELS,24kGoldn,1743,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
39,Ride It,Regard,1693,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
40,when the party's over,Billie Eilish,1672,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
41,Rožė,Jessica Shy,1658,https://open.spotify.com/track/4F2JsHduN1Ow8CkyxsnLh1
42,žmones nesupras,OG Version,1645,https://open.spotify.com/track/0YJ597JeILdSe1SbFEEMJJ
43,Forever (feat. Post Malone & Clever),Justin Bieber,1633,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
44,Viskas,Lilas ir Innomine,1631,https://open.spotify.com/track/6nwDHPhXhAUZvLRHh4QIri
45,Before You Go,Lewis Capaldi,1624,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
46,Mulkis,jautì,1602,https://open.spotify.com/track/664ruN1hTv72dBOBqAwr9Z
47,That Way,Lil Uzi Vert,1598,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
48,Watermelon Sugar,Harry Styles,1525,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
49,Someone You Loved,Lewis Capaldi,1516,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
50,Mano Nemylimas Kaimyne,Lilas ir Innomine,1515,https://open.spotify.com/track/4x37woxQ1ON2dThJ0uWMm7
