Position,Track Name,Artist,Streams,URL
1,No Time To Die,Billie Eilish,4801,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
2,Blinding Lights,The Weeknd,4245,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,The Box,Roddy Ricch,3908,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Dance Monkey,Tones and I,3469,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Falling,Trevor Daniel,3200,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,Don't Start Now,Dua Lipa,2848,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Life Is Good (feat. Drake),Future,2611,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,Intentions (feat. Quavo),Justin Bieber,2403,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,Mios mit Bars,Luciano,2339,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
10,everything i wanted,Billie Eilish,2339,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Yummy,Justin Bieber,2326,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
12,ROXANNE,Arizona Zervas,2280,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Roses - Imanbek Remix,SAINt JHN,1966,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
14,Give No Fxk,Migos,1913,https://open.spotify.com/track/6ZelF5APDN5r6XnFqcnvWR
15,Verkackt,Gzuz,1842,https://open.spotify.com/track/0C6bsQq58Ue1XfL5PKTO6D
16,Ride It,Regard,1769,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
17,Forever (feat. Post Malone & Clever),Justin Bieber,1764,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
18,Memories,Maroon 5,1749,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
19,Roller,Apache 207,1748,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
20,RITMO (Bad Boys For Life),Black Eyed Peas,1748,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
21,Godzilla (feat. Juice WRLD),Eminem,1687,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
22,bad guy,Billie Eilish,1685,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,Before You Go,Lewis Capaldi,1669,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,Ne reviens pas,Gradur,1655,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
25,Lose Control,MEDUZA,1643,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
26,Donuts,Gzuz,1552,https://open.spotify.com/track/5XVPNr0CAoUn1jD033Ucoo
27,Circles,Post Malone,1525,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,Tusa,KAROL G,1491,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
29,What If I Told You That I Love You,Ali Gatie,1484,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
30,You should be sad,Halsey,1456,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
31,Gazozial,Gzuz,1412,https://open.spotify.com/track/4StEa9KuGq3tdGNek2CodL
32,Someone You Loved,Lewis Capaldi,1399,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,Señorita,Shawn Mendes,1354,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
34,Adore You,Harry Styles,1323,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,Weiss,Samra,1295,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
36,What A Man Gotta Do,Jonas Brothers,1243,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
37,Suicidal,YNW Melly,1243,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
38,My Oh My (feat. DaBaby),Camila Cabello,1230,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
39,Loco,Gzuz,1221,https://open.spotify.com/track/7h7UUW5LXSFF8Zcj2n5DnZ
40,Say So,Doja Cat,1163,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
41,Ausgezahlt,Gzuz,1134,https://open.spotify.com/track/6unX5jxlGASCabwlsLUBHn
42,Was hat es gebracht,Gzuz,1108,https://open.spotify.com/track/11U6xqWMDdyDE0YWV8M5mO
43,AMEX BLACK,Joker Bra,1099,https://open.spotify.com/track/0dv22i02nk3o8JwmK6BwjI
44,Physical,Dua Lipa,1094,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
45,Trampoline (with ZAYN),SHAED,1083,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
46,hot girl bummer,blackbear,1077,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
47,Baianá,Bakermat,1070,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
48,Know Your Worth,Khalid,1060,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
49,Kopfnüsse,Gzuz,1057,https://open.spotify.com/track/4T7Mfiho8k7yFMNZVXxado
50,Nie erwartet,Gzuz,1057,https://open.spotify.com/track/4rqMsKk1nEjL275UH7qGMp
