Position,Track Name,Artist,Streams,URL
1,Say So,Doja Cat,51748,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
2,Intentions (feat. Quavo),Justin Bieber,51394,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
3,Falling,Trevor Daniel,47266,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
4,Dance Monkey,Tones and I,46442,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Yummy,Justin Bieber,43206,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
6,ROXANNE,Arizona Zervas,42240,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,Don't Start Now,Dua Lipa,41408,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Memories,Maroon 5,39320,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,Before You Go,Lewis Capaldi,37245,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
10,Blinding Lights,The Weeknd,36171,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,Circles,Post Malone,36146,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,ON,BTS,35990,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
13,everything i wanted,Billie Eilish,35783,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,Someone You Loved,Lewis Capaldi,35754,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,The Box,Roddy Ricch,33989,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
16,ON (Feat. Sia),BTS,32946,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
17,No Time To Die,Billie Eilish,31300,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
18,Any song,Zico,30492,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
19,death bed (feat. beabadoobee),Powfu,29406,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
20,Trampoline (with ZAYN),SHAED,28485,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
21,I.F.L.Y.,Bazzi,27611,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
22,It's You,Ali Gatie,27431,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
23,Sakit,Zynakal,25833,https://open.spotify.com/track/69BJoXhAnVxwRlnv11qAjJ
24,Psycho,Red Velvet,25063,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
25,Black Swan,BTS,24740,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
26,Mean It,Lauv,24475,https://open.spotify.com/track/4z1rk9qlsqhp5LJm5qvXZF
27,Modern Loneliness,Lauv,24074,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
28,Cinta Sejati,Bunga Citra Lestari,23475,https://open.spotify.com/track/62gaX79YoVS2EWXN5HrCdi
29,Sunday Best,Surfaces,22959,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
30,Boy With Luv (feat. Halsey),BTS,22278,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
31,"10,000 Hours (with Justin Bieber)",Dan + Shay,22082,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
32,Señorita,Shawn Mendes,22016,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
33,My Oh My (feat. DaBaby),Camila Cabello,21914,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
34,Lose You To Love Me,Selena Gomez,21188,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
35,hot girl bummer,blackbear,20446,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
36,How Do You Sleep?,Sam Smith,19986,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
37,Physical,Dua Lipa,19980,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
38,Filter,BTS,19741,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
39,Sumpah,Naim Daniel,19698,https://open.spotify.com/track/6JgWlZevrjV6nr6NiNf5Ji
40,You should be sad,Halsey,19550,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
41,Mimpi (feat. Alif),K-Clique,19327,https://open.spotify.com/track/13j4wsiG0BjaDb04YZWIXV
42,Hanya Rindu,Andmesh,19174,https://open.spotify.com/track/2wLpTF8xnsSHDpFGeV43DT
43,00:00 (Zero O’Clock),BTS,18943,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
44,To Die For,Sam Smith,18872,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
45,Cinta Luar Biasa,Andmesh,18848,https://open.spotify.com/track/1JxoK0EU5SHupbXjSwYaN7
46,After Hours,The Weeknd,18565,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
47,comethru,Jeremy Zucker,18425,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
48,Stupid Love,Lady Gaga,18344,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
49,Can We Kiss Forever?,Kina,17923,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
50,What If I Told You That I Love You,Ali Gatie,17729,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
