Position,Track Name,Artist,Streams,URL
1,All I Want for Christmas Is You,Mariah Carey,4306,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,Last Christmas,Wham!,3878,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,It's the Most Wonderful Time of the Year,Andy Williams,3668,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
4,Rockin' Around The Christmas Tree,Brenda Lee,3568,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
5,Jingle Bell Rock,Bobby Helms,3393,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
6,It's Beginning to Look a Lot like Christmas,Michael Bublé,3234,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
7,Feliz Navidad,José Feliciano,3107,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
8,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,3075,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
9,Dance Monkey,Tones and I,2956,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Holly Jolly Christmas,Michael Bublé,2935,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
11,Do They Know It's Christmas? - 1984 Version,Band Aid,2730,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
12,Santa Tell Me,Ariana Grande,2647,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,Happy Xmas (War Is Over) - Remastered,John Lennon,2636,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
14,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,2535,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
15,The Christmas Song (Merry Christmas To You),Nat King Cole,2402,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
16,Christmas (Baby Please Come Home),Darlene Love,2387,https://open.spotify.com/track/0jiPKUSdsJNCxMPHjMqptk
17,Underneath the Tree,Kelly Clarkson,2299,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
18,A Holly Jolly Christmas - Single Version,Burl Ives,2287,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
19,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,2285,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
20,White Christmas,Bing Crosby,2269,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
21,Mistletoe,Justin Bieber,2051,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
