Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,1641347,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,1211055,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Ignorantes,Bad Bunny,1055974,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
4,La Santa,Bad Bunny,911442,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
5,Vete,Bad Bunny,817945,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
6,René,Residente,774084,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
7,Yo Perreo Sola,Bad Bunny,762900,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
8,Pero Ya No,Bad Bunny,762682,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
9,Tusa,KAROL G,748024,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,Safaera,Bad Bunny,672655,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
11,Sigues Con El,Dimelo Flow,610641,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
12,Blinding Lights,The Weeknd,596583,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,Rojo,J Balvin,580838,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
14,Bichiyal,Bad Bunny,552866,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
15,Dance Monkey,Tones and I,548450,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
16,Soliá,Bad Bunny,541044,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
17,Morado,J Balvin,524053,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
18,A Tu Merced,Bad Bunny,522138,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
19,Don't Start Now,Dua Lipa,470853,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
20,Que Malo,Bad Bunny,434349,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
21,La Zona,Bad Bunny,429650,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
22,<3,Bad Bunny,427895,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
23,Está Cabrón Ser Yo,Bad Bunny,419871,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
24,25/8,Bad Bunny,411540,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
25,Una Vez,Bad Bunny,397451,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
26,LA CANCIÓN,J Balvin,381002,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
27,Hola - Remix,Dalex,377688,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
28,No Me Conoce - Remix,Jhay Cortez,375448,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
29,Fantasias,Rauw Alejandro,367609,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
30,Callaita,Bad Bunny,357981,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
31,Pa' Olvidarme De Ella,Piso 21,356285,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
32,Hablamos Mañana,Bad Bunny,323219,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
33,Sodio,Danna Paola,318359,https://open.spotify.com/track/7jYZU1CIruZU3puB5tiYiW
34,RITMO (Bad Boys For Life),Black Eyed Peas,317529,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
35,Diosa,Myke Towers,315601,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
36,P FKN R,Bad Bunny,313961,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
37,Blanco,J Balvin,309669,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
38,Puesto Pa' Guerrial,Bad Bunny,284627,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
39,Jangueo,Alex Rose,282541,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
40,Infeliz,Arcangel,273942,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
41,China,Anuel AA,268683,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
42,Muévelo,Nicky Jam,267249,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
43,Oye Pablo,Danna Paola,257324,https://open.spotify.com/track/6vruVVMkk7YGKzkuIrtOWz
44,Keii,Anuel AA,252236,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
45,De Los Besos Que Te Di,Christian Nodal,240684,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
46,Quizas,Rich Music LTD,235811,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
47,QUE PRETENDES,J Balvin,235650,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
48,Ride It,Regard,234769,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
49,Que Tire Pa Lante,Daddy Yankee,227963,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
50,Yummy,Justin Bieber,221448,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
