Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,16477,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,La Difícil,Bad Bunny,12913,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,La Santa,Bad Bunny,11367,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
4,Ignorantes,Bad Bunny,11100,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
5,Pero Ya No,Bad Bunny,9553,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
6,Yo Perreo Sola,Bad Bunny,9080,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
7,Vete,Bad Bunny,9060,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Safaera,Bad Bunny,8348,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
9,Soliá,Bad Bunny,7507,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
10,A Tu Merced,Bad Bunny,7235,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
11,Bichiyal,Bad Bunny,7015,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
12,René,Residente,6292,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
13,Está Cabrón Ser Yo,Bad Bunny,6191,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
14,Tusa,KAROL G,5919,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,25/8,Bad Bunny,5906,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
16,<3,Bad Bunny,5831,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
17,La Zona,Bad Bunny,5455,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
18,Que Malo,Bad Bunny,5216,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
19,Una Vez,Bad Bunny,4921,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
20,P FKN R,Bad Bunny,4915,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
21,Diosa,Myke Towers,4851,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
22,Hablamos Mañana,Bad Bunny,4765,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
23,Puesto Pa' Guerrial,Bad Bunny,4272,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
24,Sigues Con El,Dimelo Flow,4259,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
25,LA CANCIÓN,J Balvin,4082,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
26,Dance Monkey,Tones and I,4067,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
27,Fantasias,Rauw Alejandro,3913,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
28,No Me Conoce - Remix,Jhay Cortez,3767,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
29,Rojo,J Balvin,3626,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
30,Girl,Myke Towers,3585,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
31,Callaita,Bad Bunny,3388,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
32,Pa' Olvidarme De Ella,Piso 21,3221,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
33,Don't Start Now,Dua Lipa,3190,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
34,RITMO (Bad Boys For Life),Black Eyed Peas,2969,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
35,China,Anuel AA,2926,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
36,Morado,J Balvin,2905,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
37,Infeliz,Arcangel,2869,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
38,Hola - Remix,Dalex,2821,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
39,Blinding Lights,The Weeknd,2811,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
40,QUE PRETENDES,J Balvin,2708,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
41,Whine Up,Nicky Jam,2493,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
42,Definitivamente,Daddy Yankee,2487,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
43,Medusa,Jhay Cortez,2390,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
44,Soltera - Remix,Lunay,2336,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
45,Keii,Anuel AA,2331,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
46,Tattoo,Rauw Alejandro,2287,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
47,Bellaquita - Remix,Dalex,2264,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
48,Que Tire Pa Lante,Daddy Yankee,2234,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
49,Muévelo,Nicky Jam,2217,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
50,Cuerpo en Venta,Noriel,2055,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
