Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,121516,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,I Do,Astrid S,82322,https://open.spotify.com/track/6yKkgZBuakFy6SPtsZBR5H
3,Haugenstua,Herman Flesvig,80996,https://open.spotify.com/track/0GFOW30WB6SsPoeOlZdDPl
4,Svag,Victor Leksell,78186,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
5,The Box,Roddy Ricch,70578,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,Salt,Ava Max,69064,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
7,Roses - Imanbek Remix,SAINt JHN,66494,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
8,Don't Start Now,Dua Lipa,64615,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Dance Monkey,Tones and I,64308,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Attention,Ulrikke,62441,https://open.spotify.com/track/3Irt43mvuVwozBsllZlKCf
11,everything i wanted,Billie Eilish,57017,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,DANCE,CLMD,56555,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
13,Someone You Loved,Lewis Capaldi,56538,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,Intentions (feat. Quavo),Justin Bieber,54590,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,No Time To Die,Billie Eilish,54300,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,"Alone, Pt. II",Alan Walker,49585,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
17,Before You Go,Lewis Capaldi,47905,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
18,If The World Was Ending (feat. Julia Michaels),JP Saxe,47380,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
19,In Your Eyes (feat. Alida),Robin Schulz,46414,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
20,Spøkelser,Cezinando,44334,https://open.spotify.com/track/4MsDI3NQI8jKOdj7QR1D92
21,Blueberry Faygo,Lil Mosey,42327,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
22,Stupid Love,Lady Gaga,42150,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
23,Life Is Good (feat. Drake),Future,42105,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
24,Godzilla (feat. Juice WRLD),Eminem,40600,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
25,death bed (feat. beabadoobee),Powfu,40105,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
26,Falling,Trevor Daniel,39909,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
27,Bruises,Lewis Capaldi,39566,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
28,Knockout,Tungevaag,38803,https://open.spotify.com/track/1YFwmEAnSUx9ZAgWT39i1L
29,Say So,Doja Cat,38564,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
30,Valhalla,Ringnes-Ronny,37604,https://open.spotify.com/track/1icRHA6kFSipRbZREQPaA0
31,Moral of the Story,Ashe,37245,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
32,Hollywood,Cezinando,37118,https://open.spotify.com/track/17rbsv7iUuFLM0IsUs3O50
33,After Hours,The Weeknd,36303,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
34,Sunday Best,Surfaces,35627,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
35,Wild,Raylee,35230,https://open.spotify.com/track/3DHB1IzSIzH8XN3xgUJaWk
36,bad guy,Billie Eilish,34680,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
37,ROXANNE,Arizona Zervas,34501,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
38,Memories,Maroon 5,34110,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
39,Physical,Dua Lipa,34007,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
40,Drown (feat. Clinton Kane),Martin Garrix,33419,https://open.spotify.com/track/4RVtBlHFKj51Ipvpfv5ER4
41,What If I Told You That I Love You,Ali Gatie,32057,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
42,Feel Me,Selena Gomez,32056,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
43,You should be sad,Halsey,31568,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
44,To Die For,Sam Smith,30531,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
45,Zelda,Isah,30328,https://open.spotify.com/track/4eDbRVw8adKKxRC92Db6iQ
46,Krokodilletårer,Cezinando,29257,https://open.spotify.com/track/60qF2EBXpNycf77JbMPEgW
47,Jævlig,TIX,29235,https://open.spotify.com/track/2Pckb69I4iMmL24jZ2KO4D
48,Kiss Somebody,Julie Bergan,28833,https://open.spotify.com/track/17XU1PTSv4OfcBUE8rNYWm
49,Rosa sky,Cezinando,28657,https://open.spotify.com/track/60wybNtwQmLvMo27Deve1A
50,July,Noah Cyrus,27798,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
