Position,Track Name,Artist,Streams,URL
1,Intentions (feat. Quavo),Justin Bieber,47638,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
2,The Box,Roddy Ricch,45227,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,In the Air,L.A.B.,44750,https://open.spotify.com/track/5v7h5vQgCJKZT5vB3I9s3o
4,Blinding Lights,The Weeknd,40473,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Say So,Doja Cat,39780,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
6,Don't Start Now,Dua Lipa,38401,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Glitter,BENEE,34680,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
8,Dance Monkey,Tones and I,32322,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,Sunday Best,Surfaces,32171,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
10,Catching Feelings (feat. SIX60),Drax Project,30368,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
11,Adore You,Harry Styles,29854,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
12,ROXANNE,Arizona Zervas,29111,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Before You Go,Lewis Capaldi,28533,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
14,Circles,Post Malone,27628,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,death bed (feat. beabadoobee),Powfu,26909,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,Long Gone,SIX60,25578,https://open.spotify.com/track/4PFAQAuJ9dEgamYO88Zp9P
17,Blueberry Faygo,Lil Mosey,25447,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,Please Don't Go,SIX60,25139,https://open.spotify.com/track/5caY6lIFeI2du0TpgCSRP1
19,Falling,Trevor Daniel,24791,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
20,Yummy,Justin Bieber,24625,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
21,Godzilla (feat. Juice WRLD),Eminem,23727,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
22,SUGAR,BROCKHAMPTON,23479,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
23,The Greatest,SIX60,23439,https://open.spotify.com/track/2OmbLtdHJn3u9haCQXODl6
24,Someone You Loved,Lewis Capaldi,23016,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
25,Memories,Maroon 5,22725,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,everything i wanted,Billie Eilish,22230,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
27,Life Is Good (feat. Drake),Future,22026,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
28,You should be sad,Halsey,21968,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
29,To Die For,Sam Smith,20510,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
30,Stupid Love,Lady Gaga,20223,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
31,Watermelon Sugar,Harry Styles,20012,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,Roses - Imanbek Remix,SAINt JHN,19868,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
33,My Oh My (feat. DaBaby),Camila Cabello,19422,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
34,German,No Money Enterprise,19125,https://open.spotify.com/track/4pMEp90aY5XZcQQGaH7ahu
35,No Time To Die,Billie Eilish,18797,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
36,Raining,SIX60,18739,https://open.spotify.com/track/2FUFFJNRIr0XnWWlL3zfYb
37,Ride It,Regard,18717,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
38,Know Your Worth,Khalid,18407,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
39,Supalonely,BENEE,18047,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
40,Never Seen the Rain,Tones and I,17878,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
41,What A Man Gotta Do,Jonas Brothers,17759,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
42,Trampoline (with ZAYN),SHAED,17555,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
43,Lose Control,MEDUZA,17117,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
44,Never Enough,SIX60,16929,https://open.spotify.com/track/0irgkspMpvzCCg9LSevt9i
45,Moral of the Story,Ashe,16827,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
46,Sunday Morning,Mitch James,16797,https://open.spotify.com/track/1Asq6gE9O44i5krkhqa7Ls
47,High Fashion (feat. Mustard),Roddy Ricch,16703,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
48,hot girl bummer,blackbear,16224,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
49,That Way,Lil Uzi Vert,16077,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
50,bad guy,Billie Eilish,16008,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
