Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,253903,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Smoorverliefd,Snelle,201181,https://open.spotify.com/track/2ryMKWtH2SEQY8fTAclFYb
3,Wat Is Je Naam,Yxng Le,191869,https://open.spotify.com/track/4SlqfJkQNAS7A5cvjBvQ3C
4,Intentions (feat. Quavo),Justin Bieber,179738,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Venus,Frenna,163973,https://open.spotify.com/track/5LzLC6qgVyNTLaPX0ST0IX
6,Don't Start Now,Dua Lipa,160432,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Pa Olvidarte (Beste Zangers Seizoen 2019),Emma Heesters,158280,https://open.spotify.com/track/1RO8Q3w2Jkir8cvvGEApI0
8,Before You Go,Lewis Capaldi,158071,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
9,Loop Niet Weg,Kris Kross Amsterdam,152061,https://open.spotify.com/track/7fmExiQZjHLyDv5SC1EhDg
10,Het Is Al Laat Toch,Racoon,149785,https://open.spotify.com/track/5OhjkylPjKnmR7I2gnVNwz
11,The Box,Roddy Ricch,145753,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
12,No Time To Die,Billie Eilish,142999,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
13,Joanne,Lil Kleine,139120,https://open.spotify.com/track/0JgzUPfK8mrR11ohCKuqYJ
14,Dance Monkey,Tones and I,135198,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,Ze Huilt Maar Ze Lacht,Maan,127480,https://open.spotify.com/track/0MD81YyV6i8t019tqmjq2D
16,3 Nights,Dominic Fike,121831,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
17,Roses - Imanbek Remix,SAINt JHN,120324,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
18,"Alone, Pt. II",Alan Walker,117550,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
19,Falling,Trevor Daniel,111947,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
20,Memories,Maroon 5,108850,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
21,Ride It,Regard,106967,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
22,Physical,Dua Lipa,103897,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
23,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,103344,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
24,Never Seen the Rain,Tones and I,101724,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
25,everything i wanted,Billie Eilish,99103,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
26,In Your Eyes (feat. Alida),Robin Schulz,98886,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
27,Nacht,Kraantje Pappie,97924,https://open.spotify.com/track/06Wn0NldbOhwpKCsoTsUp7
28,Adore You,Harry Styles,94274,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,De Toreador,Opgeblazen,94090,https://open.spotify.com/track/263LTQQjp6gLjxP2O7MFBD
30,Perfect (feat. Haris),Lucas & Steve,92739,https://open.spotify.com/track/30cW9fD87IgbYFl8o0lUze
31,My Oh My (feat. DaBaby),Camila Cabello,92310,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
32,Lose Control,MEDUZA,91566,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
33,Know Your Worth,Khalid,88329,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
34,Mama Bid,Josylvio,86470,https://open.spotify.com/track/69zNylhFRkiAQ06ULmyvRB
35,If The World Was Ending (feat. Julia Michaels),JP Saxe,86406,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
36,Someone You Loved,Lewis Capaldi,85793,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,Uncharted,Kensington,85690,https://open.spotify.com/track/1OJcaSbK9DBaxHExACplwA
38,Circles,Post Malone,84956,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
39,What A Man Gotta Do,Jonas Brothers,84729,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
40,ROXANNE,Arizona Zervas,84330,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
41,Ze Kent Mij,Snelle,80384,https://open.spotify.com/track/3BiBIgQFa8K4EOxisyhXX7
42,What If I Told You That I Love You,Ali Gatie,79262,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
43,Say So,Doja Cat,76161,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
44,Reünie,Snelle,74879,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
45,Die Young,Sheppard,74119,https://open.spotify.com/track/0XSTOKFdWPXlAEliq17XRw
46,After Hours,The Weeknd,73341,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
47,Love Don’t Hate It,Duncan Laurence,73280,https://open.spotify.com/track/3WpCAAxdEOY5L4tT6Dt2H8
48,Used To Love (with Dean Lewis),Martin Garrix,72440,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
49,Deze Is Voor Mij,Suzan & Freek,72112,https://open.spotify.com/track/3eDGSll7NmfGQ8C5hen4gf
50,Life Is Good (feat. Drake),Future,67050,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
