Position,Track Name,Artist,Streams,URL
1,Ignorantes,Bad Bunny,34265,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
2,La Difícil,Bad Bunny,26848,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Si Veo a Tu Mamá,Bad Bunny,25276,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
4,Party En Mi Casa,Boza,24650,https://open.spotify.com/track/5PEzhJIvmjFCFZcFZRze9S
5,La Santa,Bad Bunny,23862,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
6,Vete,Bad Bunny,21174,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
7,Pero Ya No,Bad Bunny,18167,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
8,Tusa,KAROL G,16794,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,Diosa,Myke Towers,16360,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
10,René,Residente,16290,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
11,25/8,Bad Bunny,15441,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
12,Soliá,Bad Bunny,15434,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
13,Sigues Con El,Dimelo Flow,15382,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
14,Está Cabrón Ser Yo,Bad Bunny,15191,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
15,Safaera,Bad Bunny,15156,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
16,A Tu Merced,Bad Bunny,14184,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
17,<3,Bad Bunny,13920,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
18,Coronao Now (Remix),El Alfa,13888,https://open.spotify.com/track/047WmwIeerHyIUstFAEz5A
19,Yo Perreo Sola,Bad Bunny,13746,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
20,Definitivamente,Daddy Yankee,13617,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
21,Girl,Myke Towers,13393,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
22,Bichiyal,Bad Bunny,12730,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
23,Rojo,J Balvin,12236,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
24,Mejor,Dalex,11906,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
25,La Zona,Bad Bunny,11743,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
26,Keii,Anuel AA,11183,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
27,P FKN R,Bad Bunny,10925,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
28,Una Vez,Bad Bunny,10850,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
29,Hola - Remix,Dalex,10755,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
30,Que Malo,Bad Bunny,10569,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
31,Dance Monkey,Tones and I,10162,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
32,Caen & Caen,Chamaco,10006,https://open.spotify.com/track/0sbY18dY1p2pi0Le86x4gb
33,Hablamos Mañana,Bad Bunny,9608,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
34,Puesto Pa' Guerrial,Bad Bunny,9451,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
35,Medusa,Jhay Cortez,9162,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
36,Morado,J Balvin,8957,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
37,Fantasias,Rauw Alejandro,8426,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
38,LA CANCIÓN,J Balvin,8098,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
39,Infeliz,Arcangel,7878,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
40,Si Te Vas,Sech,7816,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
41,Bellaquita - Remix,Dalex,7367,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
42,RITMO (Bad Boys For Life),Black Eyed Peas,7329,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
43,No Me Conoce - Remix,Jhay Cortez,7198,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
44,Quizas,Rich Music LTD,7032,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
45,Whine Up,Nicky Jam,6803,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
46,Callaita,Bad Bunny,6776,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
47,Muévelo,Nicky Jam,6621,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
48,China,Anuel AA,6616,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
49,Me Gusta,Shakira,6616,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
50,Tattoo,Rauw Alejandro,6421,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
