Position,Track Name,Artist,Streams,URL
1,Si Veo a Tu Mamá,Bad Bunny,50804,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
2,Ignorantes,Bad Bunny,48315,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,La Difícil,Bad Bunny,43143,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,Sigues Con El,Dimelo Flow,38061,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
5,Vete,Bad Bunny,33519,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
6,Tusa,KAROL G,29675,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
7,Hola - Remix,Dalex,28959,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
8,Diosa,Myke Towers,28330,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
9,La Santa,Bad Bunny,28288,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
10,René,Residente,28079,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
11,Girl,Myke Towers,26771,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
12,Pero Ya No,Bad Bunny,24216,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
13,Mejor,Dalex,23729,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
14,Bellaquita - Remix,Dalex,23381,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
15,Keii,Anuel AA,21778,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
16,Fantasias,Rauw Alejandro,19677,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
17,Dance Monkey,Tones and I,18416,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,Pa' Olvidarme De Ella,Piso 21,18016,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
19,Muévelo,Nicky Jam,16550,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
20,Quizas,Rich Music LTD,16177,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
21,Me Gusta,Shakira,15667,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
22,Soliá,Bad Bunny,14611,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
23,Aventura,Lunay,14530,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
24,Adicto (with Anuel AA & Ozuna),Tainy,14495,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
25,Perreo en La Luna,Rich Music LTD,14457,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
26,Definitivamente,Daddy Yankee,14101,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
27,LA CANCIÓN,J Balvin,14040,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
28,Si Te Vas,Sech,13800,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
29,Rojo,J Balvin,13587,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
30,Mi Error - Remix,Eladio Carrion,13374,https://open.spotify.com/track/5IjOqh4XLyjHINuOGolmAt
31,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,13245,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
32,Whine Up,Nicky Jam,13229,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
33,Morado,J Balvin,12914,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
34,Infeliz,Arcangel,12911,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
35,<3,Bad Bunny,12658,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
36,A Tu Merced,Bad Bunny,12415,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
37,Yo Perreo Sola,Bad Bunny,12172,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
38,No Me Conoce - Remix,Jhay Cortez,12143,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
39,China,Anuel AA,11202,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
40,Está Cabrón Ser Yo,Bad Bunny,11088,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
41,Cuerpo en Venta,Noriel,10482,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
42,Bichiyal,Bad Bunny,10434,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
43,Una Vez,Bad Bunny,10313,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
44,Tattoo,Rauw Alejandro,10061,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
45,Uniforme,Rich Music LTD,9947,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
46,Hablamos Mañana,Bad Bunny,9903,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
47,Callaita,Bad Bunny,9824,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
48,Que Malo,Bad Bunny,9716,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
49,Piensan,Myke Towers,9700,https://open.spotify.com/track/1A9PKAFEHMWgXNLpgf7k4J
50,RITMO (Bad Boys For Life),Black Eyed Peas,9659,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
