Position,Track Name,Artist,Streams,URL
1,Ignorantes,Bad Bunny,138633,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
2,La Difícil,Bad Bunny,134555,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Tusa,KAROL G,130404,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,Hola - Remix,Dalex,130147,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
5,Sigues Con El,Dimelo Flow,126742,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
6,Si Veo a Tu Mamá,Bad Bunny,119742,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
7,La Santa,Bad Bunny,107825,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
8,Vete,Bad Bunny,100244,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
9,Safaera,Bad Bunny,89684,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
10,Morado,J Balvin,84427,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
11,Dance Monkey,Tones and I,83867,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,Fantasias,Rauw Alejandro,82962,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
13,Girl,Myke Towers,79586,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
14,Bellaquita - Remix,Dalex,76195,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
15,Pero Ya No,Bad Bunny,71202,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
16,Yo Perreo Sola,Bad Bunny,69966,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
17,René,Residente,69510,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
18,Muévelo,Nicky Jam,68543,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
19,Diosa,Myke Towers,66016,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
20,Don't Start Now,Dua Lipa,62607,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
21,China,Anuel AA,60496,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
22,RITMO (Bad Boys For Life),Black Eyed Peas,59723,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
23,No Me Conoce - Remix,Jhay Cortez,59438,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
24,Me Gusta,Shakira,59392,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
25,Detente,Mike Bahía,58988,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
26,Rojo,J Balvin,57668,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
27,Keii,Anuel AA,57593,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
28,Whine Up,Nicky Jam,56917,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
29,LA CANCIÓN,J Balvin,56500,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,Callaita,Bad Bunny,50896,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
31,Bichiyal,Bad Bunny,49218,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
32,En Peligro de Extinción,Bembe Orquesta,48949,https://open.spotify.com/track/6NFqonbFp2QhnJIh7cE2s3
33,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,48410,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
34,Blanco,J Balvin,47624,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
35,Indeciso,Reik,47366,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
36,Definitivamente,Daddy Yankee,47076,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
37,Soliá,Bad Bunny,46930,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
38,Está Cabrón Ser Yo,Bad Bunny,46354,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
39,Tutu,Camilo,46205,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
40,Quizas,Rich Music LTD,45991,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
41,25/8,Bad Bunny,45604,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
42,A Tu Merced,Bad Bunny,45354,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
43,Que Tire Pa Lante,Daddy Yankee,44893,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
44,La Difícil,Camilo,44721,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu
45,Soltera - Remix,Lunay,44193,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
46,Desconocidos,Mau y Ricky,41161,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
47,Te Vi,Piso 21,41018,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
48,Que Malo,Bad Bunny,40951,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
49,QUE PRETENDES,J Balvin,40558,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
50,Tattoo,Rauw Alejandro,40545,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
