Position,Track Name,Artist,Streams,URL
1,W domach z betonu,PRO8L3M,109533,https://open.spotify.com/track/0T0GUG3sWYYgjDUJQwo1aX
2,Szampan,sanah,100047,https://open.spotify.com/track/3YO5XA7Bdi2qDHNVmVfLLW
3,Niedostępny (prod. by Olek) (feat. DMN),Malik Montana,93191,https://open.spotify.com/track/2pIZ5W6m2fBqWwnTEGx5mK
4,Blinding Lights,The Weeknd,90304,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,JESIEŃ,Quebonafide,81856,https://open.spotify.com/track/3tcnMNYokVaRHP1b3xJrOK
6,100 dni do matury,Mata,74361,https://open.spotify.com/track/78L2RUFISfqkmZMTCLYQJC
7,Sexoholik,Żabson,71922,https://open.spotify.com/track/3gG4bxTKqZgX199TF22Cko
8,Don't Start Now,Dua Lipa,64390,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Patointeligencja,Mata,64276,https://open.spotify.com/track/3ZjytV5BojgvkPnXdY5zV2
10,ROMANTICPSYCHO,Quebonafide,61310,https://open.spotify.com/track/7CPvgcag4qOc5mJT1OBP9r
11,VOGUE,Bedoes,61092,https://open.spotify.com/track/0XthAWvbDoOunjDceV6Jq2
12,Drift,Bialas,60453,https://open.spotify.com/track/2kYgryHD0pSjhorV2DOdxc
13,Skrable,PRO8L3M,58006,https://open.spotify.com/track/64hdv64YA3qwdTubqba5dI
14,Dance Monkey,Tones and I,57811,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,No Time To Die,Billie Eilish,52904,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,Co Cię trapi,Reto,52531,https://open.spotify.com/track/30y8AD17WBj3AlMW3thyJi
17,Pilot,Jan-Rapowanie,51520,https://open.spotify.com/track/5IscO23li4Q7mtpTAVQZ0L
18,Jesteś ładniejsza niż na zdjęciach (na zawsze),Bedoes,50242,https://open.spotify.com/track/55sNf76dIok3ddZtFiNaaf
19,Roses - Imanbek Remix,SAINt JHN,48496,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,Anioły i Demony,Tymek,47971,https://open.spotify.com/track/1DXaXsT69EUS1aarFfBxMw
21,The Box,Roddy Ricch,47041,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
22,GOMBAO 33,Mata,46326,https://open.spotify.com/track/2sTuKKRZI1ciK5tflR00YE
23,Impreza,Sobel,46088,https://open.spotify.com/track/37OjKpGDZngkru4ToHVz4V
24,Say So,Doja Cat,46079,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
25,OVERHYPE9000,Szpaku,44739,https://open.spotify.com/track/4XzaPSKLnPi9EXXIP3IbWs
26,Biblioteka Trap,Mata,44534,https://open.spotify.com/track/7BGYwpS2RJ9Cp6YB6H0Xgd
27,Przejmujemy Jutuby,WIP Bros,44451,https://open.spotify.com/track/7n8SA90dRjHyGklPL5N1CZ
28,Falling,Trevor Daniel,43591,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
29,Rainman,Tymek,43207,https://open.spotify.com/track/7GMszPpwzW9Yehj9Ox2QLD
30,Stupid Love,Lady Gaga,43165,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
31,Język ciała,Tymek,42868,https://open.spotify.com/track/3rM7bxaGhahPf0bhRBlrXM
32,Adore You,Harry Styles,42722,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
33,Brzydkie Rzeczy,Bedoes,42027,https://open.spotify.com/track/6STE4z6PBDVmCsIHejY66L
34,Milion,Tymek,41849,https://open.spotify.com/track/1QtpN8q9txVaLXc51aMNTO
35,Poza kontrolą,Tymek,41440,https://open.spotify.com/track/72sOrgrynSH73z4E41Ed0i
36,Surfer,Be Vis,41189,https://open.spotify.com/track/0nGz7MLKPrnpGVxBxZnbie
37,W PIĄTKI LEŻĘ W WANNIE,Taco Hemingway,40998,https://open.spotify.com/track/4bpShq8coki3AlMsXuFCDa
38,everything i wanted,Billie Eilish,40331,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
39,Co ja wiem?,Jan-Rapowanie,40142,https://open.spotify.com/track/0XmQabmXUU4ubnZj8b2qX4
40,Schodki,Mata,39737,https://open.spotify.com/track/0vPVqOKo8LWVganQgBZS5y
41,Physical,Dua Lipa,39732,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
42,Żółte flamastry i grube katechetki,Mata,39554,https://open.spotify.com/track/0GZfZOUpFBfArX6F50LXyf
43,1998 (mam to we krwi),Bedoes,39540,https://open.spotify.com/track/2dvxMlIfGY90Wvw8OSgZoF
44,Floyd Mayweather,Żabson,39418,https://open.spotify.com/track/5wOAQXIydVWJNatT6nKwhz
45,Wschód (lubię zapierdalać),Bedoes,39235,https://open.spotify.com/track/7BF6s1W1W9filnjQkNYasL
46,Opowieści z Doliny Smoków,Bedoes,37859,https://open.spotify.com/track/0biUEKHyKAPBDLcrjCUFsu
47,Na Osiedlu,Szpaku,37128,https://open.spotify.com/track/4jCBTqp4F1KVjSo8rHC6pp
48,Będzie Lepiej,Miyo,36670,https://open.spotify.com/track/30OnKqCINi9fRJyQTEZeDz
49,hot coffee,schafter,36616,https://open.spotify.com/track/4pzRQIRRHXYsAryBKXALCF
50,Wybory,Jan-Rapowanie,36280,https://open.spotify.com/track/3KeWngnWN1REq9d26ZanKj
