Position,Track Name,Artist,Streams,URL
1,La Bella Mafia,Wet Bed Gang,40009,https://open.spotify.com/track/3UZUEIxIO8diPNOVusvrui
2,Blinding Lights,The Weeknd,38213,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Lembrei-me,Bispo,37362,https://open.spotify.com/track/5xR10YiAG8XvMFd1Kc2XFE
4,The Box,Roddy Ricch,32977,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,menina solta,Giulia Be,31273,https://open.spotify.com/track/2MOq63fxuFLYQM3CsDcFs1
6,Louco,Piruka,29010,https://open.spotify.com/track/5RPewmKIUL2vWtQLI0Qp1F
7,Tusa,KAROL G,26771,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
8,Falling,Trevor Daniel,26106,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,Dance Monkey,Tones and I,25497,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Somos Iguais,Plutónio,24502,https://open.spotify.com/track/1X3ltingEVNGRoJf1dvZfQ
11,Don't Start Now,Dua Lipa,23288,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
12,ROXANNE,Arizona Zervas,23038,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,Essa Saia (feat. Ivandro),Bispo,22893,https://open.spotify.com/track/2OI0z4fQD8NQPfYf5v6a2E
14,"Tempo (feat. Tóy Tóy T-Rex, LON3R JOHNY & BISPO)",FRANKIEONTHEGUITAR,22138,https://open.spotify.com/track/19gFXFDAFUdsuaiAorKEbr
15,Life Is Good (feat. Drake),Future,22110,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
16,Hoji N'ka ta Rola,Julinho Ksd,21900,https://open.spotify.com/track/3EtXiDhRO8psTWs2uY8nyA
17,everything i wanted,Billie Eilish,21166,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
18,HEI,ProfJam,18804,https://open.spotify.com/track/5IsQNZTVP4Lkfn2eMVE0nt
19,Say So,Doja Cat,18295,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
20,Tranquilo,Aragão,18276,https://open.spotify.com/track/1fobXPCu47gikLMIoyQBLy
21,No Time To Die,Billie Eilish,17789,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
22,Circles,Post Malone,17509,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
23,Intentions (feat. Quavo),Justin Bieber,17041,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,Yummy,Justin Bieber,16819,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
25,Vivi Good,Julinho Ksd,16550,https://open.spotify.com/track/6MLQRF8D7LsOvZwkt1UcZP
26,Memories,Maroon 5,16365,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,Eterna Sacanagem,MC JottaPê,15966,https://open.spotify.com/track/1AfNdxHdE4OLcnQUyC6j3i
28,Vencedor,Phoenix Rdc,15795,https://open.spotify.com/track/4a0H1kKez7UVLveRL5cEgy
29,Combatchy (feat. MC Rebecca),Anitta,15739,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
30,Sei Lá,Bárbara Tinoco,15011,https://open.spotify.com/track/1Zta013L8lvFsTjmnF34B6
31,Tou Na Festa,Joint One,14807,https://open.spotify.com/track/65FrBTn4FmkR2aDg50vPXC
32,After Hours,The Weeknd,14750,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
33,Quando a vontade bater (Participação especial de PK Delas),Pk,14484,https://open.spotify.com/track/26WpOBpHiIMoBuMEIwtOCH
34,Sentimento Safari,Julinho Ksd,14379,https://open.spotify.com/track/2t98sYRAQZAXqdwi3Sf6pQ
35,Godzilla (feat. Juice WRLD),Eminem,14040,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
36,RITMO (Bad Boys For Life),Black Eyed Peas,13984,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
37,Bússola,Nenny,13980,https://open.spotify.com/track/0HAIealfpi1oQ09yPMsUIK
38,Gaiola É o Troco,MC Du Black,13823,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH
39,HIGHEST IN THE ROOM,Travis Scott,13788,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
40,Irresponsável,Wet Bed Gang,13720,https://open.spotify.com/track/1AgqELuodwiIUbJhXM74Jx
41,Stupid Love,Lady Gaga,13706,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
42,Vergonha na Cara,Plutónio,13423,https://open.spotify.com/track/7tgcYERxLChrwBIWp1mrv3
43,Hotel,mishlawi,13149,https://open.spotify.com/track/5U41K61DdhoVe7PJP9emUU
44,Bolero,X-Tense,12993,https://open.spotify.com/track/7mdE30Ov4in9UOCUcQiIK0
45,Lucy Lucy,Plutónio,12794,https://open.spotify.com/track/2TPBDdqlAb6BitW6KC1KjW
46,Adore You,Harry Styles,12714,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
47,Se Eu,Fernando Daniel,12419,https://open.spotify.com/track/60sz5NvSVHHTiaC02QuvaR
48,bad guy,Billie Eilish,12311,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
49,Ballin' (with Roddy Ricch),Mustard,11312,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
50,Antes Dela Dizer Que Sim,Bárbara Tinoco,11247,https://open.spotify.com/track/6PLVLWG3bjuKrvMJmwjps1
