Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,482042,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,419587,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Roses - Imanbek Remix,SAINt JHN,401967,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,No Time To Die,Billie Eilish,315182,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
5,Don't Start Now,Dua Lipa,312377,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Before You Go,Lewis Capaldi,304103,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
7,Intentions (feat. Quavo),Justin Bieber,303682,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,Say So,Doja Cat,284684,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,Dance Monkey,Tones and I,277627,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,274638,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
11,Life Is Good (feat. Drake),Future,251568,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
12,Lonely,Joel Corry,250760,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
13,Adore You,Harry Styles,249891,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
14,Someone You Loved,Lewis Capaldi,246429,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,Godzilla (feat. Juice WRLD),Eminem,236783,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
16,You should be sad,Halsey,232748,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
17,Stupid Love,Lady Gaga,225273,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
18,Physical,Dua Lipa,205804,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
19,ROXANNE,Arizona Zervas,198094,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,My Oh My (feat. DaBaby),Camila Cabello,192563,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,everything i wanted,Billie Eilish,192555,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,Better Off Without You (feat. Shift K3Y),Becky Hill,188458,https://open.spotify.com/track/3oIVK7arAFuUOCGafPLxSC
23,Bruises,Lewis Capaldi,169484,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
24,After Hours,The Weeknd,169254,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
25,Falling,Trevor Daniel,168230,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
26,Falling,Harry Styles,158196,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
27,Circles,Post Malone,157195,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
28,To Die For,Sam Smith,156033,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
29,bad guy,Billie Eilish,151068,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
30,What A Man Gotta Do,Jonas Brothers,150463,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
31,Blueberry Faygo,Lil Mosey,147012,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
32,Lose Control,MEDUZA,146583,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
33,Location (feat. Burna Boy),Dave,144992,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
34,Play Play (feat. Burna Boy),J Hus,143307,https://open.spotify.com/track/3R60ekRcGXuaoZmnbdlf3n
35,Moral of the Story,Ashe,138680,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
36,death bed (feat. beabadoobee),Powfu,138633,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
37,CITY OF ANGELS,24kGoldn,133475,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
38,Yummy,Justin Bieber,129756,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
39,Ballin' (with Roddy Ricch),Mustard,129481,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
40,Watermelon Sugar,Harry Styles,127968,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
41,Hold Me While You Wait,Lewis Capaldi,125386,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
42,Don't Rush (feat. Headie One),Young T & Bugsey,124765,https://open.spotify.com/track/0PXukVbYpvz40KcEFKnIw7
43,Know Your Worth,Khalid,124754,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
44,Vossi Bop,Stormzy,122911,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG
45,Ladbroke Grove,AJ Tracey,119854,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
46,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,118646,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
47,Sunday Best,Surfaces,117758,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
48,Ei8ht Mile (feat. Aitch),DigDat,113011,https://open.spotify.com/track/5hI4RRn6wXpEZJUhvkTUNV
49,Boyfriend,Mabel,112352,https://open.spotify.com/track/0B2su5lNZe9t3VjOkwtDLV
50,I Don't Care (with Justin Bieber),Ed Sheeran,111924,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
