Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,20441,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Dance Monkey,Tones and I,19052,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,The Box,Roddy Ricch,15947,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,Don't Start Now,Dua Lipa,14756,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,No Time To Die,Billie Eilish,12761,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
6,Godzilla (feat. Juice WRLD),Eminem,12717,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
7,Až na měsíc,Viktor Sheen,12714,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
8,Someone You Loved,Lewis Capaldi,12016,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,Falling,Trevor Daniel,11628,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,Stupid Love,Lady Gaga,10248,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
11,Intentions (feat. Quavo),Justin Bieber,10201,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Růže,Calin,10061,https://open.spotify.com/track/0snC0JRK2kq9AbB0AjWTm8
13,Zrovna jí to najelo,CA$HANOVA BULHAR,9977,https://open.spotify.com/track/1waxcXUYLEme2y1qnubHma
14,ROXANNE,Arizona Zervas,9912,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
15,Circles,Post Malone,9871,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
16,Moral of the Story,Ashe,9634,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
17,bad guy,Billie Eilish,9592,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,LALALA,Grey,9350,https://open.spotify.com/track/55HtKTQeAdPbLz8NtlkaKB
19,Roses - Imanbek Remix,SAINt JHN,9279,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
20,Señorita,Shawn Mendes,9278,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,Kytky z pumpy,Renne Dang,9215,https://open.spotify.com/track/0yPHAfN6d4Id9dsUeuWhJm
22,Neviditelnej,Kontrafakt,9171,https://open.spotify.com/track/1ZX3Qk3dnbGhMUwvlIMwWt
23,Lose Control,MEDUZA,8865,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
24,Memories,Maroon 5,8793,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,Ride It,Regard,8730,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
26,everything i wanted,Billie Eilish,8652,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
27,Say So,Doja Cat,8563,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
28,Rescue Me,OneRepublic,8529,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
29,Mráz,Viktor Sheen,8328,https://open.spotify.com/track/6MlldqBpDJty0FAqJOi8EY
30,After Hours,The Weeknd,8242,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
31,Before You Go,Lewis Capaldi,8177,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,Sladká,Dorian,7869,https://open.spotify.com/track/53babpnCbhRGyme9RPksyf
33,Sunday Best,Surfaces,7771,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
34,Shallow,Lady Gaga,7577,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
35,Černobílej svět,Viktor Sheen,7533,https://open.spotify.com/track/49yeFC92MyOcVU8tiit4wj
36,Beautiful People (feat. Khalid),Ed Sheeran,7473,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
37,Adore You,Harry Styles,7452,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
38,I Don't Care (with Justin Bieber),Ed Sheeran,7378,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
39,You should be sad,Halsey,7013,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
40,BUDE LÍP,MILION+,6753,https://open.spotify.com/track/1HURVedroTlzswJbtfbVEh
41,Maria - Acoustic,STEIN27,6746,https://open.spotify.com/track/347EQaveqzOl32pVO1kbYe
42,Yummy,Justin Bieber,6740,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
43,Neonový město,Sensey,6734,https://open.spotify.com/track/2vIeHhvghc8dOgCie9p6Az
44,hot girl bummer,blackbear,6708,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
45,Zlato,Viktor Sheen,6503,https://open.spotify.com/track/4s4LctENLwJP4ceVDO9BKm
46,Svaz ceskych bohemu,Wohnout,6470,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy
47,Physical,Dua Lipa,6402,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
48,Alkohol a Molly,Viktor Sheen,6284,https://open.spotify.com/track/6Fn9OVLZ9iGRS6SLsrFemT
49,Life Is Good (feat. Drake),Future,6265,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
50,Sedm,Nik Tendo,6235,https://open.spotify.com/track/7Kk3JdKFFQv1YN2hluyx1J
