Position,Track Name,Artist,Streams,URL
1,La Difícil,Bad Bunny,38952,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
2,Si Veo a Tu Mamá,Bad Bunny,36265,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
3,Ignorantes,Bad Bunny,34394,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
4,La Santa,Bad Bunny,34050,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
5,25/8,Bad Bunny,29056,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
6,Safaera,Bad Bunny,27619,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
7,Pero Ya No,Bad Bunny,27319,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
8,Está Cabrón Ser Yo,Bad Bunny,26912,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
9,Yo Perreo Sola,Bad Bunny,25811,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
10,Soliá,Bad Bunny,25511,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
11,Vete,Bad Bunny,24437,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
12,Bichiyal,Bad Bunny,24319,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
13,A Tu Merced,Bad Bunny,21695,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
14,La Zona,Bad Bunny,21280,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
15,<3,Bad Bunny,20913,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
16,Que Malo,Bad Bunny,19583,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
17,P FKN R,Bad Bunny,18728,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
18,René,Residente,17877,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
19,Una Vez,Bad Bunny,16824,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
20,Puesto Pa' Guerrial,Bad Bunny,16655,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
21,Hablamos Mañana,Bad Bunny,15280,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
22,Diosa,Myke Towers,14212,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
23,Sigues Con El,Dimelo Flow,13869,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
24,Girl,Myke Towers,13830,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
25,Tusa,KAROL G,13781,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
26,Medusa,Jhay Cortez,12521,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
27,Hola - Remix,Dalex,11666,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
28,Keii,Anuel AA,9627,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
29,Infeliz,Arcangel,9514,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
30,Rojo,J Balvin,8986,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
31,Coronao Now (Remix),El Alfa,8865,https://open.spotify.com/track/047WmwIeerHyIUstFAEz5A
32,LA CANCIÓN,J Balvin,8547,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
33,No Me Conoce - Remix,Jhay Cortez,8331,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
34,Dance Monkey,Tones and I,7717,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
35,Fantasias,Rauw Alejandro,7673,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
36,Callaita,Bad Bunny,7306,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
37,Bellaquita - Remix,Dalex,7248,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
38,Mejor,Dalex,6995,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
39,Definitivamente,Daddy Yankee,6955,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
40,Morado,J Balvin,6910,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
41,Si Te Vas,Sech,6764,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
42,100 Preguntas,Ozuna,6627,https://open.spotify.com/track/21Oh0PHE9KQPXPUvXk7sY9
43,Adicto (with Anuel AA & Ozuna),Tainy,6579,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
44,Aventura,Lunay,6045,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
45,Cuerpo en Venta,Noriel,6042,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
46,Tattoo,Rauw Alejandro,5948,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
47,Soltera - Remix,Lunay,5755,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
48,QUE PRETENDES,J Balvin,5745,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
49,China,Anuel AA,5649,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
50,Rumba,Rochy RD,5354,https://open.spotify.com/track/04Oynte1xZfgnPh8kXhmE7
