Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,13549,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Pala Mande,Azteca,11400,https://open.spotify.com/track/6h3cc0Q4HBy7OD06Jq8XgM
3,Roses - Imanbek Remix,SAINt JHN,10462,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,Blinding Lights,The Weeknd,9896,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Miami Bici,Killa Fonic,9806,https://open.spotify.com/track/3x36ydx3x5LtlQLQUESjtl
6,Godzilla (feat. Juice WRLD),Eminem,9436,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
7,Don't Start Now,Dua Lipa,7885,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Life Is Good (feat. Drake),Future,7854,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
9,Dance Monkey,Tones and I,7623,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,Falling,Trevor Daniel,7594,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,After Hours,The Weeknd,7335,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
12,ROXANNE,Arizona Zervas,6680,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,HIGHEST IN THE ROOM,Travis Scott,6341,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
14,Intentions (feat. Quavo),Justin Bieber,6329,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,No Time To Die,Billie Eilish,6201,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,Mili,Ian,6016,https://open.spotify.com/track/04cqASbER6wLs0me9FszxL
17,Say So,Doja Cat,6008,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,Lose Control,MEDUZA,5872,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
19,everything i wanted,Billie Eilish,5683,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,Circles,Post Malone,5584,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,That Way,Lil Uzi Vert,5413,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
22,Ce-Ţi Cântă Dragostea,Roxen,5260,https://open.spotify.com/track/2SbIarT6RP85tisGUGzCud
23,Blueberry Faygo,Lil Mosey,5182,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
24,Haolo,Killa Fonic,5135,https://open.spotify.com/track/0eHoaHif9kYQXlHF5J5ti7
25,Moral of the Story,Ashe,4934,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
26,60 De Zile,Ian,4918,https://open.spotify.com/track/5ymFsfuMVDuG43ksIqCohv
27,bad guy,Billie Eilish,4915,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
28,Stupid Love,Lady Gaga,4822,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
29,Nefiu,Ian,4725,https://open.spotify.com/track/1QVYDQmJSBpQ1vnO5euZMk
30,Physical,Dua Lipa,4693,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
31,My Oh My (feat. DaBaby),Camila Cabello,4686,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
32,Someone You Loved,Lewis Capaldi,4648,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,Dior,Marko Glass,4611,https://open.spotify.com/track/2uYtcnrTxmHcH98YLAOOWh
34,No Idea,Don Toliver,4566,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
35,Adore You,Harry Styles,4505,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
36,Sunday Best,Surfaces,4459,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
37,Yummy,Justin Bieber,4444,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
38,Memories,Maroon 5,4349,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
39,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,4246,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
40,Bag Un Blunt,Ian,4191,https://open.spotify.com/track/1nGnZ1SNJHg0qmCKZLiCgi
41,death bed (feat. beabadoobee),Powfu,4018,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
42,OUT WEST (feat. Young Thug),JACKBOYS,4008,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
43,Let Me Down Slowly,Alec Benjamin,3942,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
44,Oriunde Ma Duc,Oscar,3878,https://open.spotify.com/track/4Kl89C0PYWxerQ4DP7LgKr
45,BOP,DaBaby,3861,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
46,Ayy Macarena,Tyga,3848,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
47,CITY OF ANGELS,24kGoldn,3760,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
48,B.M.V.,Nane,3758,https://open.spotify.com/track/0YF7NWEb8CTZQFXCIL2Ztq
49,ON,BTS,3747,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
50,WHATS POPPIN,Jack Harlow,3710,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
