Position,Track Name,Artist,Streams,URL
1,Intentions (feat. Quavo),Justin Bieber,47875,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
2,Dance Monkey,Tones and I,44746,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Don't Start Now,Dua Lipa,44531,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
4,Say So,Doja Cat,40232,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
5,Memories,Maroon 5,38369,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Blinding Lights,The Weeknd,36672,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,ON,BTS,36483,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
8,Falling,Trevor Daniel,34810,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,Someone You Loved,Lewis Capaldi,33818,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,Yummy,Justin Bieber,33511,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
11,Circles,Post Malone,33366,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,The Box,Roddy Ricch,31426,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,ROXANNE,Arizona Zervas,31319,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,death bed (feat. beabadoobee),Powfu,28476,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
15,ON (Feat. Sia),BTS,28035,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
16,Before You Go,Lewis Capaldi,27755,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
17,Any song,Zico,27091,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
18,everything i wanted,Billie Eilish,26041,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
19,Señorita,Shawn Mendes,25576,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,Modern Loneliness,Lauv,24799,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
21,No Time To Die,Billie Eilish,24778,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
22,怎麼了,Eric Chou,24687,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
23,Psycho,Red Velvet,24248,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
24,Mean It,Lauv,24226,https://open.spotify.com/track/4z1rk9qlsqhp5LJm5qvXZF
25,Sunday Best,Surfaces,22231,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,To Die For,Sam Smith,22230,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
27,"10,000 Hours (with Justin Bieber)",Dan + Shay,21853,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
28,說好不哭,Jay Chou,21766,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
29,Black Swan,BTS,21118,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
30,Blueberry Faygo,Lil Mosey,20910,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
31,You should be sad,Halsey,20272,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
32,Stupid Love,Lady Gaga,20247,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
33,Boy With Luv (feat. Halsey),BTS,20200,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
34,Physical,Dua Lipa,20160,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
35,My Oh My (feat. DaBaby),Camila Cabello,19933,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
36,If The World Was Ending (feat. Julia Michaels),JP Saxe,18742,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
37,Tattoos Together,Lauv,17849,https://open.spotify.com/track/33N0DfqkeNyir1emyxNVG5
38,After Hours,The Weeknd,17782,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
39,Beautiful People (feat. Khalid),Ed Sheeran,17650,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
40,It's You,Ali Gatie,17641,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
41,Adore You,Harry Styles,17467,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
42,"always, i'll care",Jeremy Zucker,17430,https://open.spotify.com/track/1LdS1ULS9e18oW3M2C1MUj
43,hot girl bummer,blackbear,17206,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
44,What If I Told You That I Love You,Ali Gatie,17175,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
45,"你,好不好? - Ending Theme Song of TVBS Series ""Life List""",Eric Chou,16803,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
46,Filter,BTS,16573,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
47,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,16422,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
48,I Don't Care (with Justin Bieber),Ed Sheeran,16284,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
49,bad guy,Billie Eilish,16247,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
50,00:00 (Zero O’Clock),BTS,16030,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
