Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,10331,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,The Box,Roddy Ricch,8513,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,J Lo,Kontrafakt,7880,https://open.spotify.com/track/66Cr54dci8JYsaVnqzrSjb
4,Og,Separ,7131,https://open.spotify.com/track/0M8l1pXMG7SQiaMCULsKAK
5,Don't Start Now,Dua Lipa,6772,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,Falling,Trevor Daniel,6295,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Neviditelnej,Kontrafakt,6189,https://open.spotify.com/track/1ZX3Qk3dnbGhMUwvlIMwWt
8,Dance Monkey,Tones and I,6080,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
9,Godzilla (feat. Juice WRLD),Eminem,5969,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
10,No Time To Die,Billie Eilish,5765,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
11,Intentions (feat. Quavo),Justin Bieber,5682,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,Roses - Imanbek Remix,SAINt JHN,5565,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
13,After Hours,The Weeknd,4963,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
14,Stupid Love,Lady Gaga,4690,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
15,Circles,Post Malone,4599,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
16,Pocity,Kontrafakt,4574,https://open.spotify.com/track/4CMd4mKHTkwQSTeZBGvBVc
17,everything i wanted,Billie Eilish,4440,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
18,Mesiac,Kontrafakt,4351,https://open.spotify.com/track/3YFz9iRjuNBPn7YmyNzFEZ
19,ROXANNE,Arizona Zervas,4279,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,Say So,Doja Cat,4158,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,Lose Control,MEDUZA,4129,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
22,Ride It,Regard,3935,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
23,Si Sa Namotal,Kontrafakt,3902,https://open.spotify.com/track/48VhN83gb9W3xGV9BmyWNK
24,Memories,Maroon 5,3773,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,bad guy,Billie Eilish,3765,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
26,Someone You Loved,Lewis Capaldi,3689,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Instagram,Kontrafakt,3635,https://open.spotify.com/track/3NzVLSwstanBsktCoYi95n
28,Ideme Dnu,Kontrafakt,3593,https://open.spotify.com/track/5CgWASCjD6SsFrIn901xvp
29,Life Is Good (feat. Drake),Future,3506,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
30,Real Newz,Kontrafakt,3408,https://open.spotify.com/track/4XC5oq8wi2uXCmj8IAFaiB
31,Before You Go,Lewis Capaldi,3355,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,Adore You,Harry Styles,3344,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
33,You should be sad,Halsey,3308,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
34,Moral of the Story,Ashe,3305,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
35,Physical,Dua Lipa,3263,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
36,Yummy,Justin Bieber,3257,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
37,Až na měsíc,Viktor Sheen,3121,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
38,My Oh My (feat. DaBaby),Camila Cabello,3096,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
39,Beautiful People (feat. Khalid),Ed Sheeran,3016,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
40,Forever (feat. Post Malone & Clever),Justin Bieber,2999,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
41,Blueberry Faygo,Lil Mosey,2993,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
42,Sunday Best,Surfaces,2976,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
43,Playbackaris,Kontrafakt,2970,https://open.spotify.com/track/5rtRD2TjgH5soZnDp0PTjp
44,Čo Ja Viem,Kontrafakt,2966,https://open.spotify.com/track/7pCp7mTXJr71hTAAKETuI1
45,Señorita,Shawn Mendes,2840,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
46,G.O.a.T.,Kontrafakt,2809,https://open.spotify.com/track/5wBeuXtgTi2xVnyivXfyhu
47,I Don't Care (with Justin Bieber),Ed Sheeran,2795,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
48,Lepšia Pesnička,DMS,2772,https://open.spotify.com/track/6ntmdHcXnxQFnjFhgaInIV
49,"Alone, Pt. II",Alan Walker,2771,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
50,Feel Me,Selena Gomez,2720,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
