Position,Track Name,Artist,Streams,URL
1,La Difícil,Bad Bunny,508726,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
2,Tusa,KAROL G,452636,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
3,Tattoo,Rauw Alejandro,443367,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
4,Ignorantes,Bad Bunny,395060,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
5,Diosa,Myke Towers,381161,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
6,Rojo,J Balvin,371266,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
7,La Santa,Bad Bunny,367794,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
8,Morado,J Balvin,323086,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
9,Keii,Anuel AA,307556,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
10,Si Veo a Tu Mamá,Bad Bunny,282592,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
11,Vete,Bad Bunny,248908,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
12,Medusa,Jhay Cortez,248664,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
13,Está Cabrón Ser Yo,Bad Bunny,226160,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
14,Me Gusta,Shakira,221939,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
15,Pero Ya No,Bad Bunny,210705,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
16,René,Residente,207775,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
17,Se iluminaba,Fred De Palma,201020,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
18,Yo Perreo Sola,Bad Bunny,190819,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
19,Safaera,Bad Bunny,183800,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
20,+,Aitana,182981,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
21,25/8,Bad Bunny,180246,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
22,Dance Monkey,Tones and I,177366,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,Muévelo,Nicky Jam,174786,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
24,<3,Bad Bunny,173807,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
25,Prendio (Remix),Rvfv,170779,https://open.spotify.com/track/17VsiwLi1ovKYdVUqDieGC
26,Bichiyal,Bad Bunny,167295,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
27,Pegamos Tela,Lérica,166613,https://open.spotify.com/track/4punHldq7Jfx0Plu7SdjQ0
28,Hola - Remix,Dalex,163904,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
29,Que Malo,Bad Bunny,162649,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
30,Alocao (With Bad Gyal),Omar Montes,162171,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
31,Soliá,Bad Bunny,157544,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
32,A Tu Merced,Bad Bunny,155000,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
33,Blanco,J Balvin,154972,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
34,Ahora Dice Que Me Ama,Bandaga,153301,https://open.spotify.com/track/2Z3RqW9jfl62il0R4q8wQy
35,La Zona,Bad Bunny,150174,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
36,Sigues Con El,Dimelo Flow,149653,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
37,Hablamos Mañana,Bad Bunny,147882,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
38,Indeciso,Reik,146156,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
39,Si por mi fuera,Beret,144463,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
40,Malibú con Piña,Funzo & Baby Loud,138278,https://open.spotify.com/track/4T7SpjqFNSpfdAsN66DkiE
41,Blinding Lights,The Weeknd,135965,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
42,RITMO (Bad Boys For Life),Black Eyed Peas,134486,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
43,Fuera De Mi Mente,Lérica,129196,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
44,Whine Up,Nicky Jam,127294,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
45,Una Vez,Bad Bunny,125358,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
46,China,Anuel AA,124098,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
47,Puesto Pa' Guerrial,Bad Bunny,122087,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
48,P FKN R,Bad Bunny,121907,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
49,Easy - Remix,Jhay Cortez,116440,https://open.spotify.com/track/1NmQc6rwLv7g0UHL1AFOa9
50,Rutina,Myke Towers,114323,https://open.spotify.com/track/3YntiCUU0Xqq0B68FM3YAt
