Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,1994274,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,That Way,Lil Uzi Vert,1751164,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
3,Say So,Doja Cat,1172448,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
4,Blinding Lights,The Weeknd,1161998,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
5,Blueberry Faygo,Lil Mosey,1108917,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,Intentions (feat. Quavo),Justin Bieber,1098283,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,La Difícil,Bad Bunny,1068698,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
8,Life Is Good (feat. Drake),Future,1055241,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
9,Si Veo a Tu Mamá,Bad Bunny,987645,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,Ignorantes,Bad Bunny,958535,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
11,ROXANNE,Arizona Zervas,922272,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,High Fashion (feat. Mustard),Roddy Ricch,920040,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
13,Stupid Love,Lady Gaga,912649,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
14,Heatin Up (feat. Gunna),Lil Baby,907145,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
15,Don't Start Now,Dua Lipa,896214,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
16,WHATS POPPIN,Jack Harlow,863303,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
17,La Santa,Bad Bunny,857822,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
18,Circles,Post Malone,841258,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,Vete,Bad Bunny,811590,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
20,Falling,Trevor Daniel,806651,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
21,After Hours,The Weeknd,774384,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
22,Adore You,Harry Styles,735501,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
23,Pero Ya No,Bad Bunny,730491,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
24,Godzilla (feat. Juice WRLD),Eminem,719898,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
25,Dance Monkey,Tones and I,718579,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
26,Woah,Lil Baby,706695,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
27,Yo Perreo Sola,Bad Bunny,689046,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
28,everything i wanted,Billie Eilish,678644,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,Sunday Best,Surfaces,676561,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
30,Safaera,Bad Bunny,661499,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
31,Go Stupid,Polo G,658341,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
32,Ballin' (with Roddy Ricch),Mustard,656688,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
33,Bichiyal,Bad Bunny,636011,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
34,Soliá,Bad Bunny,625332,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
35,Live Off My Closet (feat. Future),Lil Baby,614409,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
36,Commercial (feat. Lil Uzi Vert),Lil Baby,610533,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
37,Suicidal,YNW Melly,609022,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
38,BOP,DaBaby,606416,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
39,You should be sad,Halsey,601876,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
40,Moral of the Story,Ashe,598986,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
41,Sum 2 Prove,Lil Baby,595374,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
42,No Time To Die,Billie Eilish,584996,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
43,death bed (feat. beabadoobee),Powfu,569123,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
44,La Zona,Bad Bunny,557621,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
45,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,548815,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
46,25/8,Bad Bunny,548046,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
47,Que Malo,Bad Bunny,545579,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
48,Someone You Loved,Lewis Capaldi,545008,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
49,PTSD,G Herbo,539393,https://open.spotify.com/track/3jT2LKH0RSbQ8jIUNFzXm5
50,Bandit (with YoungBoy Never Broke Again),Juice WRLD,537029,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
