Position,Track Name,Artist,Streams,URL
1,The Box,Roddy Ricch,11772,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,Dance Monkey,Tones and I,10040,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,Blinding Lights,The Weeknd,9940,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Intentions (feat. Quavo),Justin Bieber,9230,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,Life Is Good (feat. Drake),Future,8706,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
6,Don't Start Now,Dua Lipa,8384,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,eMcimbini - Live,Kabza De Small,7780,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
8,Circles,Post Malone,7582,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,everything i wanted,Billie Eilish,7199,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,Memories,Maroon 5,6580,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
11,Godzilla (feat. Juice WRLD),Eminem,6344,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
12,Falling,Trevor Daniel,6259,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,Someone You Loved,Lewis Capaldi,6253,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,Yummy,Justin Bieber,5910,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
15,You're the One,Elaine,5887,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
16,Beautiful People (feat. Khalid),Ed Sheeran,5877,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
17,ROXANNE,Arizona Zervas,5849,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Say So,Doja Cat,5765,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
19,I Don't Care (with Justin Bieber),Ed Sheeran,5681,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
20,Roses - Imanbek Remix,SAINt JHN,5579,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
21,No Time To Die,Billie Eilish,5477,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
22,Stupid Love,Lady Gaga,4908,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
23,Eastside (with Halsey & Khalid),benny blanco,4891,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
24,Before You Go,Lewis Capaldi,4813,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,Lose Control,MEDUZA,4777,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
26,After Hours,The Weeknd,4724,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
27,Forever (feat. Post Malone & Clever),Justin Bieber,4682,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
28,High Fashion (feat. Mustard),Roddy Ricch,4610,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
29,What A Man Gotta Do,Jonas Brothers,4594,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
30,Adore You,Harry Styles,4566,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,Sunday Best,Surfaces,4527,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
32,My Oh My (feat. DaBaby),Camila Cabello,4499,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
33,Tender Love (feat. DJ Maphorisa & Kabza De Small),Sha Sha,4464,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
34,Lose You To Love Me,Selena Gomez,4463,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
35,Señorita,Shawn Mendes,4422,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,You should be sad,Halsey,4418,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
37,Know Your Worth,Khalid,4154,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
38,Lorch,Kabza De Small,4143,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
39,Blueberry Faygo,Lil Mosey,4118,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,Never Seen the Rain,Tones and I,4024,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
41,Risky,Elaine,4006,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
42,bad guy,Billie Eilish,3953,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
43,Ride It,Regard,3900,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
44,To Die For,Sam Smith,3874,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
45,death bed (feat. beabadoobee),Powfu,3669,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
46,That Way,Lil Uzi Vert,3597,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
47,Call You Mine,The Chainsmokers,3575,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
48,Ballin' (with Roddy Ricch),Mustard,3550,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
49,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3477,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
50,Takeaway,The Chainsmokers,3406,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
