Position,Track Name,Artist,Streams,URL
1,Svag,Victor Leksell,238207,https://open.spotify.com/track/5SY5BWTxbDqFouuAdelFV9
2,Blinding Lights,The Weeknd,188080,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,Vem e som oss,Anis Don Demina,142357,https://open.spotify.com/track/20052FYa2SF5Lkp9VZTLJX
4,Bulletproof,Dotter,129571,https://open.spotify.com/track/4RcEx6TvICENelSh3O7gvu
5,Brave,Hanna Ferm,120405,https://open.spotify.com/track/7oNRF4LJHL5aC2zTU66UN1
6,Talking In My Sleep,Paul Rey,109442,https://open.spotify.com/track/3RDZ1tmyih1KHQMj6gpgD4
7,Move,The Mamas,106115,https://open.spotify.com/track/19LiotxKSVs7FeVMEdHz63
8,Lev nu dö sen,Miss Li,102359,https://open.spotify.com/track/6HJasLoTKvxglAMQH8nPcD
9,Lila,Asme,98209,https://open.spotify.com/track/3JjsTTUgaPdLlLKtKL7OD0
10,Dance Monkey,Tones and I,96680,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,Intro,Asme,93055,https://open.spotify.com/track/1SbJBcUW86KgmIfbOOCQAt
12,The Box,Roddy Ricch,92583,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
13,Kingdom Come,Anna Bergendahl,90480,https://open.spotify.com/track/0ZoxdGmVIGzxUSi6nkQ98G
14,Piga & dräng,Drängarna,89284,https://open.spotify.com/track/0fXANVK5oDCujoed5II6La
15,Tills mitt hjärta går under,Myra Granberg,85679,https://open.spotify.com/track/71q2qYTo4BzqNGpy5S7vV3
16,Komplicerad,Miss Li,85611,https://open.spotify.com/track/29nwG4y9NFmN76yfUfc01d
17,ICE CREAM,Greekazo,79718,https://open.spotify.com/track/1XrJFPU2gbR0YzKyugold7
18,PIKACHU,Dree Low,78785,https://open.spotify.com/track/3HVlfexKqtKjCgovfvvUJj
19,En säng av rosor,Darin,76950,https://open.spotify.com/track/14eKSIRO006SRXYpfoY8HK
20,PIPPI,Dree Low,75759,https://open.spotify.com/track/3ySRhREV5ceozxdk0lPqIe
21,Take A Chance,Robin Bengtsson,73418,https://open.spotify.com/track/3CiXOKYt9tRSLlDnt0Yxew
22,FLYT,Z.E,73344,https://open.spotify.com/track/2y8AsD76fBMipxfs2cxdXV
23,Intentions (feat. Quavo),Justin Bieber,72984,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,No Time To Die,Billie Eilish,70097,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
25,Vamos Amigos,Mendez,69237,https://open.spotify.com/track/60Qib6jBxNJGCxVk8mJeRI
26,Don't Start Now,Dua Lipa,69030,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
27,Stupid Love,Lady Gaga,68257,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
28,E (Ventex),Albatraoz,67564,https://open.spotify.com/track/0nZPJ83AFwWPNSMrS2Jr5J
29,Forever Yours - Avicii Tribute,Kygo,66634,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
30,Troubled Waters,Victor Crone,66033,https://open.spotify.com/track/1raz4eVynj6vUaJdEDCPcQ
31,"Vinterdepress 2 (feat. Dree Low, Thrife & Haval)",Macky,64499,https://open.spotify.com/track/4ozV66XIiX9uf0g8CMyi4Z
32,PUTA,Greekazo,63493,https://open.spotify.com/track/3gwSgcqirySsVnUKY7mSVf
33,Someone You Loved,Lewis Capaldi,62610,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
34,death bed (feat. beabadoobee),Powfu,60685,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
35,Sci-fi,Adel,60437,https://open.spotify.com/track/1JEVK6gqfGPM5CIhGyIVnI
36,LIGA,Dree Low,59831,https://open.spotify.com/track/5FDc61zaWfH7a9SjQjm8a9
37,Roses - Imanbek Remix,SAINt JHN,59234,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
38,BOYS WITH EMOTIONS,FELIX SANDMAN,59093,https://open.spotify.com/track/22K6G9TGc7uYaAao3h6IHA
39,14,Asme,57912,https://open.spotify.com/track/7flv48R7F94nRVJgtmOr8A
40,After Hours,The Weeknd,57067,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
41,XO,Yasin,57039,https://open.spotify.com/track/0JyOOPqNSdhIC7VrxrRNGt
42,No Cap,Adel,56849,https://open.spotify.com/track/3G69nPByVZKPtgsesLKbx4
43,everything i wanted,Billie Eilish,55976,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
44,Falling,Trevor Daniel,55274,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
45,Forever (feat. Post Malone & Clever),Justin Bieber,54853,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
46,Winners,Mohombi,54168,https://open.spotify.com/track/0vqrCGQwn2B8p5u1ZIFDbo
47,Bra för dig,estraden,54020,https://open.spotify.com/track/3YCAQEpuFtgVVhEDJsW3gQ
48,DANCE,CLMD,53400,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J
49,Mitten av september,Hov1,52514,https://open.spotify.com/track/7jjLKYImKi4sXsvPKwLoRq
50,FÖRSENT,1.Cuz,51862,https://open.spotify.com/track/6mDcLPGVCmdhMN4gBzNb7s
