Position,Track Name,Artist,Streams,URL
1,Blinding Lights,The Weeknd,46348,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,Dance Monkey,Tones and I,39384,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,The Box,Roddy Ricch,35577,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
4,100k Cash,Capital Bra,32549,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8
5,Lass los,Dhurata Dora,30563,https://open.spotify.com/track/0K5vPCPPPQYzrKHc17qB1I
6,Roses - Imanbek Remix,SAINt JHN,27547,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
7,D A YYY T O N A,Dardan,24929,https://open.spotify.com/track/5Bj9rLRVpf5xxQwhlyOOeh
8,Tusa,KAROL G,24795,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,Don't Start Now,Dua Lipa,24733,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Matrix,Apache 207,24473,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
11,No Time To Die,Billie Eilish,23695,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
12,Falling,Trevor Daniel,22962,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,Roller,Apache 207,21161,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
14,Before You Go,Lewis Capaldi,20905,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
15,Someone You Loved,Lewis Capaldi,20654,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,ROXANNE,Arizona Zervas,20384,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,Intentions (feat. Quavo),Justin Bieber,20166,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
18,Life Is Good (feat. Drake),Future,19509,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
19,Ride It,Regard,19341,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
20,Breaking Me,Topic,18999,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,everything i wanted,Billie Eilish,18567,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,What If I Told You That I Love You,Ali Gatie,18019,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
23,Mios mit Bars,Luciano,17405,https://open.spotify.com/track/7Ek9e3eIuktIFjpDRQfmHE
24,Ignorantes,Bad Bunny,17140,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
25,Lose Control,MEDUZA,16999,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
26,Godzilla (feat. Juice WRLD),Eminem,16907,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,Moral of the Story,Ashe,16438,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
28,Weiss,Samra,16246,https://open.spotify.com/track/38YP1STiBe3AZevFFJILf4
29,Rich Rich,Ufo361,15738,https://open.spotify.com/track/3VFT90E0yYjdHSFoGv02us
30,Auf Wiedersehen,Mozzik,15702,https://open.spotify.com/track/6JZrs7FFUkTpinCxM1DG3E
31,Memories,Maroon 5,15611,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
32,In Your Eyes (feat. Alida),Robin Schulz,15603,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
33,Say So,Doja Cat,15420,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
34,Some Say,Nea,15206,https://open.spotify.com/track/4poybupy26pTWPr9zY1i7h
35,RITMO (Bad Boys For Life),Black Eyed Peas,15103,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
36,Baby,Joker Bra,14979,https://open.spotify.com/track/1V7JaMp11LKGwKiVmSetf0
37,bad guy,Billie Eilish,14879,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
38,Karakol,Capo,14663,https://open.spotify.com/track/0rl7zpqNO7xPbe2CDvyoks
39,Stupid Love,Lady Gaga,14635,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
40,Schüsse im Regen,Samra,14348,https://open.spotify.com/track/3RgJvQlTg7tp5mXtylDXYx
41,You should be sad,Halsey,14085,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
42,Señorita,Shawn Mendes,13995,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
43,Sunday Best,Surfaces,13743,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
44,Circles,Post Malone,13732,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
45,After Hours,The Weeknd,13623,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
46,6.3,Naps,13606,https://open.spotify.com/track/6bzxAa3VCiIGzhjsxbHo5q
47,Yummy,Justin Bieber,13187,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
48,110,Capital Bra,12859,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC
49,That Way,Lil Uzi Vert,12822,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
50,death bed (feat. beabadoobee),Powfu,12746,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
