Position,Track Name,Artist,Streams,URL
1,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,46205,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
2,Without You,高爾宣 OSN,34488,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
3,Intentions (feat. Quavo),Justin Bieber,33542,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
4,怎麼了,Eric Chou,30576,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm
5,Stupid Love,Lady Gaga,29832,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
6,太陽,Pika Chiu,28756,https://open.spotify.com/track/3mAc5QY56d5Zl1MbvnWybK
7,說好不哭,Jay Chou,26305,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
8,Don't Start Now,Dua Lipa,25923,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,真的傻 (電影《一吻定情》追愛版主題曲),LaLa Hsu,25787,https://open.spotify.com/track/7mCr6Rn5jx04Fisvts97Z3
10,句號,G.E.M.,25119,https://open.spotify.com/track/66YKSygcUZHHqHJZcWslI3
11,Dance Monkey,Tones and I,25044,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,ON,BTS,24750,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
13,天黑請閉眼 feat. 邱鋒澤,Nine Chen,24551,https://open.spotify.com/track/3j5yYj3N0CQSgcHMF91ZlO
14,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,24438,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
15,路過人間 (電視劇《我們與惡的距離》插曲),Yisa Yu,23699,https://open.spotify.com/track/1ZSleGniKMWNrWvK5cGALO
16,年少有為,Ronghao Li,23375,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
17,Señorita,Shawn Mendes,22842,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,Any song,Zico,22354,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn
19,Why You Gonna Lie,高爾宣 OSN,22278,https://open.spotify.com/track/1rjUBUTswCkN8DIBxkgjJs
20,Someday or One day,Shi Shi,21699,https://open.spotify.com/track/6g8swuEcibJXvxw2vjBzHx
21,Last Dance,Wu Bai,20802,https://open.spotify.com/track/49AQAXswd32dFJUWOegVWO
22,浪流連,EggPlantEgg,20662,https://open.spotify.com/track/7a6VJHMS9ttKsj55cKC51G
23,Memories,Maroon 5,20199,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,那女孩對我說,Rachel Liang,20055,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
25,绿色,Shirley Chen,20016,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
26,倒數,G.E.M.,19737,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
27,最後一次,高爾宣 OSN,19360,https://open.spotify.com/track/4fw4NwYVD8nLWLtKtlN8df
28,No Time To Die,Billie Eilish,19351,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
29,Yummy,Justin Bieber,19166,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
30,你的酒馆对我打了烊,Shirley Chen,19160,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
31,You should be sad,Halsey,18981,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
32,慢冷,Fish Leong,18490,https://open.spotify.com/track/3NNDJfWMGHuNpvHWTImmlW
33,Blinding Lights,The Weeknd,18030,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
34,你要的全拿走,Tiger Hu,17951,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
35,Black Swan,BTS,17932,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
36,Circles,Post Malone,17821,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
37,透明,G.E.M.,17745,https://open.spotify.com/track/6cCHHwJAI4TEF1eukFeR97
38,Flower,YOON MI RAE,17693,https://open.spotify.com/track/0GVKkD74xcixRYYG3zv1NL
39,The Box,Roddy Ricch,17434,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
40,披星戴月的想你,告五人,17370,https://open.spotify.com/track/75Rm8fulB9P9O6F7hdXNcE
41,bad guy,Billie Eilish,17135,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
42,everything i wanted,Billie Eilish,17010,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
43,Boy With Luv (feat. Halsey),BTS,16998,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
44,Forever (feat. Post Malone & Clever),Justin Bieber,16806,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
45,玫瑰少年,Jolin Tsai,16616,https://open.spotify.com/track/2uHMTG5xr9Xk7MrXIWrVUH
46,Falling,Trevor Daniel,16350,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
47,芒种,音阙诗听,16241,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj
48,Modern Loneliness,Lauv,16142,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
49,Physical,Dua Lipa,15776,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
50,Tomorrow will be fine.,演唱：蘇打綠,15640,https://open.spotify.com/track/3tzi8a5FEO3bczurgbNuAJ
