Position,Track Name,Artist,Streams,URL
1,How To Love (feat. GRAY),ALLY,59526,https://open.spotify.com/track/1miAQyBEMvHJ62JFuERLyr
2,ดี๊ดี (UNEXPECTED),JAYLERR,58849,https://open.spotify.com/track/4KP9dagbB3Da9jnpfIEG7P
3,ฝนตกไหม,Three Man Down,57935,https://open.spotify.com/track/1ccwCCS7YSclzYibpK0DS4
4,ลงใจ,BOWKYLION,55848,https://open.spotify.com/track/3JvbGjNcSnAhNemVyvXqci
5,นิโคติน,Mirrr,52624,https://open.spotify.com/track/6R9YzJHkfYoN6PianPhTdB
6,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,51438,https://open.spotify.com/track/4Cg2XGrrrczeZRPOnlAG67
7,พักก่อน,MILLI,46695,https://open.spotify.com/track/6n1IWYFDEvulKlEGpUX32H
8,เลือกคนที่เขารักเรา,Three Man Down,42592,https://open.spotify.com/track/6IitkM7xiuKhDXzshXUnRa
9,รักได้ป่าว,Gavin D,40236,https://open.spotify.com/track/5j9eyp0YnOKzAjQyXXXSeb
10,WIP WUP,Mindset,39934,https://open.spotify.com/track/41H5efMPWK8D8GzDSJ3Y9s
11,1%,Stamp,39295,https://open.spotify.com/track/2ht9QvYzzSUod5T69TUVbR
12,Yummy,Justin Bieber,37008,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
13,แอบดี (How to live without you),Stamp,36978,https://open.spotify.com/track/1wl5vs3SCMPpHTIR8IW8nJ
14,Psycho,Red Velvet,35381,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
15,ภาวนา,MEYOU,32760,https://open.spotify.com/track/7IcfEY0IyV4fdALbwJCw3v
16,หมอก,COLORPiTCH,32653,https://open.spotify.com/track/4ARB472dmYjpCdWrhE1aMc
17,ถ้าฉันเป็นเขา,Indigo,32587,https://open.spotify.com/track/7adzBs69Rjtj6194UZRWfm
18,ON,BTS,32575,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
19,Intentions (feat. Quavo),Justin Bieber,32323,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
20,A Rocket to the Moon,Gavin D,32220,https://open.spotify.com/track/4Tp1SRCTJ6LO8XA3i9vuAT
21,ใจสลาย,Whal & Dolph,31320,https://open.spotify.com/track/2q3bLYpJbJtOBTnJY1YR2C
22,ทิ้งแต่เก็บ - เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ,The Toys,30995,https://open.spotify.com/track/438m0u7h7miwjCdCdDCl9W
23,อย่าหายไปไหนอีกเลย,Twopee Southside,30324,https://open.spotify.com/track/5L3zTlhfdcYyEfB09MB29u
