Position,Track Name,Artist,Streams,URL
1,Bi Sonraki Hayatımda Gel,Murda,328937,https://open.spotify.com/track/7BjmOMyfT4PBKbZuSCwWPc
2,Sağı Solu Kes,Gazapizm,235301,https://open.spotify.com/track/5GBbUx3eAHDgoOvdcpFObI
3,Unutulacak Dünler,Gazapizm,215951,https://open.spotify.com/track/3aXTeIVnDvo2MT1xLTdGK3
4,Uslanmıyor Bu,Zeynep Bastık,214109,https://open.spotify.com/track/24BvlSG2Y36Heg1dwLwHtu
5,Leila,Reynmen,210327,https://open.spotify.com/track/1RqNAiL2toZ59HTjQbFLfM
6,Ben De Yoluma Giderim,Sezen Aksu,204678,https://open.spotify.com/track/0YGzausz5cMhQDiJj1RQuv
7,Yalan,Aleyna Tilki,171732,https://open.spotify.com/track/6ZO84z5SOlu7nCL7UONjOC
8,Güneș,Murda,157766,https://open.spotify.com/track/2htLZqUXatp2XYVOAI4wN1
9,EH BABA,Murda,154953,https://open.spotify.com/track/2uJlSN4MmKpto9AtXJWgTr
10,AYA,Murda,136853,https://open.spotify.com/track/4IJEw3fDvS6XF4sDc3bvjK
11,Dance Monkey,Tones and I,130920,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,Kazılı Kuyum,Yüzyüzeyken Konuşuruz,129107,https://open.spotify.com/track/5DJEXxOutnFD5GEUVk88yE
13,El-Âlem,Tuğçe Kandemir,117373,https://open.spotify.com/track/1l0cnUKIlkv7moUqGyjNqZ
14,Goal,Patron,107833,https://open.spotify.com/track/4QVEEOx7TeTA0vQfeP8tgN
15,Pırlanta,Murda,105765,https://open.spotify.com/track/2Oafgpg3zODVawujkYVz5n
16,Yetinmeyi Bilir Misin?,Sezen Aksu,102544,https://open.spotify.com/track/3mRVgn5Q4AbECPzPRlCEk3
17,WhatsApp,Patron,101681,https://open.spotify.com/track/1WpCEWPYlON5l1Rln413Hu
18,Nalan,Emir Can İğrek,98404,https://open.spotify.com/track/1LNUxWJifZNEPpd273N2le
19,Bütün Istanbul Biliyo,İkiye On Kala,98204,https://open.spotify.com/track/0V0bWil6rS8w4Xbn6eGwCQ
20,Pisliğin Üstüne Basmışlar,Gazapizm,94955,https://open.spotify.com/track/6LGFK19LALZ05LABThD75w
21,Kaçar Gider,Dolu Kadehi Ters Tut,92963,https://open.spotify.com/track/0tx0AFLugYzvN1Cz1TUIDV
22,Eskimiş Senelere,Aspova,90840,https://open.spotify.com/track/5XR0fbf6IAizysmuSQDoUX
23,Falling,Trevor Daniel,89708,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
24,Yoksun Başımda,Reynmen,88983,https://open.spotify.com/track/4kgegvVYCYHZRJtKArWBh8
25,Wir sind Kral,Ufo361,87270,https://open.spotify.com/track/2KlbLTnQ5Wch2oOelW0Y2k
26,LOLO,Ezhel,81460,https://open.spotify.com/track/7hGc0ggqVVOndzHLIS4Kag
27,İki Hece,Berkay,80489,https://open.spotify.com/track/4nWVlBWgG018k57NMeT9An
28,Dolunay,Reynmen,80060,https://open.spotify.com/track/7wvHGzjF0uQ0j0GTiDVsDY
29,Çukur,Zeynep Bastık,75733,https://open.spotify.com/track/5LBLaN3ZNFAPbY7B2WtbcP
30,Roses - Imanbek Remix,SAINt JHN,75343,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
31,Dolunay,Enes Batur,74821,https://open.spotify.com/track/0Ca4p7aZRXKdGvLuqezTwC
32,Arkadaş,Ben Fero,74422,https://open.spotify.com/track/6bBnnrknLbDoOCUdKMkmnq
33,Mod,Mustafa Sandal,74279,https://open.spotify.com/track/0xNW1WrxJP3USOL2r0gqHE
34,The Box,Roddy Ricch,72157,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
35,Böyle Sever,Kahraman Deniz,71562,https://open.spotify.com/track/7hU3H2id2pBVawD7e3zd8N
36,Toz Taneleri,Sagopa Kajmer,68872,https://open.spotify.com/track/36ulbeGLdspdIYSFKXIlmN
37,Benim Hikayem,Nahide Babashlı,66493,https://open.spotify.com/track/5aniwWDGFRJYYg5pXi9KM5
38,Daha İyi,Hande Ünsal,66331,https://open.spotify.com/track/4pqintftlokZCfmrA67rRj
39,Güzel Kızlar Patron Dinler,Patron,65799,https://open.spotify.com/track/2qpwx9xOkCqzOMVnOkZ2X8
40,Yemin Olsun,Ufo361,64191,https://open.spotify.com/track/1BzTI6CkluzAJsXFRkXTaR
41,Dinle Beni Bi',Yüzyüzeyken Konuşuruz,64001,https://open.spotify.com/track/11PO9iu6PtpgL1JK4QNUEJ
42,Ölsem Yeridir,Yüzyüzeyken Konuşuruz,63757,https://open.spotify.com/track/7zn6VQuPR6aCLPRcZAA89R
43,Yanyol,Vio,61813,https://open.spotify.com/track/4LoVbJaEB3TIqsehlZwiSF
44,Gelemem,Grogi,61783,https://open.spotify.com/track/6sMKnGxbHEloI6usl0FLdh
45,Uzak Gelecek,Kahraman Deniz,60945,https://open.spotify.com/track/75h4Bilr9NatfonTWxEQXB
46,Beatcoin,Ceza,60776,https://open.spotify.com/track/5sSKQKLzKqOKxbgUyGlk2w
47,Bırakman Doğru Mu,Anıl Piyancı,59473,https://open.spotify.com/track/5pdsGdTeqH6MHqJeKkpwX3
48,Blinding Lights,The Weeknd,58775,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
49,Olur Olur,İlyas Yalçıntaş,58525,https://open.spotify.com/track/1MDFp3EvFeoVHiDOMQvGJF
50,YEŞİLLENDİR,Ceg,58091,https://open.spotify.com/track/2JWcIs25p03SYHWTez6pwc
