Position,Track Name,Artist,Streams,URL
1,Dance Monkey,Tones and I,16762,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,The Box,Roddy Ricch,16043,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,Blinding Lights,The Weeknd,15672,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,Don't Start Now,Dua Lipa,15049,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Roses - Imanbek Remix,SAINt JHN,14028,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,No Time To Die,Billie Eilish,12457,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
7,Godzilla (feat. Juice WRLD),Eminem,12245,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
8,Falling,Trevor Daniel,12070,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,Mostantól,Rácz Gergõ,11078,https://open.spotify.com/track/25dMOeb3nDs8BPjxrQyOjR
10,Stupid Love,Lady Gaga,10375,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
11,bad guy,Billie Eilish,10161,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,everything i wanted,Billie Eilish,9741,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,Intentions (feat. Quavo),Justin Bieber,9624,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,Lose Control,MEDUZA,9442,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
15,Moral of the Story,Ashe,9183,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
16,Physical,Dua Lipa,9058,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
17,ROXANNE,Arizona Zervas,8704,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,Memories,Maroon 5,8433,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
19,Olyan Ő,Bagossy Brothers Company,8396,https://open.spotify.com/track/0GsltzHgCGCiQvskZggDDj
20,Say So,Doja Cat,8289,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,Circles,Post Malone,7929,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
22,My Oh My (feat. DaBaby),Camila Cabello,7842,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
23,Life Is Good (feat. Drake),Future,7835,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
24,Señorita,Shawn Mendes,7689,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
25,Blueberry Faygo,Lil Mosey,7666,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
26,After Hours,The Weeknd,7451,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
27,Someone You Loved,Lewis Capaldi,7281,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
28,Így hagysz el,ByeAlex és a Slepp,7177,https://open.spotify.com/track/4FKC5sLNhKntZHZNxyHO5t
29,Lej,Dzsúdló,7132,https://open.spotify.com/track/1HBaTl9IQ6tQKWeoz4RLBW
30,Ride It,Regard,6919,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
31,Megmondtam,T. Danny,6818,https://open.spotify.com/track/7MYHbKllkLFFdM4LfGhkMW
32,Merülök,ByeAlex és a Slepp,6683,https://open.spotify.com/track/1gXPL4JGDoQdFsKbtWi2aS
33,You should be sad,Halsey,6571,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
34,Adore You,Harry Styles,6354,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
35,Sunday Best,Surfaces,6294,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
36,Kösznem,ByeAlex és a Slepp,6129,https://open.spotify.com/track/3Vh7W5SpHKwYMsIBYgVQSB
37,I Don't Care (with Justin Bieber),Ed Sheeran,6014,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
38,death bed (feat. beabadoobee),Powfu,5977,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
39,Feel Me,Selena Gomez,5735,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
40,That Way,Lil Uzi Vert,5705,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
41,CITY OF ANGELS,24kGoldn,5639,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
42,Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,5609,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
43,Beautiful People (feat. Khalid),Ed Sheeran,5541,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
44,Before You Go,Lewis Capaldi,5536,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
45,Shallow,Lady Gaga,5393,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
46,Yummy,Justin Bieber,5236,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
47,Lucid Dreams,Juice WRLD,5207,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
48,Nem tudja senki,Follow The Flow,5159,https://open.spotify.com/track/1YO5hgAhxTRErZKKWyrMnu
49,Turn Me On (feat. Vula),Riton,5106,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
50,What A Man Gotta Do,Jonas Brothers,5027,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
