Position,Track Name,Artist,Streams,URL
1,Tusa,KAROL G,20592,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,La Difícil,Bad Bunny,14527,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
3,Ignorantes,Bad Bunny,14023,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
4,Sigues Con El,Dimelo Flow,13347,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
5,Dance Monkey,Tones and I,13287,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,Hola - Remix,Dalex,13174,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
7,René,Residente,12928,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
8,Keii,Anuel AA,11342,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
9,Muévelo,Nicky Jam,11287,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
10,Vete,Bad Bunny,10510,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
11,Morado,J Balvin,10427,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
12,La Santa,Bad Bunny,10056,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
13,Me Gusta,Shakira,9787,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
14,Diosa,Myke Towers,9596,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
15,Fantasias,Rauw Alejandro,9481,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
16,Tattoo,Rauw Alejandro,9133,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
17,Par-Tusa,El Dipy,8909,https://open.spotify.com/track/7iZSr3NiHlqJGAJmlfd3Ru
18,Perreo en La Luna,Rich Music LTD,8473,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
19,Recuerdo,TINI,8384,https://open.spotify.com/track/3DjInVTE03icrWsq2UZV9n
20,Rojo,J Balvin,8351,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
21,Dónde Estás,KHEA,7772,https://open.spotify.com/track/16DNJ8y6k97DxuMyV49W7V
22,Definitivamente,Daddy Yankee,7630,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
23,Bellaquita - Remix,Dalex,7543,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
24,RITMO (Bad Boys For Life),Black Eyed Peas,7482,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
25,Mejor,Dalex,7058,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
26,Whine Up,Nicky Jam,7019,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
27,Don't Start Now,Dua Lipa,7015,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
28,High,Maria Becerra,6939,https://open.spotify.com/track/5vPtzdjJ9tm7XCoKDH22Gb
29,Que Tire Pa Lante,Daddy Yankee,6603,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
30,China,Anuel AA,6445,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
31,Ya No Mas,Fer Palacio,6383,https://open.spotify.com/track/4dqoJHdxf9Ez4DDqGh2PBc
32,Aventura,Lunay,6373,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
33,¿Qué Ha Pasao'?,Abraham Mateo,6291,https://open.spotify.com/track/2zkVH2daHyjS51g7PRJFDn
34,Si Te Vas,Sech,6248,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
35,Indeciso,Reik,6136,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
36,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,6082,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
37,Blanco,J Balvin,5985,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
38,Medusa,Jhay Cortez,5955,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
39,La Difícil,Camilo,5880,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu
40,Adicto (with Anuel AA & Ozuna),Tainy,5845,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
41,Tutu,Camilo,5831,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
42,Quizas,Rich Music LTD,5818,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
43,TBT,Sebastian Yatra,5642,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
44,Cómo estás,Ke Personajes,5589,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
45,Si Veo a Tu Mamá,Bad Bunny,5543,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
46,Fresa,TINI,5529,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
47,Hablamos Mañana,Bad Bunny,5336,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
48,Atrevido,Trueno,5282,https://open.spotify.com/track/49rFA0vfmY9Eel2cInKmTk
49,Japón,Rombai,5267,https://open.spotify.com/track/4HPV5sINNKUn1YckHmukri
50,La Pared 360,Lenny Tavárez,5019,https://open.spotify.com/track/2w8SKQCnT2YQK1qCqKl2uW
