Position,Track Name,Artist,Streams,URL
1,ON,BTS,22765,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
2,ON (Feat. Sia),BTS,20291,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
3,Black Swan,BTS,18271,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
4,Filter,BTS,17138,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
5,Friends,BTS,16108,https://open.spotify.com/track/7w05lsU2VLSeiT8Nukrv5M
6,My Time,BTS,15792,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
7,We are Bulletproof : the Eternal,BTS,15713,https://open.spotify.com/track/44WLOqH7QayQOQdeUHeKUK
8,Lối Nhỏ,Đen,15340,https://open.spotify.com/track/22F7P7QnaVspdf5rKveBaS
9,Intentions (feat. Quavo),Justin Bieber,15315,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,00:00 (Zero O’Clock),BTS,14946,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
11,Boy With Luv (feat. Halsey),BTS,14594,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
12,Louder than bombs,BTS,14074,https://open.spotify.com/track/3op7HNwLli54MBjFGzIlZO
13,Señorita,Shawn Mendes,14061,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,Dance Monkey,Tones and I,13928,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,Inner Child,BTS,13532,https://open.spotify.com/track/4BKOjYosPhw334moS3wlbO
16,Moon,BTS,13263,https://open.spotify.com/track/1xfXXujIlLZAx5wpu46Nyk
17,Ngày Tận Thế,Tóc Tiên,13067,https://open.spotify.com/track/5Nd0com2T4rHRZO2YFwD2n
18,Bài Này Chill Phết,Đen,12298,https://open.spotify.com/track/2AiZm17zqkV7llT3SHz4Nu
19,Memories,Maroon 5,12158,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,Mascara,Chillies,11791,https://open.spotify.com/track/2Jaaw8PrdUfPlU6o6tL5dl
21,Psycho,Red Velvet,11783,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
22,UGH!,BTS,11355,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
23,Có Chàng Trai Viết Lên Cây,Phan Mạnh Quỳnh,10620,https://open.spotify.com/track/1U8bwOTAtnqlWMCn1mwYyj
24,Duyen Am,Hoang Thuy Linh,10548,https://open.spotify.com/track/5dZHey2U2xrNpvgyop8URS
25,Hãy Trao Cho Anh,Sơn Tùng M-TP,10386,https://open.spotify.com/track/0f5yQttJS5nNxRAleF4kZO
26,Có Em Đời Bỗng Vui,Chillies,10323,https://open.spotify.com/track/696w9BHmEY62myVCSDyrYW
27,Yummy,Justin Bieber,10258,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
28,bad guy,Billie Eilish,9577,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
29,Stupid Love,Lady Gaga,9433,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
30,Interlude : Shadow,BTS,9367,https://open.spotify.com/track/2Nib4r0saYQf2pUV4RFDhl
31,Outro : Ego,BTS,9365,https://open.spotify.com/track/3r9FFjLrAIQjoR8pSHVPC9
32,death bed (feat. beabadoobee),Powfu,9314,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
33,Say So,Doja Cat,9300,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
34,Thanh Xuan,Da LAB,9279,https://open.spotify.com/track/3b34161QoxLwsqhWSPy9i5
35,Respect,BTS,9180,https://open.spotify.com/track/37TSJmYKLxXmx8OehFpqMN
36,7 rings,Ariana Grande,9118,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
37,Don't Start Now,Dua Lipa,8811,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
38,Let Me Down Slowly,Alec Benjamin,8803,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
39,No Time To Die,Billie Eilish,8653,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
40,Em Day Chang Phai Thuy Kieu,Hoang Thuy Linh,8562,https://open.spotify.com/track/031jyNUkkD02vrkgZDGJxu
41,De Mi Noi Cho Ma Nghe,Hoang Thuy Linh,8434,https://open.spotify.com/track/5mBWIm9EGnhZRYBYgAS72m
42,Someone You Loved,Lewis Capaldi,8318,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,Make It Right,BTS,8204,https://open.spotify.com/track/6KUE0HSSudAp9AOycaF6SH
44,Forever (feat. Post Malone & Clever),Justin Bieber,8168,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
45,Mượn Rượu Tỏ Tình,BigDaddy,8045,https://open.spotify.com/track/3TXSdTpaqKBpWyUG3aJ3LK
46,ROXANNE,Arizona Zervas,7895,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
47,Đi Đu Đưa Đi,Bich Phuong,7736,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
48,Can We Kiss Forever?,Kina,7559,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
49,Jamais Vu,BTS,7542,https://open.spotify.com/track/0eeeyCAGnGZInPtpkdYiPa
50,Lạ Lùng,Vũ.,7459,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9
