Artist,Song,Total Stream,MediumPositionsINTERN,MediumPositionsALL,PresenceIN,Markets,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Key,Mode,Duration_ms,Tempo,Genre
1.Cuz,FÖRSENT,51862,50.0,0.81,1,79,0.18,937,707,0.000376,186,-5153,146,766,10,0,182400,100031,swedish gangsta rap
24kGoldn,CITY OF ANGELS,330904,38.2,0.62,10,79,42,686,541,0,0.0675,-4993,0.0493,724,0,0,112493,120084,cali rap
47ter,Côte Ouest,138991,24.0,0.39,1,3,534,772,596,0,172,-7962,102,603,8,1,232653,152057,french hip hop
4Keus,MD (feat. Niska),203187,9.0,0.15,1,6,499,0.41,729,0,124,-5253,0.4,593,4,0,210827,75301,french hip hop
5MIINUST,Aluspükse,2254,15.0,0.24,1,79,388,725,771,1.4e-06,362,-5551,221,544,9,0,210000,119998,estonian hip hop
5MIINUST,Paaristõuked,4542,3.0,0.05,1,79,0.0344,688,821,0,0.0634,-6338,104,0.67,4,0,213851,109955,estonian hip hop
5MIINUST,Tsirkus,1351,46.0,0.74,1,79,0.0617,851,635,0,0.06,-5664,119,954,0,1,281968,117009,estonian hip hop
831,"想見你想見你想見你(電視劇""想見你""片尾曲)",53926,12.0,0.19,2,79,0.4,547,666,0,144,-5694,0.0393,0.43,6,1,239795,129814,mandopop
A Boogie Wit da Hoodie,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",643865,37.0,0.6,2,78,517,819,654,0,0.0996,-6665,136,455,11,0,188563,133503,melodic rap
A-Lin,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,46831,34.67,0.56,3,79,0.9,0.36,233,3.96e-06,106,-11512,0.0509,0.37,7,1,237000,77436,mandopop
ABREU,Teipillä tai rakkaudella,17128,37.0,0.6,1,77,0.0492,692,571,0,121,-6099,77,437,7,0,195562,90008,cuban rumba
ADHD,Corona,25238,35.0,0.56,1,79,0.0232,793,0.76,5.81e-06,231,-7.32,227,394,2,1,153266,137912,dakke dak
AG,Nagu kuu,1599,37.0,0.6,1,79,308,741,0.8,0.000157,314,-9539,0.0446,0.74,5,1,149728,139917,dance pop
AJ Tracey,Ladbroke Grove,119854,45.0,0.73,1,78,0.0939,903,839,0,102,-9447,208,727,11,0,190537,133986,grime
ALLY,How To Love (feat. GRAY),59526,1.0,0.02,1,78,604,709,825,0,0.0627,-2241,0.0645,813,1,1,201800,102024,dance pop
ANAVITÓRIA,Pupila,206685,40.0,0.65,1,79,401,716,426,0,0.11,-9576,128,434,10,1,202288,88794,folk brasileiro
ANNA,Bando,475759,1.0,0.02,1,79,155,0.97,739,0,111,-4917,295,414,10,0,168000,120061,italian hip hop
ARASHI,Turning Up,52591,34.0,0.55,1,79,0.0225,769,817,1.03e-06,244,-5409,103,896,1,1,182633,118021,no genres
ATYPISK,Kærlighed (feat. Gilli & Kesi),33100,21.0,0.34,1,79,13,903,686,0,0.0484,-5065,114,686,2,1,173183,114.98,danish hip hop
ATYPISK,Lærte Hende Alt (feat. Lærke Emilie),24629,38.0,0.61,1,79,251,584,627,0,0.0891,-4607,187,528,4,1,164726,90879,danish hip hop
Abraham Mateo,¿Qué Ha Pasao'?,6291,33.0,0.53,1,79,315,648,752,0,201,-4.13,133,405,7,1,198053,178228,latin
Achille Lauro,Me ne frego,189453,14.0,0.23,1,79,0.00615,559,911,0,159,-4821,108,456,4,1,221438,136935,italian hip hop
Adel,No Cap,56849,42.0,0.68,1,79,306,796,564,0,96,-9776,148,849,8,0,170400,99997,british soul
Adel,Sci-fi,60437,35.0,0.56,1,79,151,577,577,0,0.13,-10053,0.49,421,0,0,215000,118837,british soul
Agapornis,Flasheaste Amor,113345,22.0,0.35,1,79,183,776,559,0,0.0728,-7548,0.0469,0.76,1,1,175263,142481,cumbia pop
Aimyon,ハルノヒ,55434,30.0,0.48,1,1,263,591,673,0,109,-2445,0.0294,525,9,1,326867,106956,j-acoustic
Aimyon,マリーゴールド,87207,12.0,0.19,1,1,0.0452,545,745,0,0.0907,-3098,0.0286,413,2,1,306627,106094,j-acoustic
Aimyon,今夜このまま,52444,35.0,0.56,1,1,0.0254,441,852,0,0.0862,-3595,0.0383,0.64,1,1,238093,104855,j-acoustic
Aimyon,君はロックを聴かない,63874,22.0,0.35,1,78,0.00135,524,687,0,169,-4039,0.0267,619,7,1,246307,99919,j-acoustic
Aitana,+,182981,20.0,0.32,1,79,106,561,666,0,123,-4243,0.0322,675,8,1,219367,160019,latin pop
Akhil,"Duniyaa (From ""Luka Chuppi"")",65208,27.0,0.44,1,79,699,435,658,0,125,-5949,0.0368,524,7,0,222501,77.17,italian hip hop
Akhil Sachdeva,"Tera Ban Jaunga (From ""Kabir Singh"")",51877,35.0,0.56,1,79,822,605,0.53,0,131,-6346,0.0246,399,11,1,236437,93951,desi pop
Alan Walker,"Alone, Pt. II",215081,27.0,0.44,5,79,536,0.67,668,0,133,-4306,0.0422,608,3,0,179053,88033,electro house
Albatraoz,E (Ventex),67564,28.0,0.45,1,79,0.0484,922,661,0,185,-5688,0.29,764,10,1,124830,138036,danspunk
Alec Benjamin,Let Me Down Slowly,12745,40.5,0.65,2,78,0.74,652,557,0,124,-5714,0.0318,483,1,0,169354,150073,pop
Alex Rose,Jangueo,483125,26.0,0.42,5,79,238,851,688,1.93e-05,105,-4038,0.0565,732,11,1,259600,103982,latin
Aleyna Tilki,Yalan,171732,7.0,0.11,1,1,0.00576,455,779,1.79e-05,101,-8272,0.0451,0.0672,2,1,212149,149941,turkish pop
Ali Gatie,It's You,294847,28.25,0.46,4,78,374,732,463,0,194,-6972,0.0287,397,11,0,212607,95971,canadian hip hop
Ali Gatie,What If I Told You That I Love You,525118,37.7,0.61,10,57,0.63,605,365,6.83e-06,0.0554,-11144,111,224,7,1,193668,84628,canadian hip hop
Amina,Winter Season (feat. Gilli),34378,18.0,0.29,1,79,0.0209,0.78,584,0,107,-6097,0.0728,405,0,0,167823,109955,shaabi
Andmesh,Cinta Luar Biasa,114322,42.5,0.69,2,79,811,582,232,0,0.1,-11863,0.0309,317,9,1,255563,135889,indonesian pop
Andmesh,Hanya Rindu,106907,45.0,0.73,2,79,888,285,162,0,113,-12226,0.0347,0.2,7,1,251975,178754,indonesian pop
Andmesh,Kumau Dia,100477,39.0,0.63,1,79,159,467,514,8.33e-06,316,-9007,0.0274,599,0,1,256228,157869,indonesian pop
Andmesh,Nyaman,129691,24.0,0.39,1,79,818,535,311,0,151,-11164,0.0266,456,9,1,226603,82979,indonesian pop
Andy Williams,It's the Most Wonderful Time of the Year,3668,3.0,0.05,1,8,871,234,526,2.34e-06,122,-11656,0.0411,649,2,1,151000,201739,adult standards
Anett,Write About Me,2128,21.0,0.34,1,79,433,607,0.39,0,183,-6654,0.0323,375,9,1,180476,126062,gothic symphonic metal
Angèle,Oui ou non,162164,24.5,0.4,2,79,635,649,574,1.28e-05,161,-7856,143,361,2,1,196800,199906,belgian pop
Anis Don Demina,Vem e som oss,142357,3.0,0.05,1,78,306,694,834,0,132,-4.39,0.12,882,7,1,175604,145991,swedish pop
Anitta,Combatchy (feat. MC Rebecca),343242,22.0,0.35,2,78,383,826,0.73,0.000374,0.0197,-3032,0.0809,605,1,1,157600,150134,baile pop
Anitta,Some que ele vem atrás,241071,29.0,0.47,1,78,0.0748,648,795,0,0.38,-5536,0.17,598,0,0,194771,180043,baile pop
Anna Bergendahl,Kingdom Come,90480,13.0,0.21,1,78,0.00772,531,791,0,283,-3473,0.0399,619,1,1,180107,145978,europop
Anna Puu,2020,26066,14.0,0.23,1,79,0.0351,581,675,0,219,-7915,0.0513,484,9,0,200616,127014,finnish dance pop
Ant Saunders,Yellow Hearts,110015,31.0,0.5,1,79,177,865,438,0,0.0743,-8943,0.0719,695,7,1,223258,129038,pop
Antti Tuisku,Valittu kansa,20044,25.0,0.4,1,78,0.00942,571,673,0.0546,0.0838,-6934,0.0605,179,1,0,237813,133888,finnish dance pop
Anuel AA,China,785884,38.06,0.61,17,79,0.0846,786,808,0.000289,0.0822,-3702,0.0882,609,7,1,301714,105027,latin
Anuel AA,Keii,1113018,27.88,0.45,17,79,0.4,708,797,0,96,-3095,0.0391,0.51,0,0,210000,88015,latin
Anıl Piyancı,Bırakman Doğru Mu,59473,47.0,0.76,1,79,0.0934,703,931,0,342,-3191,0.0507,642,5,0,260789,90017,turkish hip hop
Apache 207,200 km/h,220033,30.0,0.48,2,79,269,899,0.67,1.38e-05,105,-6455,163,413,11,0,163147,148065,german hip hop
Apache 207,Matrix,690020,4.67,0.08,3,79,766,786,509,3.33e-06,272,-8766,0.29,418,9,0,183793,114961,german hip hop
Apache 207,Roller,419418,10.75,0.17,4,79,0.0256,941,758,0.00263,193,-6.47,0.17,683,10,0,157093,128.02,german hip hop
Apache 207,Wieso tust Du dir das an?,160792,42.0,0.68,1,79,294,856,477,386,121,-6962,55,0.46,6,0,176067,133962,german hip hop
Aragão,Tranquilo,18276,20.0,0.32,1,79,629,0.77,546,0.0061,0.0938,-8113,308,382,10,0,263131,98032,hip hop tuga
Arcangel,Infeliz,484947,39.0,0.63,11,79,366,713,798,4.3e-06,246,-3147,219,721,1,1,221103,176073,latin
